,time,open,high,low,close,volume
0,2024-01-09,12.62,12.62,12.62,12.62,0
1,2024-01-10,12.62,12.62,12.62,12.62,0
2,2024-01-11,12.62,12.62,12.62,12.62,0
3,2024-01-12,12.62,12.62,12.62,12.62,0
4,2024-01-15,12.62,12.62,12.62,12.62,0
5,2024-01-16,12.62,12.62,12.62,12.62,0
6,2024-01-17,12.62,12.62,12.62,12.62,0
7,2024-01-18,12.62,12.62,12.62,12.62,0
8,2024-01-19,12.62,12.62,12.62,12.62,0
9,2024-01-22,12.62,12.62,12.62,12.62,0
10,2024-01-23,12.62,12.62,12.62,12.62,0
11,2024-01-24,12.62,12.62,12.62,12.62,0
12,2024-01-25,12.62,12.62,12.62,12.62,0
13,2024-01-26,12.62,12.62,12.62,12.62,0
14,2024-01-29,12.62,12.62,12.62,12.62,0
15,2024-01-30,12.62,12.62,12.62,12.62,0
16,2024-01-31,12.62,12.62,12.62,12.62,0
17,2024-02-01,12.62,12.62,12.62,12.62,0
18,2024-02-02,12.62,12.62,12.62,12.62,0
19,2024-02-05,12.62,12.62,12.62,12.62,0
20,2024-02-06,12.62,12.62,12.62,12.62,0
21,2024-02-07,12.62,12.62,12.62,12.62,0
22,2024-02-15,12.62,12.62,12.62,12.62,0
23,2024-02-16,12.62,12.62,12.62,12.62,0
24,2024-02-19,12.62,12.62,12.62,12.62,0
25,2024-02-20,12.62,12.62,12.62,12.62,0
26,2024-02-21,12.62,12.62,12.62,12.62,0
27,2024-02-22,12.62,12.62,12.62,12.62,0
28,2024-02-23,12.62,12.62,12.62,12.62,0
29,2024-02-26,12.62,12.62,12.62,12.62,0
30,2024-02-27,12.62,12.62,12.62,12.62,0
31,2024-02-28,12.62,12.62,12.62,12.62,0
32,2024-02-29,12.62,12.62,12.62,12.62,0
33,2024-03-01,12.62,12.62,12.62,12.62,0
34,2024-03-04,12.62,12.62,12.62,12.62,0
35,2024-03-05,12.62,12.62,12.62,12.62,0
36,2024-03-06,12.62,12.62,12.62,12.62,0
37,2024-03-07,12.62,12.62,12.62,12.62,0
38,2024-03-08,12.62,12.62,12.62,12.62,0
39,2024-03-11,12.62,12.62,12.62,12.62,0
40,2024-03-12,12.62,12.62,12.62,12.62,0
41,2024-03-13,12.62,12.62,12.62,12.62,0
42,2024-03-14,12.62,12.62,12.62,12.62,0
43,2024-03-15,12.62,12.62,12.62,12.62,0
44,2024-03-18,12.62,12.62,12.62,12.62,0
45,2024-03-19,12.62,12.62,12.62,12.62,0
46,2024-03-20,12.62,12.62,12.62,12.62,0
47,2024-03-21,12.62,12.62,12.62,12.62,0
48,2024-03-22,12.62,12.62,12.62,12.62,0
49,2024-03-25,12.62,12.62,12.62,12.62,0
50,2024-03-26,12.62,12.62,12.62,12.62,0
51,2024-03-27,12.62,12.62,12.62,12.62,0
52,2024-03-28,12.62,12.62,12.62,12.62,0
53,2024-03-29,12.62,12.62,12.62,12.62,0
54,2024-04-01,12.62,12.62,12.62,12.62,0
55,2024-04-02,12.62,12.62,12.62,12.62,0
56,2024-04-03,12.62,12.62,12.62,12.62,0
57,2024-04-04,12.62,12.62,12.62,12.62,0
58,2024-04-05,12.62,12.62,12.62,12.62,0
59,2024-04-08,12.62,12.62,12.62,12.62,0
60,2024-04-09,12.62,12.62,12.62,12.62,0
61,2024-04-10,12.62,12.62,12.62,12.62,0
62,2024-04-11,12.62,12.62,12.62,12.62,0
63,2024-04-12,12.62,12.62,12.62,12.62,0
64,2024-04-15,12.62,12.62,12.62,12.62,0
65,2024-04-16,12.62,12.62,12.62,12.62,0
66,2024-04-17,12.62,12.62,12.62,12.62,0
67,2024-04-19,12.62,12.62,12.62,12.62,0
68,2024-04-22,12.62,12.62,12.62,12.62,0
69,2024-04-23,12.62,12.62,12.62,12.62,0
70,2024-04-24,12.62,12.62,12.62,12.62,0
71,2024-04-25,12.62,12.62,12.62,12.62,0
72,2024-04-26,12.62,12.62,12.62,12.62,0
73,2024-05-02,12.62,12.62,12.62,12.62,0
74,2024-05-03,12.62,12.62,12.62,12.62,0
75,2024-05-06,12.62,12.62,12.62,12.62,0
76,2024-05-07,12.62,12.62,12.62,12.62,0
77,2024-05-08,12.62,12.62,12.62,12.62,0
78,2024-05-09,12.62,12.62,12.62,12.62,0
79,2024-05-10,12.62,12.62,12.62,12.62,0
80,2024-05-13,12.62,12.62,12.62,12.62,0
81,2024-05-14,12.62,12.62,12.62,12.62,0
82,2024-05-15,12.62,12.62,12.62,12.62,0
83,2024-05-16,12.62,12.62,12.62,12.62,0
84,2024-05-17,12.62,12.62,12.62,12.62,0
85,2024-05-20,12.62,12.62,12.62,12.62,0
86,2024-05-21,12.62,12.62,12.62,12.62,0
87,2024-05-22,12.62,12.62,12.62,12.62,0
88,2024-05-23,12.62,12.62,12.62,12.62,0
89,2024-05-24,12.62,12.62,12.62,12.62,0
90,2024-05-27,12.62,12.62,12.62,12.62,0
91,2024-05-28,12.62,12.62,12.62,12.62,0
92,2024-05-29,12.62,12.62,12.62,12.62,0
93,2024-05-30,12.62,12.62,12.62,12.62,0
94,2024-05-31,12.62,12.62,12.62,12.62,0
95,2024-06-03,12.62,12.62,12.62,12.62,0
96,2024-06-04,12.62,12.62,12.62,12.62,0
97,2024-06-05,12.62,12.62,12.62,12.62,0
98,2024-06-06,12.62,12.62,12.62,12.62,0
99,2024-06-07,12.62,12.62,12.62,12.62,0
100,2024-06-10,12.62,12.62,12.62,12.62,0
101,2024-06-11,12.62,12.62,12.62,12.62,0
102,2024-06-12,12.62,12.62,12.62,12.62,0
103,2024-06-13,12.62,12.62,12.62,12.62,0
104,2024-06-14,12.62,12.62,12.62,12.62,0
105,2024-06-17,12.6,12.6,12.6,12.6,0
106,2024-06-18,12.6,12.6,12.6,12.6,0
107,2024-06-19,12.6,12.6,12.6,12.6,0
108,2024-06-20,12.6,12.6,12.6,12.6,0
109,2024-06-21,12.6,12.6,12.6,12.6,0
110,2024-06-24,12.6,12.6,12.6,12.6,0
111,2024-06-25,12.6,12.6,12.6,12.6,0
112,2024-06-26,12.6,12.6,12.6,12.6,0
113,2024-06-27,12.6,12.6,12.6,12.6,0
114,2024-06-28,12.6,12.6,12.6,12.6,0
115,2024-07-01,12.6,12.6,12.6,12.6,0
116,2024-07-02,12.6,12.6,12.6,12.6,0
117,2024-07-03,12.6,12.6,12.6,12.6,0
118,2024-07-04,12.6,12.6,12.6,12.6,0
119,2024-07-05,12.6,12.6,12.6,12.6,0
120,2024-07-08,12.6,12.6,12.6,12.6,0
121,2024-07-09,12.6,12.6,12.6,12.6,0
122,2024-07-10,12.6,12.6,12.6,12.6,0
123,2024-07-11,12.6,12.6,12.6,12.6,0
124,2024-07-12,12.6,12.6,12.6,12.6,0
125,2024-07-15,12.6,12.6,12.6,12.6,0
126,2024-07-16,12.6,12.6,12.6,12.6,0
127,2024-07-17,12.6,12.6,12.6,12.6,0
128,2024-07-18,12.6,12.6,12.6,12.6,0
129,2024-07-19,12.6,12.6,12.6,12.6,0
130,2024-07-22,12.6,12.6,12.6,12.6,0
131,2024-07-23,12.6,12.6,12.6,12.6,0
132,2024-07-24,12.6,12.6,12.6,12.6,0
133,2024-07-25,12.6,12.6,12.6,12.6,0
134,2024-07-26,12.6,12.6,12.6,12.6,0
135,2024-07-29,12.6,12.6,12.6,12.6,0
136,2024-07-30,12.6,12.6,12.6,12.6,0
137,2024-07-31,12.6,12.6,12.6,12.6,0
138,2024-08-01,12.6,12.6,12.6,12.6,0
139,2024-08-02,12.6,12.6,12.6,12.6,0
140,2024-08-05,12.6,12.6,12.6,12.6,0
141,2024-08-06,12.6,12.6,12.6,12.6,0
142,2024-08-07,12.6,12.6,12.6,12.6,0
143,2024-08-08,12.6,12.6,12.6,12.6,0
144,2024-08-09,12.6,12.6,12.6,12.6,0
145,2024-08-12,12.6,12.6,12.6,12.6,0
146,2024-08-13,12.6,12.6,12.6,12.6,0
147,2024-08-14,12.6,12.6,12.6,12.6,0
148,2024-08-15,12.6,12.6,12.6,12.6,0
149,2024-08-16,12.6,12.6,12.6,12.6,0
150,2024-08-19,12.6,12.6,12.6,12.6,0
151,2024-08-20,12.6,12.6,12.6,12.6,0
152,2024-08-21,12.6,12.6,12.6,12.6,0
153,2024-08-22,12.6,12.6,12.6,12.6,0
154,2024-08-23,12.6,12.6,12.6,12.6,0
155,2024-08-26,12.6,12.6,12.6,12.6,0
156,2024-08-27,12.6,12.6,12.6,12.6,0
157,2024-08-28,12.6,12.6,12.6,12.6,0
158,2024-08-29,12.6,12.6,12.6,12.6,0
159,2024-08-30,12.6,12.6,12.6,12.6,0
160,2024-09-04,12.6,12.6,12.6,12.6,0
161,2024-09-05,12.6,12.6,12.6,12.6,0
162,2024-09-06,12.6,12.6,12.6,12.6,0
163,2024-09-09,12.6,12.6,12.6,12.6,0
164,2024-09-10,12.6,12.6,12.6,12.6,0
165,2024-09-11,12.6,12.6,12.6,12.6,0
166,2024-09-12,12.6,12.6,12.6,12.6,0
167,2024-09-13,12.6,12.6,12.6,12.6,0
168,2024-09-16,12.6,12.6,12.6,12.6,0
169,2024-09-17,12.6,12.6,12.6,12.6,0
170,2024-09-18,12.6,12.6,12.6,12.6,0
171,2024-09-19,12.6,12.6,12.6,12.6,0
172,2024-09-20,12.6,12.6,12.6,12.6,0
173,2024-09-23,12.6,12.6,12.6,12.6,0
174,2024-09-24,12.6,12.6,12.6,12.6,0
175,2024-09-25,12.6,12.6,12.6,12.6,0
176,2024-09-26,12.6,12.6,12.6,12.6,0
177,2024-09-27,12.6,12.6,12.6,12.6,0
178,2024-09-30,12.6,12.6,12.6,12.6,0
179,2024-10-01,12.6,12.6,12.6,12.6,0
180,2024-10-02,12.6,12.6,12.6,12.6,0
181,2024-10-03,12.6,12.6,12.6,12.6,0
182,2024-10-04,12.6,12.6,12.6,12.6,0
183,2024-10-07,12.6,12.6,12.6,12.6,0
184,2024-10-08,12.6,12.6,12.6,12.6,0
185,2024-10-09,12.6,12.6,12.6,12.6,0
186,2024-10-10,12.6,12.6,12.6,12.6,0
187,2024-10-11,12.6,12.6,12.6,12.6,0
188,2024-10-14,12.6,12.6,12.6,12.6,0
189,2024-10-15,12.6,12.6,12.6,12.6,0
190,2024-10-16,12.6,12.6,12.6,12.6,0
191,2024-10-17,12.6,12.6,12.6,12.6,0
192,2024-10-18,12.6,12.6,12.6,12.6,0
193,2024-10-21,12.6,12.6,12.6,12.6,0
194,2024-10-22,12.6,12.6,12.6,12.6,0
195,2024-10-23,12.6,12.6,12.6,12.6,0
196,2024-10-24,12.6,12.6,12.6,12.6,0
197,2024-10-25,12.6,12.6,12.6,12.6,0
198,2024-10-28,12.6,12.6,12.6,12.6,0
199,2024-10-29,12.6,12.6,12.6,12.6,0
200,2024-10-30,12.6,12.6,12.6,12.6,0
201,2024-10-31,12.6,12.6,12.6,12.6,0
202,2024-11-01,12.6,12.6,12.6,12.6,0
203,2024-11-04,12.6,12.6,12.6,12.6,0
204,2024-11-05,12.6,12.6,12.6,12.6,0
205,2024-11-06,12.6,12.6,12.6,12.6,0
206,2024-11-07,12.6,12.6,12.6,12.6,0
207,2024-11-08,12.6,12.6,12.6,12.6,0
208,2024-11-11,12.6,12.6,12.6,12.6,0
209,2024-11-12,12.6,12.6,12.6,12.6,0
210,2024-11-13,12.6,12.6,12.6,12.6,0
211,2024-11-14,12.6,12.6,12.6,12.6,0
212,2024-11-15,12.6,12.6,12.6,12.6,0
213,2024-11-18,12.6,12.6,12.6,12.6,0
214,2024-11-19,12.6,12.6,12.6,12.6,0
215,2024-11-20,12.6,12.6,12.6,12.6,0
216,2024-11-21,12.6,12.6,12.6,12.6,0
217,2024-11-22,12.6,12.6,12.6,12.6,0
218,2024-11-25,12.6,12.6,12.6,12.6,0
219,2024-11-26,12.6,12.6,12.6,12.6,0
220,2024-11-27,12.6,12.6,12.6,12.6,0
221,2024-11-28,12.6,12.6,12.6,12.6,0
222,2024-11-29,12.6,12.6,12.6,12.6,0
223,2024-12-02,12.6,12.6,12.6,12.6,0
224,2024-12-03,12.6,12.6,12.6,12.6,0
225,2024-12-04,12.6,12.6,12.6,12.6,0
226,2024-12-05,12.6,12.6,12.6,12.6,0
