,time,open,high,low,close,volume
0,2016-10-05,7.68,7.68,7.68,7.68,205890
1,2016-10-06,8.21,8.21,8.21,8.21,14250
2,2016-10-07,8.76,8.76,8.76,8.76,30910
3,2016-10-10,9.36,9.36,9.36,9.36,450360
4,2016-10-11,10.0,10.0,10.0,10.0,799790
5,2016-10-12,10.68,10.68,10.68,10.68,1130610
6,2016-10-13,11.43,11.43,11.41,11.43,3145880
7,2016-10-14,12.15,12.22,11.94,12.22,2242380
8,2016-10-17,13.05,13.07,12.96,13.07,1428260
9,2016-10-18,13.97,13.97,13.94,13.97,1439460
10,2016-10-19,14.9,14.9,13.01,13.01,1389260
11,2016-10-20,12.11,12.11,12.11,12.11,805310
12,2016-10-21,11.28,12.6,11.28,12.37,3892820
13,2016-10-24,12.41,12.73,12.39,12.64,1239320
14,2016-10-25,12.69,13.05,11.9,12.13,1387380
15,2016-10-26,11.51,12.15,11.32,12.15,2192960
16,2016-10-27,12.22,12.73,12.22,12.71,1137290
17,2016-10-28,11.98,12.96,11.98,12.88,1771130
18,2016-10-31,12.73,12.73,11.98,12.07,557560
19,2016-11-01,11.39,12.28,11.24,12.07,941280
20,2016-11-02,12.09,12.09,11.24,11.24,733570
21,2016-11-03,10.47,10.83,10.47,10.47,280160
22,2016-11-04,9.74,10.21,9.74,10.11,1020320
23,2016-11-07,9.81,10.23,9.4,9.4,179850
24,2016-11-08,8.76,10.04,8.76,10.04,1175430
25,2016-11-09,10.08,10.47,9.59,10.17,1376620
26,2016-11-10,10.21,10.87,10.19,10.19,617110
27,2016-11-11,9.59,10.19,9.49,9.49,610960
28,2016-11-14,9.38,9.42,8.95,9.32,910960
29,2016-11-15,9.34,9.53,9.34,9.51,717210
30,2016-11-16,9.55,9.79,9.55,9.64,1183670
31,2016-11-17,9.38,9.64,9.38,9.51,775880
32,2016-11-18,9.55,10.0,9.55,9.94,1545900
33,2016-11-21,10.02,10.58,9.96,9.96,265960
34,2016-11-22,9.96,10.17,9.96,10.0,1039110
35,2016-11-23,10.0,10.15,9.32,9.47,352320
36,2016-11-24,9.47,9.57,8.95,9.04,282950
37,2016-11-25,9.04,9.13,8.44,8.74,260410
38,2016-11-28,8.76,8.78,8.14,8.23,164100
39,2016-11-29,7.72,8.81,7.7,8.81,377890
40,2016-11-30,8.87,9.38,8.7,8.85,410010
41,2016-12-01,8.85,8.85,8.32,8.4,152600
42,2016-12-02,7.97,8.4,7.97,8.19,338550
43,2016-12-05,8.44,8.75,8.44,8.75,403940
44,2016-12-06,8.82,9.1,8.75,8.77,447500
45,2016-12-07,8.49,8.98,8.49,8.96,457640
46,2016-12-08,9.15,9.29,8.96,9.29,541740
47,2016-12-09,9.05,9.29,9.05,9.29,395990
48,2016-12-12,9.05,9.15,8.75,8.75,154710
49,2016-12-13,8.61,8.65,8.21,8.21,115150
50,2016-12-14,8.02,8.54,7.93,8.23,188730
51,2016-12-15,8.19,8.28,8.11,8.26,254330
52,2016-12-16,8.28,8.35,8.26,8.3,316980
53,2016-12-19,8.26,8.42,8.23,8.4,461400
54,2016-12-20,8.37,8.49,8.35,8.37,330030
55,2016-12-21,8.37,8.4,8.21,8.37,602550
56,2016-12-22,8.3,8.35,8.09,8.21,137410
57,2016-12-23,8.14,8.21,7.97,8.14,67440
58,2016-12-26,8.16,8.19,7.88,8.02,104860
59,2016-12-27,8.07,8.09,7.65,7.74,354160
60,2016-12-28,7.67,7.72,7.51,7.6,237510
61,2016-12-29,7.51,7.62,7.11,7.51,312690
62,2016-12-30,7.32,7.93,7.29,7.93,763300
63,2017-01-03,7.76,7.93,7.76,7.93,524250
64,2017-01-04,7.95,7.97,7.83,7.88,532300
65,2017-01-05,7.74,8.07,7.74,8.0,954840
66,2017-01-06,7.93,7.95,7.79,7.95,736580
67,2017-01-09,8.02,8.11,8.02,8.07,710260
68,2017-01-10,7.88,8.07,7.76,7.88,665850
69,2017-01-11,7.88,7.95,7.74,7.95,764900
70,2017-01-12,7.95,8.07,7.65,7.88,1352390
71,2017-01-13,7.86,7.86,7.65,7.83,528940
72,2017-01-16,7.65,7.79,7.6,7.74,101340
73,2017-01-17,7.76,7.76,7.46,7.51,175430
74,2017-01-18,7.41,7.62,7.13,7.41,449810
75,2017-01-19,7.41,7.41,7.22,7.34,337660
