,time,open,high,low,close,volume
0,2012-01-03,2.16,2.24,2.16,2.24,16010
1,2012-01-04,2.24,2.24,2.13,2.13,32770
2,2012-01-05,2.03,2.16,2.03,2.06,44690
3,2012-01-06,2.06,2.06,1.98,2.06,3090
4,2012-01-09,2.11,2.11,2.03,2.06,16540
5,2012-01-10,2.08,2.16,2.08,2.16,71160
6,2012-01-11,2.11,2.21,2.11,2.16,30790
7,2012-01-12,2.19,2.24,2.19,2.19,25300
8,2012-01-13,2.21,2.21,2.19,2.21,15090
9,2012-01-16,2.24,2.26,2.21,2.21,24190
10,2012-01-17,2.21,2.21,2.19,2.21,13430
11,2012-01-18,2.13,2.21,2.13,2.19,37580
12,2012-01-19,2.24,2.24,2.21,2.24,12820
13,2012-01-20,2.24,2.31,2.24,2.31,56420
14,2012-01-30,2.21,2.34,2.21,2.31,119270
15,2012-01-31,2.26,2.34,2.26,2.31,108160
16,2012-02-01,2.24,2.31,2.24,2.31,1500
17,2012-02-02,2.31,2.42,2.31,2.42,46920
18,2012-02-03,2.39,2.52,2.31,2.31,41580
19,2012-02-06,2.31,2.31,2.24,2.26,25530
20,2012-02-07,2.24,2.37,2.24,2.37,125580
21,2012-02-08,2.47,2.47,2.42,2.47,43860
22,2012-02-09,2.42,2.47,2.42,2.47,22880
23,2012-02-10,2.39,2.44,2.37,2.37,31170
24,2012-02-13,2.34,2.37,2.26,2.37,8580
25,2012-02-14,2.39,2.39,2.29,2.34,11960
26,2012-02-15,2.37,2.37,2.31,2.34,11780
27,2012-02-16,2.34,2.37,2.29,2.29,6820
28,2012-02-17,2.31,2.31,2.31,2.31,9420
29,2012-02-20,2.34,2.39,2.31,2.34,62250
30,2012-02-21,2.42,2.42,2.31,2.34,55420
31,2012-02-22,2.37,2.42,2.31,2.39,32530
32,2012-02-23,2.39,2.44,2.39,2.42,19160
33,2012-02-24,2.42,2.52,2.37,2.52,170720
34,2012-02-27,2.6,2.62,2.55,2.62,67640
35,2012-02-28,2.75,2.75,2.65,2.65,82980
36,2012-02-29,2.6,2.7,2.6,2.7,32580
37,2012-03-01,2.62,2.67,2.57,2.65,90060
38,2012-03-02,2.62,2.67,2.57,2.65,18290
39,2012-03-05,2.65,2.78,2.65,2.78,121990
40,2012-03-06,2.91,2.91,2.67,2.73,41440
41,2012-03-07,2.67,2.78,2.65,2.73,29410
42,2012-03-08,2.65,2.67,2.6,2.6,57880
43,2012-03-09,2.62,2.62,2.52,2.57,35960
44,2012-03-12,2.52,2.62,2.52,2.57,25580
45,2012-03-13,2.57,2.65,2.52,2.62,2160
