,time,open,high,low,close,volume
0,2017-06-26,12.42,14.2,10.65,12.1,139100
1,2017-06-27,12.0,12.0,11.89,11.89,32829
2,2017-06-28,11.85,11.85,10.33,11.36,30540
3,2017-06-29,11.36,11.36,10.22,10.47,24531
4,2017-06-30,10.29,10.29,9.58,9.94,33300
5,2017-07-03,9.94,9.94,9.58,9.69,35141
6,2017-07-04,9.5,9.88,9.12,9.12,30530
7,2017-07-05,9.12,9.31,8.89,8.93,26750
8,2017-07-06,9.0,10.26,9.0,10.26,25289
9,2017-07-07,10.03,10.03,9.54,9.92,5500
10,2017-07-10,9.16,9.16,9.16,9.16,3052
11,2017-07-11,9.27,9.69,9.27,9.31,21240
12,2017-07-12,9.42,9.88,9.31,9.88,12100
13,2017-07-13,9.5,9.8,9.5,9.8,10624
14,2017-07-14,9.54,9.65,9.5,9.65,11502
15,2017-07-17,9.5,9.5,9.12,9.5,10533
16,2017-07-18,9.16,9.54,9.12,9.31,9100
17,2017-07-19,9.12,9.35,9.12,9.35,3725
18,2017-07-20,9.16,9.5,9.12,9.35,23215
19,2017-07-21,9.5,9.5,9.12,9.31,19400
20,2017-07-24,9.08,9.31,9.04,9.23,36884
21,2017-07-25,9.16,9.31,9.16,9.27,12316
22,2017-07-26,9.23,9.35,9.23,9.35,14189
23,2017-07-27,9.31,9.5,9.19,9.38,21079
24,2017-07-28,9.31,9.31,9.23,9.31,10097
25,2017-07-31,9.23,9.31,9.12,9.12,6420
26,2017-08-01,9.27,9.27,9.04,9.12,16530
27,2017-08-02,9.12,9.12,9.08,9.12,4601
28,2017-08-03,9.04,9.04,8.93,8.93,13652
29,2017-08-04,8.55,8.89,8.55,8.89,14898
30,2017-08-07,8.74,8.74,8.4,8.7,6234
31,2017-08-08,8.55,8.66,8.36,8.66,15416
32,2017-08-09,9.08,9.12,8.24,9.12,4746
33,2017-08-10,8.7,8.7,8.55,8.55,5638
34,2017-08-11,8.93,8.93,8.74,8.74,1300
35,2017-08-14,8.66,8.66,8.59,8.59,2701
36,2017-08-15,8.93,8.93,8.93,8.93,963
37,2017-08-16,8.51,8.51,8.47,8.47,6125
38,2017-08-17,8.74,8.74,8.36,8.36,5287
39,2017-08-18,8.32,8.66,8.32,8.66,1230
40,2017-08-21,8.55,8.55,8.36,8.36,6208
41,2017-08-22,8.32,8.66,8.17,8.17,7004
42,2017-08-23,8.7,8.7,8.32,8.36,1300
43,2017-08-24,8.21,8.36,8.21,8.36,6400
44,2017-08-25,8.4,8.43,8.4,8.4,1300
45,2017-08-28,8.55,8.55,8.24,8.24,4483
46,2017-08-29,8.55,8.55,8.55,8.55,3064
47,2017-08-30,8.24,8.36,8.24,8.36,2600
48,2017-08-31,8.17,8.17,8.17,8.17,570
49,2017-09-01,8.36,8.36,8.13,8.13,800
50,2017-09-05,8.36,8.36,8.17,8.17,1100
51,2017-09-06,8.17,8.17,8.17,8.17,633
52,2017-09-07,8.17,8.17,8.17,8.17,5497
53,2017-09-08,8.09,8.13,8.09,8.13,8252
54,2017-09-11,7.41,7.41,7.41,7.41,2550
55,2017-09-12,7.6,7.6,7.45,7.6,7707
56,2017-09-13,7.6,7.98,7.56,7.98,5544
57,2017-09-14,8.17,8.17,8.13,8.13,6300
58,2017-09-15,8.74,9.12,8.74,9.08,310
59,2017-09-18,8.93,9.12,8.93,9.12,500
60,2017-09-19,8.36,8.36,8.36,8.36,5807
61,2017-09-20,8.47,8.55,7.64,7.64,16063
62,2017-09-21,7.64,8.4,7.64,8.4,5200
63,2017-09-22,8.36,8.36,8.05,8.36,1377
64,2017-09-25,7.56,7.56,7.56,7.56,1254
65,2017-09-26,8.36,8.36,8.36,8.36,176
66,2017-09-27,8.93,8.93,7.14,8.17,1811
67,2017-09-28,8.36,8.36,8.36,8.36,184
68,2017-09-29,8.55,8.55,8.55,8.55,500
69,2017-10-02,8.55,8.55,8.55,8.55,0
70,2017-10-03,7.48,8.55,7.48,7.98,6993
71,2017-10-04,8.36,8.36,8.36,8.36,100
72,2017-10-05,8.36,8.36,8.36,8.36,0
73,2017-10-06,7.6,7.6,7.41,7.41,4729
74,2017-10-09,8.32,8.32,8.32,8.32,100
75,2017-10-10,8.32,8.32,8.32,8.32,0
76,2017-10-11,7.29,7.29,7.22,7.22,1247
77,2017-10-12,7.22,8.36,7.22,8.36,1100
78,2017-10-13,8.32,8.32,8.32,8.32,190
79,2017-10-16,7.22,8.32,7.1,7.1,10700
80,2017-10-17,7.41,7.71,7.41,7.6,5500
81,2017-10-18,7.56,8.09,7.56,8.09,3221
82,2017-10-19,7.33,7.33,7.26,7.26,1500
83,2017-10-20,7.6,7.6,7.6,7.6,100
84,2017-10-23,7.41,7.41,7.33,7.33,205
85,2017-10-24,7.56,7.56,7.56,7.56,200
86,2017-10-25,8.36,8.36,7.22,7.22,1756
87,2017-10-26,6.99,6.99,6.46,6.46,1900
88,2017-10-27,7.6,7.6,7.6,7.6,100
89,2017-10-30,7.6,7.6,7.6,7.6,0
90,2017-10-31,7.98,7.98,6.72,7.6,400
91,2017-11-01,7.48,7.48,7.48,7.48,0
92,2017-11-02,7.29,7.29,6.84,6.84,1600
93,2017-11-03,7.22,7.22,7.22,7.22,5000
94,2017-11-06,7.18,7.18,7.18,7.18,100
95,2017-11-07,6.84,6.88,6.84,6.84,4221
96,2017-11-08,6.84,6.84,6.84,6.84,300
97,2017-11-09,7.03,7.03,6.88,7.03,5850
98,2017-11-10,6.69,6.69,6.65,6.65,835
99,2017-11-13,7.6,7.6,7.6,7.6,102
100,2017-11-14,7.56,7.56,6.84,6.84,4700
101,2017-11-15,6.84,6.84,6.65,6.84,17274
102,2017-11-16,6.99,7.41,6.99,7.03,2950
103,2017-11-17,7.26,7.37,7.26,7.37,300
104,2017-11-20,7.37,7.37,7.37,7.37,100
105,2017-11-21,6.99,6.99,6.91,6.91,2500
106,2017-11-22,6.91,7.1,6.84,6.84,13331
107,2017-11-23,6.88,7.03,6.88,7.03,3200
108,2017-11-24,6.84,6.84,6.84,6.84,1174
109,2017-11-27,6.65,6.65,6.46,6.46,3800
110,2017-11-28,6.69,7.22,6.69,7.22,700
111,2017-11-29,6.84,6.88,6.84,6.88,900
112,2017-11-30,6.84,6.84,6.84,6.84,2300
113,2017-12-01,6.84,6.95,6.84,6.88,4386
114,2017-12-04,6.84,7.03,6.84,7.03,18912
115,2017-12-05,6.84,6.84,6.84,6.84,503
116,2017-12-06,7.18,7.22,7.18,7.22,900
117,2017-12-07,6.84,7.22,6.84,6.84,5777
118,2017-12-08,7.22,7.22,6.88,6.88,1000
119,2017-12-11,6.84,6.84,6.84,6.84,100
120,2017-12-12,6.84,7.03,6.84,6.91,6150
121,2017-12-13,6.84,6.84,6.84,6.84,4000
122,2017-12-14,6.84,6.84,6.57,6.57,200
123,2017-12-15,6.65,6.65,6.65,6.65,1000
124,2017-12-18,6.65,6.65,6.65,6.65,21
125,2017-12-19,6.65,6.65,6.65,6.65,56
126,2017-12-20,6.84,6.84,6.84,6.84,700
127,2017-12-21,6.84,6.84,6.84,6.84,200
128,2017-12-22,6.84,6.84,6.65,6.65,5547
129,2017-12-25,6.8,6.8,6.8,6.8,0
130,2017-12-26,6.84,6.84,6.84,6.84,400
131,2017-12-27,6.99,7.03,6.99,7.03,500
132,2017-12-28,6.84,6.84,6.84,6.84,5600
133,2017-12-29,6.84,7.07,6.84,7.07,7100
134,2018-01-02,7.14,7.22,7.07,7.1,4000
135,2018-01-03,7.56,7.94,7.56,7.6,9512
136,2018-01-04,7.48,7.48,7.41,7.41,2700
137,2018-01-05,7.45,7.45,7.45,7.45,1528
138,2018-01-08,7.79,7.79,7.79,7.79,500
139,2018-01-09,7.41,7.41,7.41,7.41,1000
140,2018-01-10,7.41,7.41,7.41,7.41,1600
141,2018-01-11,7.33,7.33,7.33,7.33,1900
142,2018-01-12,7.33,7.33,7.33,7.33,3000
143,2018-01-15,7.22,7.22,7.22,7.22,1000
144,2018-01-16,7.22,7.22,7.22,7.22,1500
145,2018-01-17,7.22,7.22,7.22,7.22,1000
146,2018-01-18,7.22,7.22,7.22,7.22,0
147,2018-01-19,8.28,8.28,8.28,8.28,100
148,2018-01-22,8.28,8.28,8.28,8.28,0
149,2018-01-23,8.28,8.28,8.28,8.28,0
150,2018-01-24,7.6,7.6,7.07,7.07,1310
151,2018-01-25,7.03,7.03,6.91,6.91,11000
152,2018-01-26,6.99,6.99,6.99,6.91,60
153,2018-01-29,6.99,6.99,6.99,6.99,0
154,2018-01-30,6.95,7.03,6.88,7.03,3800
155,2018-01-31,6.95,7.6,6.95,7.22,18900
156,2018-02-01,7.22,7.22,7.22,7.22,14002
157,2018-02-02,7.26,7.29,7.22,7.29,800
158,2018-02-05,7.03,7.03,6.88,6.88,5100
159,2018-02-06,6.91,6.91,6.84,6.84,6100
160,2018-02-07,6.84,6.84,6.84,6.84,800
161,2018-02-08,7.22,7.22,7.22,7.22,2000
162,2018-02-09,7.03,7.03,6.84,6.84,3100
163,2018-02-12,7.03,7.03,6.84,6.84,4636
