,time,open,high,low,close,volume
0,2012-01-03,2.34,2.37,2.31,2.31,183790
1,2012-01-04,2.28,2.31,2.28,2.28,86030
2,2012-01-05,2.28,2.28,2.22,2.25,143440
3,2012-01-06,2.25,2.25,2.17,2.17,204610
4,2012-01-09,2.17,2.2,2.11,2.17,278170
5,2012-01-10,2.2,2.25,2.2,2.25,162700
6,2012-01-11,2.31,2.31,2.2,2.22,84520
7,2012-01-12,2.22,2.25,2.2,2.22,81850
8,2012-01-13,2.25,2.31,2.25,2.31,114660
9,2012-01-16,2.28,2.42,2.28,2.39,283910
10,2012-01-17,2.39,2.39,2.31,2.31,168230
11,2012-01-18,2.34,2.37,2.31,2.34,22110
12,2012-01-19,2.34,2.45,2.34,2.45,279810
13,2012-01-20,2.48,2.51,2.42,2.42,204230
14,2012-01-30,2.42,2.51,2.39,2.51,107170
15,2012-01-31,2.59,2.62,2.56,2.62,769530
16,2012-02-01,2.68,2.7,2.62,2.68,744830
17,2012-02-02,2.7,2.79,2.7,2.76,522080
18,2012-02-03,2.79,2.82,2.65,2.65,315380
19,2012-02-06,2.59,2.7,2.53,2.7,630780
20,2012-02-07,2.7,2.73,2.59,2.59,376400
21,2012-02-08,2.65,2.68,2.62,2.65,460170
22,2012-02-09,2.65,2.68,2.59,2.62,242670
23,2012-02-10,2.59,2.59,2.51,2.51,848900
24,2012-02-13,2.45,2.45,2.39,2.42,287500
25,2012-02-14,2.48,2.53,2.45,2.51,246020
26,2012-02-15,2.53,2.53,2.42,2.48,211190
27,2012-02-16,2.48,2.59,2.45,2.53,413870
28,2012-02-17,2.59,2.62,2.56,2.62,372730
29,2012-02-20,2.68,2.73,2.68,2.73,874820
30,2012-02-21,2.79,2.82,2.62,2.62,637920
31,2012-02-22,2.62,2.73,2.62,2.73,664710
32,2012-02-23,2.84,2.84,2.73,2.84,1308000
33,2012-02-24,2.87,2.99,2.84,2.84,1051300
34,2012-02-27,2.84,2.96,2.82,2.93,552910
35,2012-02-28,2.96,2.96,2.79,2.79,1090640
36,2012-02-29,2.76,2.82,2.7,2.79,717300
37,2012-03-01,2.76,2.82,2.73,2.76,465320
38,2012-03-02,2.73,2.84,2.73,2.84,660500
39,2012-03-05,2.96,2.99,2.96,2.99,389610
40,2012-03-06,3.07,3.07,2.84,2.87,1608370
41,2012-03-07,2.87,3.01,2.82,3.01,1154900
42,2012-03-08,2.96,3.15,2.9,2.9,905510
43,2012-03-09,2.9,3.01,2.9,3.01,647850
44,2012-03-12,3.01,3.01,2.9,2.96,439790
45,2012-03-13,2.99,3.04,2.93,2.99,371160
46,2012-03-14,2.99,3.01,2.93,2.96,466420
47,2012-03-15,2.96,3.07,2.9,3.04,825490
48,2012-03-16,3.1,3.1,3.01,3.01,762950
49,2012-03-19,2.96,3.01,2.96,2.99,376140
50,2012-03-20,2.99,3.04,2.99,3.04,452300
51,2012-03-21,3.07,3.18,3.07,3.18,1524180
52,2012-03-22,3.24,3.32,3.18,3.3,1623890
53,2012-03-23,3.27,3.35,3.24,3.27,1016420
54,2012-03-26,3.27,3.27,3.18,3.24,651790
55,2012-03-27,3.21,3.35,3.15,3.15,1322620
56,2012-03-28,3.15,3.18,3.04,3.15,668240
57,2012-03-29,3.13,3.18,3.04,3.04,880760
58,2012-03-30,2.99,3.07,2.96,2.96,536760
59,2012-04-03,2.99,3.07,2.93,3.01,439160
60,2012-04-04,3.04,3.04,2.96,2.99,421340
61,2012-04-05,2.99,3.1,2.96,3.04,288730
62,2012-04-06,3.04,3.15,3.04,3.1,546240
63,2012-04-09,3.15,3.21,3.13,3.21,697410
64,2012-04-10,3.3,3.32,3.18,3.24,1394300
65,2012-04-11,3.32,3.38,3.27,3.38,1763800
66,2012-04-12,3.46,3.55,3.38,3.55,2276370
67,2012-04-13,3.46,3.58,3.38,3.41,1297050
68,2012-04-16,3.44,3.58,3.32,3.55,1127240
69,2012-04-17,3.55,3.61,3.52,3.55,1856770
70,2012-04-18,3.49,3.63,3.44,3.52,2167130
71,2012-04-19,3.49,3.61,3.46,3.52,1639190
72,2012-04-20,3.55,3.69,3.52,3.61,1621230
73,2012-04-23,3.61,3.69,3.61,3.63,1083860
74,2012-04-24,3.63,3.8,3.58,3.69,1386990
75,2012-04-25,3.75,3.77,3.66,3.77,1350560
76,2012-04-26,3.75,3.77,3.66,3.66,1572920
77,2012-04-27,3.66,3.83,3.63,3.83,2676420
78,2012-05-02,3.89,4.0,3.8,3.83,1633460
79,2012-05-03,3.86,3.94,3.8,3.91,1000120
80,2012-05-04,3.97,4.03,3.91,4.0,1117380
81,2012-05-07,4.03,4.03,3.86,3.97,1757860
82,2012-05-08,3.97,4.14,3.91,4.0,2051770
83,2012-05-09,3.97,4.11,3.97,4.11,620480
84,2012-05-10,4.17,4.22,4.08,4.08,1339170
85,2012-05-11,4.08,4.14,3.91,3.94,1139740
86,2012-05-14,3.89,3.94,3.75,3.75,1701890
87,2012-05-15,3.75,3.8,3.61,3.61,919740
88,2012-05-16,3.61,3.69,3.52,3.58,859940
89,2012-05-17,3.61,3.69,3.58,3.58,503740
90,2012-05-18,3.58,3.58,3.44,3.52,1154070
91,2012-05-21,3.63,3.69,3.52,3.69,556790
92,2012-05-22,3.72,3.72,3.61,3.63,368840
93,2012-05-23,3.63,3.63,3.46,3.46,759400
94,2012-05-24,3.52,3.52,3.32,3.38,805920
95,2012-05-25,3.52,3.55,3.49,3.55,562300
96,2012-05-28,3.72,3.72,3.72,3.72,244580
97,2012-05-29,3.86,3.89,3.72,3.86,2418020
98,2012-05-30,3.77,3.94,3.77,3.86,722140
99,2012-05-31,3.8,3.83,3.72,3.75,890220
100,2012-06-01,3.86,3.86,3.75,3.77,577480
101,2012-06-04,3.77,3.77,3.61,3.61,1628200
102,2012-06-05,3.58,3.69,3.58,3.66,1035290
103,2012-06-06,3.69,3.73,3.59,3.66,482780
104,2012-06-07,3.69,3.79,3.63,3.76,849670
105,2012-06-08,3.83,3.83,3.63,3.66,775010
106,2012-06-11,3.66,3.73,3.59,3.63,766960
107,2012-06-12,3.53,3.63,3.53,3.53,445450
108,2012-06-13,3.53,3.56,3.46,3.49,437970
109,2012-06-14,3.49,3.49,3.39,3.39,577870
110,2012-06-15,3.46,3.53,3.43,3.46,602990
111,2012-06-18,3.49,3.56,3.46,3.46,428460
112,2012-06-19,3.46,3.53,3.43,3.43,284590
113,2012-06-20,3.46,3.46,3.43,3.46,223140
114,2012-06-21,3.46,3.49,3.39,3.39,367840
115,2012-06-22,3.39,3.43,3.36,3.36,542730
116,2012-06-25,3.3,3.39,3.23,3.23,529780
117,2012-06-26,3.16,3.2,3.1,3.1,603070
118,2012-06-27,3.1,3.16,3.06,3.06,386350
119,2012-06-28,3.06,3.1,3.0,3.1,413400
120,2012-06-29,3.1,3.13,3.06,3.13,223080
121,2012-07-02,3.13,3.16,3.03,3.03,215860
122,2012-07-03,3.06,3.06,2.9,2.93,505870
123,2012-07-04,2.93,3.0,2.86,2.9,231600
124,2012-07-05,2.9,3.0,2.83,3.0,261650
