,time,open,high,low,close,volume
0,2012-01-03,4.01,4.15,4.01,4.04,101490
1,2012-01-04,4.04,4.15,4.01,4.01,158940
2,2012-01-05,3.97,3.97,3.87,3.94,71540
3,2012-01-06,3.97,3.97,3.87,3.94,45120
4,2012-01-09,3.87,3.97,3.83,3.97,36080
5,2012-01-10,3.87,4.08,3.87,4.08,93980
6,2012-01-11,4.01,4.11,4.01,4.01,50180
7,2012-01-12,3.97,4.04,3.97,4.01,18130
8,2012-01-13,3.97,4.08,3.97,4.08,33360
9,2012-01-16,4.08,4.25,4.04,4.22,73180
10,2012-01-17,4.18,4.18,4.15,4.15,53000
11,2012-01-18,4.18,4.18,4.11,4.11,25410
12,2012-01-19,4.18,4.25,4.18,4.25,63670
13,2012-01-20,4.39,4.39,4.29,4.32,69150
14,2012-01-30,4.32,4.42,4.32,4.42,41570
15,2012-01-31,4.39,4.56,4.39,4.42,100010
16,2012-02-01,4.46,4.49,4.39,4.46,49940
17,2012-02-02,4.53,4.67,4.53,4.67,303920
18,2012-02-03,4.77,4.77,4.46,4.46,235530
19,2012-02-06,4.35,4.42,4.25,4.35,69820
20,2012-02-07,4.39,4.42,4.32,4.32,46100
21,2012-02-08,4.46,4.53,4.39,4.53,184670
22,2012-02-09,4.63,4.7,4.49,4.49,138130
23,2012-02-10,4.53,4.56,4.39,4.39,122230
24,2012-02-13,4.46,4.46,4.29,4.29,72590
25,2012-02-14,4.35,4.39,4.32,4.35,107970
26,2012-02-15,4.49,4.49,4.22,4.22,186880
27,2012-02-16,4.29,4.32,4.22,4.22,74210
28,2012-02-17,4.22,4.39,4.22,4.29,45220
29,2012-02-20,4.39,4.49,4.39,4.49,203030
30,2012-02-21,4.67,4.67,4.39,4.39,139960
31,2012-02-22,4.46,4.56,4.39,4.56,348900
32,2012-02-23,4.63,4.74,4.53,4.7,271670
33,2012-02-24,4.74,4.91,4.7,4.81,556160
34,2012-02-27,4.74,5.02,4.74,5.02,264820
35,2012-02-28,5.09,5.09,4.84,4.84,287940
36,2012-02-29,4.77,4.95,4.7,4.95,212330
37,2012-03-01,4.84,4.91,4.81,4.88,96520
38,2012-03-02,4.84,5.02,4.84,5.02,177790
39,2012-03-05,5.26,5.26,5.26,5.26,257840
40,2012-03-06,5.4,5.4,5.09,5.16,259430
41,2012-03-07,5.16,5.4,5.02,5.4,515550
42,2012-03-08,5.23,5.64,5.23,5.5,594760
43,2012-03-09,5.47,5.71,5.33,5.5,207150
44,2012-03-12,5.4,5.4,5.26,5.26,241840
45,2012-03-13,5.23,5.33,5.12,5.16,208400
46,2012-03-14,5.19,5.26,4.91,4.98,421170
47,2012-03-15,4.88,5.23,4.81,5.23,129900
48,2012-03-16,5.3,5.43,5.09,5.23,256020
