,time,open,high,low,close,volume
0,2012-01-03,3.26,3.26,3.26,3.26,0
1,2012-01-04,3.18,3.35,3.18,3.35,20
2,2012-01-05,3.39,3.39,3.39,3.39,40
3,2012-01-06,3.39,3.39,3.39,3.39,0
4,2012-01-09,3.39,3.39,3.39,3.39,10
5,2012-01-10,3.26,3.39,3.26,3.39,20
6,2012-01-11,3.31,3.31,3.31,3.31,10
7,2012-01-12,3.44,3.44,3.44,3.44,20
8,2012-01-13,3.31,3.31,3.31,3.31,10
9,2012-01-16,3.31,3.31,3.31,3.31,0
10,2012-01-17,3.22,3.22,3.22,3.22,10
11,2012-01-18,3.22,3.22,3.22,3.22,0
12,2012-01-19,3.22,3.22,3.22,3.22,0
13,2012-01-20,3.22,3.22,3.22,3.22,0
14,2012-01-30,3.35,3.35,3.35,3.35,140
15,2012-01-31,3.35,3.35,3.35,3.35,0
16,2012-02-01,3.48,3.48,3.48,3.48,10
17,2012-02-02,3.65,3.65,3.65,3.65,3750
18,2012-02-03,3.82,3.82,3.82,3.82,20
19,2012-02-06,3.99,3.99,3.99,3.99,1520
20,2012-02-07,4.17,4.17,4.17,4.17,10
21,2012-02-08,4.29,4.34,4.29,4.29,810
22,2012-02-09,4.51,4.51,4.51,4.51,10
23,2012-02-10,4.72,4.72,4.72,4.72,210
24,2012-02-13,4.72,4.72,4.72,4.72,150
25,2012-02-14,4.72,4.72,4.72,4.72,0
26,2012-02-15,4.51,4.51,4.51,4.51,9500
27,2012-02-16,4.34,4.34,4.34,4.34,10
28,2012-02-17,4.34,4.34,4.34,4.34,0
29,2012-02-20,4.17,4.17,4.17,4.17,10
30,2012-02-21,4.04,4.04,4.04,4.04,10
31,2012-02-22,4.21,4.21,4.21,4.21,20
32,2012-02-23,4.04,4.38,4.04,4.38,20
33,2012-02-24,4.6,4.6,4.6,4.6,1300
34,2012-02-27,4.38,4.81,4.38,4.81,30
35,2012-02-28,4.6,4.81,4.6,4.6,2140
36,2012-02-29,4.6,4.6,4.6,4.6,0
37,2012-03-01,4.6,4.6,4.6,4.6,0
38,2012-03-02,4.6,4.68,4.6,4.6,1010
39,2012-03-05,4.6,4.81,4.6,4.81,1010
40,2012-03-06,4.94,4.94,4.94,4.94,2000
41,2012-03-07,4.94,4.94,4.94,4.94,0
42,2012-03-08,4.98,4.98,4.98,4.98,700
43,2012-03-09,5.2,5.2,4.94,4.98,120
44,2012-03-12,5.2,5.2,5.2,5.2,1000
45,2012-03-13,5.45,5.45,5.24,5.24,60
46,2012-03-14,5.37,5.37,5.28,5.37,2320
47,2012-03-15,5.11,5.5,5.11,5.5,550
48,2012-03-16,5.5,5.54,5.5,5.54,1480
49,2012-03-19,5.71,5.71,5.71,5.71,50
50,2012-03-20,5.84,5.84,5.5,5.54,940
51,2012-03-21,5.28,5.63,5.28,5.63,90
52,2012-03-22,5.67,5.67,5.45,5.45,110
53,2012-03-23,5.37,5.5,5.37,5.5,210
54,2012-03-26,5.5,5.5,5.5,5.5,0
55,2012-03-27,5.5,5.5,5.5,5.5,0
56,2012-03-28,5.58,5.58,5.58,5.58,10
57,2012-03-29,5.58,5.58,5.58,5.58,880
58,2012-03-30,5.84,5.84,5.84,5.84,10
59,2012-04-03,5.93,5.93,5.93,5.93,10
60,2012-04-04,5.93,5.93,5.93,5.93,0
61,2012-04-05,5.93,5.93,5.93,5.93,0
