,time,open,high,low,close,volume
0,2012-01-03,0.94,0.94,0.94,0.94,100
1,2012-01-04,1.03,1.03,1.03,1.03,2500
2,2012-01-05,1.03,1.03,1.03,1.03,5000
3,2012-01-06,1.03,1.03,1.03,1.03,6500
4,2012-01-09,1.03,1.03,1.03,1.03,0
5,2012-01-10,0.94,0.94,0.94,0.94,1200
6,2012-01-11,0.94,0.94,0.94,0.94,0
7,2012-01-12,0.94,0.94,0.94,0.94,0
8,2012-01-16,0.94,0.94,0.94,0.94,0
9,2012-01-17,0.94,0.94,0.94,0.94,0
10,2012-01-18,1.03,1.03,1.03,1.03,1200
11,2012-01-19,0.94,0.94,0.94,0.94,500
12,2012-01-20,0.94,0.94,0.94,0.94,0
13,2012-01-30,1.03,1.03,1.03,1.03,100
14,2012-01-31,1.12,1.12,1.12,1.12,100
15,2012-02-01,1.08,1.08,1.08,1.08,500
16,2012-02-02,1.17,1.17,1.17,1.17,100
17,2012-02-03,1.08,1.08,1.08,1.08,4100
18,2012-02-06,1.08,1.08,1.08,1.08,0
19,2012-02-07,1.08,1.08,1.08,1.08,0
20,2012-02-08,1.12,1.12,1.12,1.12,4500
21,2012-02-09,1.12,1.12,1.12,1.12,1900
22,2012-02-10,1.17,1.17,1.17,1.17,10000
23,2012-02-13,1.12,1.22,1.12,1.22,12000
24,2012-02-14,1.12,1.31,1.12,1.31,1100
25,2012-02-15,1.22,1.4,1.22,1.4,4200
26,2012-02-16,1.45,1.45,1.45,1.45,4700
27,2012-02-17,1.31,1.31,1.31,1.31,1000
28,2012-02-20,1.31,1.31,1.31,1.31,0
29,2012-02-21,1.22,1.22,1.22,1.22,100
30,2012-02-22,1.12,1.12,1.12,1.12,200
31,2012-02-23,1.12,1.12,1.12,1.12,0
32,2012-02-24,1.03,1.03,1.03,1.03,200
33,2012-02-27,1.03,1.03,1.03,1.03,3000
34,2012-02-28,1.03,1.12,1.03,1.12,200
35,2012-02-29,1.08,1.08,1.08,1.08,12500
36,2012-03-01,1.17,1.17,1.17,1.17,2900
37,2012-03-02,1.12,1.12,1.12,1.12,700
38,2012-03-05,1.22,1.22,1.17,1.17,400
39,2012-03-06,1.12,1.12,1.12,1.12,4200
40,2012-03-07,1.12,1.12,1.12,1.12,0
41,2012-03-08,1.03,1.03,1.03,1.03,200
42,2012-03-09,1.03,1.03,1.03,1.03,0
43,2012-03-12,0.98,0.98,0.98,0.98,2000
44,2012-03-13,0.98,0.98,0.94,0.94,10000
45,2012-03-14,0.98,0.94,0.94,0.94,0
46,2012-03-15,0.98,0.98,0.98,0.98,11000
47,2012-03-16,1.08,1.08,1.08,1.08,100
48,2012-03-19,1.17,1.17,1.17,1.17,100
49,2012-03-20,1.12,1.12,1.12,1.12,50000
50,2012-03-21,1.22,1.22,1.22,1.22,200
51,2012-03-22,1.22,1.22,1.22,1.22,0
52,2012-03-23,1.22,1.22,1.22,1.22,0
53,2012-03-26,1.12,1.26,1.12,1.17,56500
54,2012-03-27,1.12,1.12,1.12,1.12,1100
55,2012-03-28,1.03,1.03,1.03,1.03,200
56,2012-03-29,1.03,1.03,1.03,1.03,0
57,2012-03-30,0.94,0.98,0.94,0.98,700
58,2012-04-03,0.98,0.98,0.98,0.98,0
59,2012-04-04,1.08,1.08,1.08,1.08,2300
60,2012-04-05,1.08,1.08,1.08,1.08,0
61,2012-04-06,1.08,1.08,1.08,1.08,0
62,2012-04-09,1.17,1.17,1.17,1.17,200
63,2012-04-10,1.17,1.17,1.17,1.17,4000
64,2012-04-11,1.26,1.26,1.26,1.26,300
65,2012-04-12,1.26,1.36,1.26,1.26,2200
66,2012-04-13,1.17,1.26,1.17,1.26,4400
67,2012-04-16,1.31,1.31,1.31,1.31,100
68,2012-04-17,1.31,1.31,1.31,1.31,0
69,2012-04-18,1.31,1.31,1.31,1.31,0
70,2012-04-19,1.22,1.31,1.22,1.31,2700
71,2012-04-20,1.22,1.22,1.22,1.22,200
72,2012-04-23,1.26,1.26,1.26,1.26,100
73,2012-04-24,1.22,1.36,1.22,1.36,6000
74,2012-04-25,1.4,1.45,1.4,1.45,7700
75,2012-04-26,1.4,1.4,1.4,1.4,5100
76,2012-04-27,1.4,1.4,1.4,1.4,0
77,2012-05-02,1.26,1.26,1.26,1.26,100
78,2012-05-03,1.36,1.36,1.36,1.36,100
79,2012-05-04,1.26,1.36,1.26,1.36,5100
80,2012-05-07,1.26,1.36,1.26,1.36,300
81,2012-05-08,1.31,1.36,1.36,1.36,0
82,2012-05-09,1.31,1.36,1.36,1.36,0
83,2012-05-10,1.22,1.26,1.22,1.26,300
84,2012-05-11,1.22,1.31,1.22,1.31,700
85,2012-05-14,1.26,1.31,1.31,1.31,0
86,2012-05-15,1.26,1.31,1.31,1.31,0
87,2012-05-16,1.26,1.31,1.31,1.31,0
88,2012-05-17,1.17,1.17,1.17,1.17,100
89,2012-05-18,1.17,1.17,1.12,1.12,200
90,2012-05-21,1.17,1.17,1.08,1.08,1000
91,2012-05-22,1.17,1.17,1.17,1.17,100
92,2012-05-23,1.17,1.17,1.17,1.17,0
93,2012-05-24,1.26,1.26,1.26,1.26,100
94,2012-05-25,1.31,1.31,1.31,1.31,4000
95,2012-05-28,1.31,1.31,1.31,1.31,5800
96,2012-05-29,1.31,1.31,1.31,1.31,800
97,2012-05-30,1.31,1.31,1.31,1.31,0
98,2012-05-31,1.31,1.31,1.31,1.31,1800
99,2012-06-01,1.22,1.22,1.22,1.22,100
100,2012-06-04,1.12,1.12,1.12,1.12,100
101,2012-06-05,1.12,1.12,1.12,1.12,0
102,2012-06-06,1.03,1.22,1.03,1.03,400
103,2012-06-07,1.17,1.17,1.17,1.17,600
104,2012-06-08,1.17,1.17,1.17,1.17,200
105,2012-06-11,1.08,1.17,1.08,1.17,2200
106,2012-06-12,1.17,1.17,1.17,1.17,0
107,2012-06-13,1.08,1.08,1.08,1.08,200
108,2012-06-14,1.08,1.08,1.08,1.08,0
109,2012-06-15,1.17,1.17,1.17,1.17,100
