,time,open,high,low,close,volume
0,2012-01-03,0.68,0.68,0.68,0.68,0
1,2012-01-04,0.71,0.71,0.71,0.71,10
2,2012-01-05,0.71,0.71,0.71,0.71,890
3,2012-01-06,0.71,0.71,0.71,0.71,0
4,2012-01-09,0.72,0.72,0.72,0.72,10
5,2012-01-10,0.75,0.75,0.75,0.75,10
6,2012-01-11,0.72,0.72,0.72,0.72,20
7,2012-01-12,0.68,0.68,0.68,0.68,10000
8,2012-01-13,0.65,0.65,0.65,0.65,10
9,2012-01-16,0.62,0.62,0.62,0.62,9990
10,2012-01-17,0.59,0.65,0.59,0.65,20
11,2012-01-18,0.65,0.65,0.65,0.65,0
12,2012-01-19,0.65,0.65,0.65,0.65,0
13,2012-01-20,0.65,0.68,0.65,0.68,40
14,2012-01-30,0.7,0.7,0.7,0.7,10
15,2012-01-31,0.72,0.72,0.71,0.71,2810
16,2012-02-01,0.68,0.74,0.68,0.74,17740
17,2012-02-02,0.77,0.77,0.76,0.77,9540
18,2012-02-03,0.79,0.79,0.79,0.79,500
19,2012-02-06,0.83,0.83,0.81,0.81,950
20,2012-02-07,0.78,0.79,0.78,0.78,3600
21,2012-02-08,0.74,0.77,0.74,0.75,1880
22,2012-02-09,0.75,0.75,0.75,0.75,5640
23,2012-02-10,0.75,0.75,0.75,0.75,0
24,2012-02-13,0.75,0.75,0.75,0.75,0
25,2012-02-14,0.76,0.77,0.76,0.77,60
26,2012-02-15,0.75,0.75,0.75,0.75,180
27,2012-02-16,0.78,0.78,0.76,0.76,3690
28,2012-02-17,0.76,0.76,0.76,0.76,3210
29,2012-02-20,0.76,0.76,0.72,0.72,4000
30,2012-02-21,0.75,0.75,0.75,0.75,20
31,2012-02-22,0.76,0.76,0.74,0.74,3970
32,2012-02-23,0.77,0.77,0.77,0.77,420
33,2012-02-24,0.81,0.81,0.81,0.81,9170
34,2012-02-27,0.84,0.84,0.84,0.84,6800
35,2012-02-28,0.88,0.88,0.88,0.88,28790
36,2012-02-29,0.88,0.88,0.84,0.88,6080
37,2012-03-01,0.88,0.88,0.84,0.87,9780
38,2012-03-02,0.87,0.91,0.87,0.91,15270
39,2012-03-05,0.93,0.94,0.9,0.94,18970
40,2012-03-06,0.94,0.99,0.94,0.97,14860
41,2012-03-07,0.93,0.97,0.93,0.97,2710
42,2012-03-08,0.97,0.97,0.97,0.97,0
43,2012-03-09,0.96,0.96,0.93,0.93,5690
44,2012-03-12,0.92,0.92,0.89,0.89,20
45,2012-03-13,0.85,0.85,0.85,0.85,1040
46,2012-03-14,0.85,0.88,0.81,0.81,210
