,time,open,high,low,close,volume
0,2016-03-01,9.22,0.0,0.0,0.0,0
1,2016-03-02,9.22,0.0,0.0,0.0,0
2,2016-03-03,9.22,0.0,0.0,0.0,0
3,2016-03-04,9.22,0.0,0.0,0.0,0
4,2016-03-07,9.22,0.0,0.0,0.0,0
5,2016-03-08,9.22,0.0,0.0,0.0,0
6,2016-03-09,9.22,0.0,0.0,0.0,0
7,2016-03-10,9.22,0.0,0.0,0.0,0
8,2016-03-11,8.84,8.84,8.84,8.84,1400
9,2016-03-14,8.84,8.84,8.84,8.84,0
10,2016-03-15,8.84,8.84,8.84,8.84,0
11,2016-03-16,8.84,8.84,8.84,8.84,0
12,2016-03-17,8.84,8.84,8.84,8.84,0
13,2016-03-18,8.84,8.84,8.84,8.84,0
14,2016-03-21,8.84,8.84,8.84,8.84,0
15,2016-03-22,7.58,8.84,7.58,8.84,200
16,2016-03-23,9.16,9.16,9.16,9.16,100
17,2016-03-24,7.96,7.96,7.96,7.96,100
18,2016-03-25,7.96,7.96,7.96,7.96,0
19,2016-03-28,8.84,8.84,8.84,8.84,200
20,2016-03-29,7.58,7.58,7.58,7.58,200
21,2016-03-30,8.71,8.71,8.71,8.71,200
22,2016-03-31,8.71,8.71,8.71,8.71,51
23,2016-04-01,8.71,8.71,8.71,8.71,0
24,2016-04-04,7.45,7.58,7.45,7.58,200
25,2016-04-05,7.58,7.58,7.58,7.58,20
26,2016-04-06,7.58,7.58,7.58,7.58,0
27,2016-04-07,7.58,7.58,7.58,7.58,0
28,2016-04-08,7.58,7.58,7.58,7.58,0
29,2016-04-11,7.58,7.58,7.58,7.58,0
30,2016-04-12,7.58,7.58,7.58,7.58,0
31,2016-04-13,7.89,7.89,7.89,7.89,100
32,2016-04-14,7.89,7.89,7.89,7.89,0
33,2016-04-15,7.89,7.89,7.89,7.89,0
34,2016-04-19,7.89,7.89,7.89,7.89,20
35,2016-04-20,7.89,7.89,7.89,7.89,0
36,2016-04-21,7.58,7.58,7.58,7.58,100
37,2016-04-22,7.58,7.58,7.58,7.58,0
38,2016-04-25,7.58,7.58,7.58,7.58,0
39,2016-04-26,7.58,7.58,7.58,7.58,0
40,2016-04-27,7.58,7.58,7.58,7.58,0
41,2016-04-28,7.58,7.58,7.58,7.58,0
42,2016-04-29,7.58,7.58,7.58,7.58,0
43,2016-05-04,7.58,7.58,7.58,7.58,0
44,2016-05-05,7.58,7.89,7.58,7.89,8900
45,2016-05-06,7.89,7.89,7.89,7.89,15
46,2016-05-09,7.89,7.89,7.89,7.89,0
47,2016-05-10,7.89,7.89,7.89,7.89,0
48,2016-05-11,7.89,7.89,7.89,7.89,0
49,2016-05-12,7.89,7.89,7.89,7.89,0
50,2016-05-13,7.89,7.89,7.89,7.89,0
51,2016-05-16,7.89,7.89,7.89,7.89,0
52,2016-05-17,7.89,7.89,7.89,7.89,0
53,2016-05-18,7.89,7.89,7.89,7.89,0
54,2016-05-19,7.89,7.89,7.89,7.89,0
55,2016-05-20,7.89,7.89,7.89,7.89,0
56,2016-05-23,7.89,7.89,7.89,7.89,0
57,2016-05-24,7.89,7.89,7.89,7.89,0
58,2016-05-25,7.89,7.89,7.89,7.89,0
59,2016-05-26,8.36,8.36,8.36,8.36,0
60,2016-05-27,8.36,8.36,8.36,8.36,0
61,2016-05-30,8.36,8.36,8.36,8.36,0
62,2016-05-31,8.36,8.36,8.36,8.36,0
63,2016-06-01,8.36,8.36,8.36,8.36,0
64,2016-06-02,8.36,8.36,8.36,8.36,0
65,2016-06-03,8.36,8.36,8.36,8.36,69
66,2016-06-06,8.36,8.36,8.36,8.36,0
67,2016-06-07,8.36,8.36,8.36,8.36,0
68,2016-06-08,8.36,8.36,8.36,8.36,0
69,2016-06-09,8.36,8.36,8.36,8.36,0
70,2016-06-10,8.36,8.36,8.36,8.36,0
71,2016-06-13,8.36,8.36,8.36,8.36,0
72,2016-06-14,8.36,8.36,8.36,8.36,0
73,2016-06-15,8.36,8.36,8.36,8.36,0
74,2016-06-16,8.36,8.36,8.36,8.36,0
75,2016-06-17,4.62,4.62,4.62,4.62,100
76,2016-06-20,4.62,4.62,4.62,4.62,0
77,2016-06-21,4.62,4.62,4.62,4.62,0
78,2016-06-22,4.62,4.62,4.62,4.62,0
79,2016-06-23,4.62,4.62,4.62,4.62,0
80,2016-06-24,4.62,4.62,4.62,4.62,0
81,2016-06-27,4.62,4.62,4.62,4.62,0
82,2016-06-28,4.62,4.62,4.62,4.62,0
83,2016-06-29,4.62,4.62,4.62,4.62,0
84,2016-06-30,4.62,4.62,4.62,4.62,0
85,2016-07-01,4.62,4.62,4.62,4.62,0
86,2016-07-04,4.62,4.62,4.62,4.62,0
87,2016-07-05,4.62,4.62,4.62,4.62,0
88,2016-07-06,4.62,4.62,4.62,4.62,0
89,2016-07-07,4.62,4.62,4.62,4.62,0
90,2016-07-08,4.62,4.62,4.62,4.62,0
91,2016-07-11,4.62,4.62,4.62,4.62,0
92,2016-07-12,4.62,4.62,4.62,4.62,0
93,2016-07-13,4.62,4.62,4.62,4.62,0
94,2016-07-14,4.62,4.62,4.62,4.62,0
95,2016-07-15,4.62,4.62,4.62,4.62,0
96,2016-07-18,4.62,4.62,4.62,4.62,0
97,2016-07-19,4.62,4.62,4.62,4.62,0
98,2016-07-20,4.62,4.62,4.62,4.62,0
99,2016-07-21,4.62,4.62,4.62,4.62,0
100,2016-07-22,4.62,4.62,4.62,4.62,0
101,2016-07-25,4.62,4.62,4.62,4.62,0
102,2016-07-26,4.62,4.62,4.62,4.62,0
103,2016-07-27,4.62,4.62,4.62,4.62,0
104,2016-07-28,4.62,4.62,4.62,4.62,0
105,2016-07-29,4.62,4.62,4.62,4.62,0
106,2016-08-01,4.62,4.62,4.62,4.62,0
107,2016-08-02,4.62,4.62,4.62,4.62,0
108,2016-08-03,4.62,4.62,4.62,4.62,0
109,2016-08-04,4.62,4.62,4.62,4.62,0
110,2016-08-05,4.62,4.62,4.62,4.62,0
111,2016-08-08,4.62,4.62,4.62,4.62,0
112,2016-08-09,4.62,4.62,4.62,4.62,0
113,2016-08-10,4.62,4.62,4.62,4.62,0
114,2016-08-11,4.62,4.62,4.62,4.62,0
115,2016-08-12,4.62,4.62,4.62,4.62,0
116,2016-08-15,4.62,4.62,4.62,4.62,0
117,2016-08-16,4.62,4.62,4.62,4.62,0
118,2016-08-17,4.62,4.62,4.62,4.62,0
119,2016-08-18,4.62,4.62,4.62,4.62,0
120,2016-08-19,4.62,4.62,4.62,4.62,0
121,2016-08-22,4.62,4.62,4.62,4.62,0
122,2016-08-23,4.62,4.62,4.62,4.62,0
123,2016-08-24,4.62,4.62,4.62,4.62,0
124,2016-08-25,4.62,4.62,4.62,4.62,0
125,2016-08-26,4.62,4.62,4.62,4.62,0
126,2016-08-29,4.62,4.62,4.62,4.62,0
127,2016-08-30,4.62,4.62,4.62,4.62,0
128,2016-08-31,4.62,4.62,4.62,4.62,0
129,2016-09-01,4.62,4.62,4.62,4.62,0
130,2016-09-05,4.62,4.62,4.62,4.62,0
131,2016-09-06,4.62,4.62,4.62,4.62,0
132,2016-09-07,4.62,4.62,4.62,4.62,0
133,2016-09-08,4.62,4.62,4.62,4.62,0
134,2016-09-09,4.62,4.62,4.62,4.62,0
135,2016-09-12,4.62,4.62,4.62,4.62,0
136,2016-09-13,4.62,4.62,4.62,4.62,0
137,2016-09-14,4.62,4.62,4.62,4.62,0
138,2016-09-15,4.62,4.62,4.62,4.62,0
139,2016-09-16,4.62,4.62,4.62,4.62,0
140,2016-09-19,4.62,4.62,4.62,4.62,0
141,2016-09-20,4.62,4.62,4.62,4.62,0
142,2016-09-21,4.62,4.62,4.62,4.62,0
143,2016-09-22,4.62,4.62,4.62,4.62,0
144,2016-09-23,4.62,4.62,4.62,4.62,0
145,2016-09-26,4.62,4.62,4.62,4.62,0
146,2016-09-27,4.62,4.62,4.62,4.62,0
147,2016-09-28,4.62,4.62,4.62,4.62,0
148,2016-09-29,4.62,4.62,4.62,4.62,0
149,2016-09-30,4.62,4.62,4.62,4.62,0
150,2016-10-03,4.62,4.62,4.62,4.62,0
151,2016-10-04,4.62,4.62,4.62,4.62,0
152,2016-10-05,4.62,4.62,4.62,4.62,0
153,2016-10-06,4.62,4.62,4.62,4.62,0
154,2016-10-07,4.62,4.62,4.62,4.62,0
155,2016-10-10,4.62,4.62,4.62,4.62,0
156,2016-10-11,4.62,4.62,4.62,4.62,0
157,2016-10-12,4.62,4.62,4.62,4.62,0
158,2016-10-13,4.62,4.62,4.62,4.62,0
159,2016-10-14,4.62,4.62,4.62,4.62,0
160,2016-10-17,4.62,4.62,4.62,4.62,0
161,2016-10-18,4.62,4.62,4.62,4.62,0
162,2016-10-19,4.62,4.62,4.62,4.62,0
163,2016-10-20,4.62,4.62,4.62,4.62,0
164,2016-10-21,4.62,4.62,4.62,4.62,0
165,2016-10-24,4.62,4.62,4.62,4.62,0
166,2016-10-25,4.62,4.62,4.62,4.62,0
167,2016-10-26,4.62,4.62,4.62,4.62,0
168,2016-10-27,4.62,4.62,4.62,4.62,0
169,2016-10-28,4.62,4.62,4.62,4.62,0
170,2016-10-31,4.62,4.62,4.62,4.62,0
171,2016-11-01,4.62,4.62,4.62,4.62,0
172,2016-11-02,4.62,4.62,4.62,4.62,0
173,2016-11-03,4.62,4.62,4.62,4.62,0
174,2016-11-04,4.62,4.62,4.62,4.62,0
175,2016-11-07,4.62,4.62,4.62,4.62,0
176,2016-11-08,4.62,4.62,4.62,4.62,0
177,2016-11-09,4.62,4.62,4.62,4.62,0
178,2016-11-10,4.62,4.62,4.62,4.62,0
179,2016-11-11,4.62,4.62,4.62,4.62,0
180,2016-11-14,4.62,4.62,4.62,4.62,0
181,2016-11-15,4.62,4.62,4.62,4.62,0
182,2016-11-16,4.62,4.62,4.62,4.62,0
183,2016-11-17,4.62,4.62,4.62,4.62,0
184,2016-11-18,4.62,4.62,4.62,4.62,0
185,2016-11-21,4.62,4.62,4.62,4.62,0
186,2016-11-22,4.62,4.62,4.62,4.62,0
187,2016-11-23,4.62,4.62,4.62,4.62,0
188,2016-11-24,4.62,4.62,4.62,4.62,0
189,2016-11-25,4.62,4.62,4.62,4.62,0
190,2016-11-28,4.62,4.62,4.62,4.62,0
191,2016-11-29,4.62,4.62,4.62,4.62,0
192,2016-11-30,4.62,4.62,4.62,4.62,0
193,2016-12-01,4.62,4.62,4.62,4.62,0
