,time,open,high,low,close,volume
0,2012-01-03,4.07,4.07,4.07,4.07,11430
1,2012-01-04,4.07,4.12,4.07,4.12,25750
2,2012-01-05,4.12,4.3,4.01,4.01,12710
3,2012-01-06,4.12,4.18,4.01,4.01,3000
4,2012-01-09,4.01,4.07,4.01,4.07,11300
5,2012-01-10,4.12,4.18,4.12,4.18,3340
6,2012-01-11,4.24,4.24,4.12,4.18,8400
7,2012-01-12,4.12,4.18,4.12,4.18,11100
8,2012-01-13,4.18,4.3,4.18,4.3,3400
9,2012-01-16,4.18,4.24,4.18,4.24,3700
10,2012-01-17,4.18,4.3,4.18,4.18,8810
11,2012-01-18,4.18,4.3,4.18,4.24,4600
12,2012-01-19,4.3,4.36,4.24,4.36,3160
13,2012-01-20,4.53,4.53,4.53,4.53,35080
14,2012-01-30,4.59,4.7,4.59,4.7,14900
15,2012-01-31,4.76,4.82,4.7,4.76,11500
16,2012-02-01,4.76,4.94,4.7,4.94,18810
17,2012-02-02,4.94,5.05,4.94,5.05,44120
18,2012-02-03,5.05,5.17,4.82,4.82,53620
19,2012-02-06,4.82,4.94,4.82,4.94,5850
20,2012-02-07,4.94,5.05,4.88,4.94,13770
21,2012-02-08,5.0,5.11,5.0,5.11,28470
22,2012-02-09,5.0,5.17,5.0,5.17,46320
23,2012-02-10,5.05,5.23,5.0,5.05,17420
24,2012-02-13,5.05,5.05,4.88,4.88,15860
25,2012-02-14,4.94,5.0,4.82,5.0,14100
26,2012-02-15,5.0,5.05,4.82,4.82,19220
27,2012-02-16,4.76,5.05,4.76,4.94,10010
28,2012-02-17,5.0,5.17,4.94,5.11,24390
29,2012-02-20,5.29,5.34,5.29,5.34,23370
30,2012-02-21,5.46,5.46,5.23,5.34,16300
31,2012-02-22,5.29,5.52,5.29,5.52,19100
32,2012-02-23,5.58,5.69,5.58,5.69,10510
33,2012-02-24,5.81,5.92,5.75,5.87,14630
34,2012-02-27,6.1,6.1,5.87,5.98,14090
35,2012-02-28,6.04,6.16,5.81,5.81,24700
36,2012-02-29,5.81,5.98,5.75,5.92,13180
37,2012-03-01,5.92,6.04,5.87,6.04,45930
38,2012-03-02,6.22,6.22,6.04,6.16,23420
39,2012-03-05,6.27,6.45,6.27,6.45,29490
40,2012-03-06,6.74,6.74,6.45,6.62,58350
41,2012-03-07,6.74,6.74,6.33,6.74,107490
42,2012-03-08,6.45,6.56,6.45,6.45,33200
43,2012-03-09,6.56,6.56,6.33,6.45,20930
44,2012-03-12,6.45,6.62,6.16,6.45,50260
45,2012-03-13,6.33,6.39,6.22,6.27,15800
46,2012-03-14,6.51,6.51,6.1,6.39,13770
47,2012-03-15,6.39,6.62,6.16,6.62,34860
48,2012-03-16,6.95,6.95,6.49,6.56,33990
49,2012-03-19,6.36,6.62,6.29,6.36,56230
50,2012-03-20,6.62,6.62,6.29,6.42,11670
51,2012-03-21,6.42,6.49,6.29,6.49,32820
52,2012-03-22,6.42,6.75,6.29,6.75,58110
53,2012-03-23,6.62,6.89,6.56,6.82,75560
54,2012-03-26,6.82,6.95,6.75,6.95,36320
55,2012-03-27,6.89,7.02,6.89,6.95,29620
56,2012-03-28,6.82,6.89,6.75,6.89,6860
57,2012-03-29,6.75,6.89,6.62,6.62,18200
58,2012-03-30,6.95,6.95,6.49,6.82,24300
59,2012-04-03,6.89,6.89,6.56,6.69,18290
60,2012-04-04,6.62,6.62,6.49,6.56,5480
61,2012-04-05,6.56,6.82,6.56,6.82,27000
62,2012-04-06,6.69,6.95,6.62,6.95,1320
63,2012-04-09,6.75,6.95,6.69,6.69,4340
64,2012-04-10,6.69,7.02,6.69,7.02,23580
65,2012-04-11,7.02,7.28,6.82,7.28,38170
66,2012-04-12,7.42,7.55,7.22,7.28,17650
67,2012-04-13,7.02,7.42,7.02,7.42,21980
68,2012-04-16,7.15,7.75,7.15,7.75,25390
69,2012-04-17,7.48,8.01,7.42,8.01,28010
70,2012-04-18,7.95,8.34,7.95,8.08,3170
71,2012-04-19,8.08,8.48,7.81,8.41,13760
72,2012-04-20,8.48,8.48,8.01,8.28,52920
73,2012-04-23,8.28,8.48,7.95,8.48,14980
74,2012-04-24,8.28,8.28,8.08,8.28,18640
75,2012-04-25,8.28,8.61,8.14,8.14,7840
76,2012-04-26,8.41,8.54,7.95,8.41,64890
77,2012-04-27,8.21,8.81,8.14,8.81,87640
78,2012-05-02,9.2,9.2,9.2,9.2,71030
79,2012-05-03,9.6,9.6,8.81,9.2,57950
80,2012-05-04,9.47,9.47,9.27,9.4,4140
81,2012-05-07,9.14,9.4,9.01,9.27,43290
82,2012-05-08,9.01,9.34,9.01,9.27,47730
83,2012-05-09,9.34,9.54,9.27,9.54,79740
84,2012-05-10,9.93,9.93,9.14,9.6,18300
