,time,open,high,low,close,volume
0,2012-01-03,3.32,3.32,3.32,3.32,0
1,2012-01-04,3.43,3.43,3.43,3.43,5100
2,2012-01-05,3.43,3.43,3.43,3.43,0
3,2012-01-06,3.43,3.43,3.43,3.43,0
4,2012-01-09,3.43,3.43,3.43,3.43,0
5,2012-01-10,3.43,3.43,3.43,3.43,0
6,2012-01-11,3.43,3.43,3.43,3.43,0
7,2012-01-12,3.51,3.51,3.43,3.43,12100
8,2012-01-13,3.43,3.43,3.43,3.43,0
9,2012-01-16,3.51,3.51,3.51,3.51,1000
10,2012-01-17,3.51,3.51,3.51,3.51,0
11,2012-01-18,3.51,3.73,3.51,3.69,17500
12,2012-01-19,3.77,3.77,3.77,3.77,100
13,2012-01-20,3.77,3.77,3.77,3.77,0
14,2012-01-30,3.77,3.77,3.77,3.77,0
15,2012-01-31,3.77,3.77,3.77,3.77,0
16,2012-02-01,4.02,4.02,4.02,4.02,100
17,2012-02-02,4.02,4.02,4.02,4.02,0
18,2012-02-03,4.02,4.02,4.02,4.02,0
19,2012-02-06,3.77,3.77,3.77,3.77,1000
20,2012-02-07,3.88,3.88,3.88,3.88,4500
21,2012-02-08,3.62,3.62,3.62,3.62,100
22,2012-02-09,3.84,3.84,3.84,3.84,500
23,2012-02-10,4.1,4.1,3.88,3.88,5100
24,2012-02-13,3.8,3.8,3.8,3.8,17500
25,2012-02-14,3.8,3.8,3.8,3.8,0
26,2012-02-15,3.8,3.8,3.8,3.8,0
27,2012-02-16,3.8,3.8,3.8,3.8,12500
28,2012-02-17,3.77,3.77,3.69,3.69,10500
29,2012-02-20,3.69,4.02,3.69,4.02,2100
30,2012-02-21,4.02,4.02,4.02,4.02,0
31,2012-02-22,3.84,3.84,3.84,3.84,1000
32,2012-02-23,3.84,3.88,3.84,3.84,8500
33,2012-02-24,3.84,3.84,3.84,3.84,5200
34,2012-02-27,3.77,3.88,3.77,3.8,27000
35,2012-02-28,3.8,3.8,3.8,3.8,10100
36,2012-02-29,3.8,3.8,3.77,3.77,8300
37,2012-03-01,3.69,3.8,3.69,3.8,12700
38,2012-03-02,3.8,3.84,3.8,3.84,7300
39,2012-03-05,3.88,4.06,3.88,4.06,13500
40,2012-03-06,4.25,4.25,4.25,4.25,100
41,2012-03-07,3.95,3.95,3.95,3.95,1100
42,2012-03-08,3.77,3.77,3.77,3.77,5000
43,2012-03-09,3.73,3.73,3.73,3.73,1000
44,2012-03-12,3.69,3.69,3.69,3.69,28500
45,2012-03-13,3.69,3.69,3.69,3.69,0
46,2012-03-14,3.73,3.73,3.73,3.73,100
47,2012-03-15,3.69,3.69,3.69,3.69,3100
48,2012-03-16,3.73,3.77,3.73,3.77,4700
49,2012-03-19,3.77,3.77,3.77,3.77,0
50,2012-03-20,3.77,3.77,3.77,3.77,0
51,2012-03-21,3.69,3.91,3.69,3.91,300
52,2012-03-22,3.69,3.77,3.69,3.77,9100
53,2012-03-23,3.69,3.69,3.69,3.69,1100
54,2012-03-26,3.77,3.77,3.73,3.73,700
55,2012-03-27,3.8,3.8,3.8,3.8,1500
56,2012-03-28,3.8,3.8,3.8,3.8,0
57,2012-03-29,3.88,3.88,3.69,3.69,3100
58,2012-03-30,3.69,3.69,3.69,3.69,0
59,2012-04-03,3.69,3.69,3.69,3.69,1400
60,2012-04-04,3.77,3.8,3.77,3.77,2300
61,2012-04-05,3.77,3.77,3.77,3.77,500
62,2012-04-06,3.77,3.77,3.77,3.77,0
63,2012-04-09,3.77,3.77,3.77,3.77,400
64,2012-04-10,3.77,3.77,3.77,3.77,0
65,2012-04-11,3.8,3.8,3.8,3.8,700
66,2012-04-12,3.77,3.88,3.77,3.88,200
67,2012-04-13,3.88,3.88,3.88,3.88,0
68,2012-04-16,3.88,3.88,3.88,3.88,1000
69,2012-04-17,3.69,3.84,3.69,3.84,4200
70,2012-04-18,3.84,3.84,3.8,3.84,2400
71,2012-04-19,3.84,3.84,3.84,3.84,100
72,2012-04-20,3.8,3.8,3.8,3.8,8300
73,2012-04-23,3.77,3.84,3.77,3.84,7000
74,2012-04-24,3.84,3.84,3.84,3.84,0
75,2012-04-25,3.8,3.84,3.77,3.77,2300
76,2012-04-26,3.84,3.88,3.84,3.88,4300
77,2012-04-27,3.77,3.88,3.77,3.88,1000
78,2012-05-02,3.88,3.88,3.88,3.88,5300
79,2012-05-03,3.88,3.95,3.88,3.95,13900
80,2012-05-04,3.95,4.17,3.95,4.17,4800
81,2012-05-07,4.39,4.43,4.39,4.43,11000
82,2012-05-08,4.25,4.5,4.25,4.5,6400
83,2012-05-09,4.5,4.5,4.21,4.28,5300
84,2012-05-10,4.28,4.28,4.28,4.28,3300
85,2012-05-11,4.28,4.43,4.28,4.36,5500
86,2012-05-14,4.39,4.39,4.39,4.39,100
87,2012-05-15,4.16,4.47,4.16,4.47,800
88,2012-05-16,4.47,4.47,4.47,4.47,0
89,2012-05-17,4.28,4.35,4.28,4.35,1900
90,2012-05-18,4.08,4.08,4.08,4.08,500
91,2012-05-21,3.88,4.31,3.8,4.31,700
92,2012-05-22,4.55,4.55,4.55,4.55,1600
93,2012-05-23,4.55,4.55,4.55,4.55,0
