,time,open,high,low,close,volume
0,2012-01-03,3.82,3.82,3.82,3.82,10100
1,2012-01-04,3.65,3.93,3.65,3.93,350
2,2012-01-05,3.76,3.76,3.76,3.76,10
3,2012-01-06,3.59,3.59,3.59,3.59,10
4,2012-01-09,3.48,3.48,3.43,3.43,1060
5,2012-01-10,3.26,3.59,3.26,3.26,2080
6,2012-01-11,3.15,3.37,3.15,3.2,12590
7,2012-01-12,3.31,3.31,3.09,3.31,30
8,2012-01-13,3.37,3.37,3.37,3.37,2910
9,2012-01-16,3.2,3.54,3.2,3.54,6210
10,2012-01-17,3.37,3.65,3.37,3.65,30
11,2012-01-18,3.65,3.65,3.48,3.48,20
12,2012-01-19,3.31,3.48,3.31,3.48,10010
13,2012-01-20,3.65,3.65,3.31,3.31,10030
14,2012-01-30,3.43,3.43,3.26,3.43,260
15,2012-01-31,3.43,3.43,3.37,3.37,11000
16,2012-02-01,3.26,3.26,3.26,3.26,10
17,2012-02-02,3.37,3.37,3.37,3.37,200
18,2012-02-03,3.26,3.26,3.2,3.2,41800
19,2012-02-06,3.09,3.2,3.09,3.2,6990
20,2012-02-07,3.2,3.2,3.15,3.15,20
21,2012-02-08,3.26,3.26,3.26,3.26,30
22,2012-02-09,3.37,3.37,3.2,3.2,60
23,2012-02-10,3.31,3.31,3.31,3.31,60
24,2012-02-13,3.2,3.2,3.2,3.2,3210
25,2012-02-14,3.09,3.15,3.09,3.09,1550
26,2012-02-15,3.09,3.2,3.09,3.2,40
27,2012-02-16,3.31,3.31,3.2,3.2,4100
28,2012-02-17,3.31,3.31,3.15,3.31,6490
29,2012-02-20,3.37,3.43,3.37,3.43,1020
30,2012-02-21,3.26,3.26,3.26,3.26,30060
31,2012-02-22,3.26,3.26,3.2,3.26,18530
32,2012-02-23,3.2,3.26,3.2,3.2,33300
33,2012-02-24,3.2,3.26,3.2,3.26,8620
34,2012-02-27,3.31,3.37,3.2,3.2,7740
35,2012-02-28,3.09,3.31,3.09,3.09,20290
36,2012-02-29,3.09,3.09,3.09,3.09,6700
37,2012-03-01,3.09,3.2,3.09,3.2,2980
38,2012-03-02,3.26,3.26,3.26,3.26,2320
39,2012-03-05,3.2,3.37,3.2,3.31,91540
40,2012-03-06,3.43,3.43,3.26,3.31,51810
41,2012-03-07,3.37,3.37,3.26,3.26,36640
42,2012-03-08,3.37,3.37,3.2,3.2,53490
43,2012-03-09,3.15,3.26,3.15,3.15,25730
44,2012-03-12,3.15,3.2,3.15,3.15,6040
45,2012-03-13,3.15,3.15,3.15,3.15,300
46,2012-03-14,3.26,3.26,3.15,3.15,5050
47,2012-03-15,3.03,3.26,3.03,3.15,22080
48,2012-03-16,3.15,3.15,3.15,3.15,2250
49,2012-03-19,3.15,3.15,3.15,3.15,11300
50,2012-03-20,3.15,3.26,3.15,3.15,3640
51,2012-03-21,3.2,3.2,3.2,3.2,6800
52,2012-03-22,3.15,3.2,3.15,3.15,27040
53,2012-03-23,3.15,3.2,3.15,3.2,48190
54,2012-03-26,3.2,3.2,3.15,3.15,40150
55,2012-03-27,3.15,3.26,3.15,3.26,7290
56,2012-03-28,3.37,3.37,3.15,3.31,13880
57,2012-03-29,3.37,3.37,3.31,3.31,210
58,2012-03-30,3.26,3.26,3.2,3.2,1510
59,2012-04-03,3.15,3.15,3.15,3.15,1330
60,2012-04-04,3.15,3.15,3.03,3.03,2100
61,2012-04-05,3.09,3.15,3.03,3.03,6540
62,2012-04-06,3.15,3.15,3.09,3.09,6170
63,2012-04-09,3.15,3.15,3.15,3.15,2030
64,2012-04-10,3.15,3.15,3.09,3.09,5030
65,2012-04-11,3.09,3.09,3.09,3.09,1240
66,2012-04-12,3.15,3.2,3.09,3.09,1510
67,2012-04-13,3.09,3.15,3.09,3.09,2030
68,2012-04-16,3.15,3.2,3.15,3.2,1450
69,2012-04-17,3.26,3.26,3.15,3.2,9090
70,2012-04-18,3.2,3.26,3.15,3.2,10020
71,2012-04-19,3.2,3.26,3.09,3.09,9040
72,2012-04-20,3.09,3.09,3.03,3.09,550
73,2012-04-23,3.09,3.2,3.09,3.2,7230
74,2012-04-24,3.09,3.09,3.09,3.09,10050
75,2012-04-25,3.09,3.2,3.09,3.09,12610
76,2012-04-26,3.03,3.2,3.03,3.09,280
77,2012-04-27,3.15,3.15,3.09,3.15,10680
78,2012-05-02,3.15,3.15,3.15,3.15,2340
79,2012-05-03,3.09,3.09,3.09,3.09,470
80,2012-05-04,3.03,3.2,3.03,3.2,28660
81,2012-05-07,3.31,3.31,3.2,3.31,12770
82,2012-05-08,3.43,3.43,3.43,3.43,36070
83,2012-05-09,3.59,3.59,3.59,3.59,640
84,2012-05-10,3.65,3.71,3.43,3.43,22880
85,2012-05-11,3.59,3.59,3.31,3.31,49030
86,2012-05-14,3.43,3.43,3.2,3.2,17980
87,2012-05-15,3.15,3.15,3.09,3.09,5630
88,2012-05-16,3.03,3.2,3.03,3.2,7890
89,2012-05-17,3.2,3.2,3.09,3.15,12210
90,2012-05-18,3.15,3.2,3.03,3.03,30600
91,2012-05-21,2.98,3.15,2.98,2.98,1330
92,2012-05-22,3.03,3.09,3.03,3.09,1020
93,2012-05-23,3.03,3.03,2.98,2.98,15490
94,2012-05-24,3.09,3.09,2.86,2.86,190
95,2012-05-25,2.98,2.98,2.81,2.98,2380
96,2012-05-28,3.03,3.03,2.98,2.98,10100
97,2012-05-29,3.09,3.09,2.92,2.92,270
98,2012-05-30,2.98,3.03,2.98,3.03,510
99,2012-05-31,3.09,3.09,2.98,2.98,6010
100,2012-06-01,3.03,3.03,2.92,2.92,2060
101,2012-06-04,2.86,2.86,2.86,2.86,210
102,2012-06-05,2.92,2.92,2.86,2.86,210
103,2012-06-06,2.86,2.98,2.86,2.98,420
104,2012-06-07,3.09,3.09,2.98,3.09,1220
105,2012-06-08,3.2,3.2,3.03,3.15,260
106,2012-06-11,3.26,3.26,3.09,3.09,1150
107,2012-06-12,3.03,3.03,3.03,3.03,2560
108,2012-06-13,2.98,2.98,2.98,2.98,150
109,2012-06-14,3.03,3.03,2.92,2.92,7400
110,2012-06-15,2.92,3.03,2.92,3.03,3760
111,2012-06-18,3.09,3.09,3.03,3.03,3060
112,2012-06-19,2.98,2.98,2.98,2.98,1000
113,2012-06-20,2.98,2.98,2.92,2.92,17100
114,2012-06-21,2.98,2.98,2.92,2.92,660
115,2012-06-22,2.92,2.92,2.92,2.92,240
116,2012-06-25,2.92,2.92,2.92,2.92,7300
117,2012-06-26,2.92,2.92,2.86,2.86,7260
118,2012-06-27,2.92,2.92,2.92,2.92,10
119,2012-06-28,2.92,3.03,2.86,3.03,2100
120,2012-06-29,2.98,2.98,2.98,2.98,2360
121,2012-07-02,2.98,2.98,2.98,2.98,40
122,2012-07-03,2.92,3.03,2.86,3.03,10590
123,2012-07-04,2.92,2.92,2.92,2.92,20
124,2012-07-05,2.92,2.92,2.92,2.92,30
125,2012-07-06,2.86,2.86,2.86,2.86,640
126,2012-07-09,2.92,2.92,2.92,2.92,500
127,2012-07-10,2.86,2.86,2.86,2.86,3030
128,2012-07-11,2.92,2.92,2.92,2.92,100
129,2012-07-12,2.98,3.03,2.92,3.03,13370
130,2012-07-13,2.98,3.09,2.98,3.03,4030
131,2012-07-16,3.15,3.15,3.03,3.03,12560
132,2012-07-17,2.92,3.09,2.92,3.09,1510
133,2012-07-18,2.98,3.15,2.98,3.15,300
134,2012-07-19,3.03,3.2,3.03,3.2,1020
135,2012-07-20,3.09,3.26,3.09,3.26,1020
136,2012-07-23,3.15,3.15,3.15,3.15,10
137,2012-07-24,3.03,3.03,3.03,3.03,20
