,time,open,high,low,close,volume
0,2019-05-30,8.83,8.83,8.83,8.83,30
1,2019-05-31,9.44,9.44,9.44,9.44,30
2,2019-06-03,10.09,10.09,10.09,10.09,30
3,2019-06-04,10.09,10.09,10.09,10.09,0
4,2019-06-05,10.79,10.79,10.79,10.79,30
5,2019-06-06,11.54,11.54,11.54,11.54,30
6,2019-06-07,11.77,11.77,11.77,11.77,3000
7,2019-06-10,12.58,12.58,12.58,12.58,40
8,2019-06-11,13.44,13.44,13.0,13.0,470
9,2019-06-12,13.91,13.91,13.91,13.91,380
10,2019-06-13,14.86,14.86,14.86,14.86,430
11,2019-06-14,15.89,15.89,14.23,14.23,1000
12,2019-06-17,13.73,13.73,13.24,13.24,440
13,2019-06-18,12.34,13.37,12.34,13.37,590
14,2019-06-19,12.43,13.37,12.43,13.37,1030
15,2019-06-20,12.43,12.43,12.43,12.43,1340
16,2019-06-21,11.58,13.29,11.58,13.29,1120
17,2019-06-24,13.24,13.49,13.24,13.49,1320
18,2019-06-25,13.49,13.49,13.46,13.49,2030
19,2019-06-26,13.61,13.73,13.61,13.73,330
20,2019-06-27,13.73,13.73,13.12,13.61,570
21,2019-06-28,13.59,13.61,13.59,13.61,680
22,2019-07-01,12.75,14.54,12.68,13.49,1630
23,2019-07-02,13.24,13.24,12.56,13.24,1410
24,2019-07-03,13.12,13.12,13.12,13.12,1530
25,2019-07-04,13.0,13.0,12.26,12.26,1310
26,2019-07-05,13.12,13.12,11.4,13.0,810
27,2019-07-08,12.75,13.69,12.29,13.69,1600
28,2019-07-09,13.05,13.69,13.05,13.69,1100
29,2019-07-10,13.49,13.73,12.95,12.95,920
30,2019-07-11,13.44,13.44,13.24,13.44,1360
31,2019-07-12,13.51,13.51,13.51,13.51,680
32,2019-07-15,12.78,13.51,12.78,13.51,1930
33,2019-07-16,13.51,13.61,13.51,13.61,1680
34,2019-07-17,13.61,13.73,13.61,13.73,1010
35,2019-07-18,12.78,13.61,12.78,13.61,1250
36,2019-07-19,13.61,13.73,13.61,13.73,670
37,2019-07-22,13.73,13.86,13.73,13.86,2000
38,2019-07-23,12.93,13.86,12.93,13.86,1500
39,2019-07-24,12.9,13.86,12.9,13.73,1130
40,2019-07-25,13.98,13.98,13.98,13.98,750
41,2019-07-26,13.98,13.98,13.98,13.98,1010
42,2019-07-29,14.0,14.0,14.0,14.0,1280
43,2019-07-30,13.1,14.23,13.1,14.23,1200
44,2019-07-31,13.24,13.86,13.24,13.86,1350
45,2019-08-01,13.86,13.86,13.86,13.86,1090
46,2019-08-02,13.49,13.61,13.24,13.61,1730
47,2019-08-05,13.71,14.1,13.71,13.73,3410
48,2019-08-06,13.73,13.73,13.73,13.73,2330
49,2019-08-07,14.23,14.23,12.78,13.73,1960
50,2019-08-08,13.73,13.98,13.49,13.98,2220
51,2019-08-09,14.05,14.1,13.37,14.1,4250
52,2019-08-12,14.72,14.72,13.15,13.98,1220
53,2019-08-13,13.1,13.73,13.1,13.73,2380
54,2019-08-14,13.98,13.98,13.73,13.73,1150
55,2019-08-15,12.83,14.47,12.83,13.73,2040
56,2019-08-16,13.73,13.86,12.8,13.86,1320
57,2019-08-19,13.0,13.86,13.0,13.49,2010
58,2019-08-20,14.1,14.1,13.61,13.61,990
59,2019-08-21,13.61,13.61,13.24,13.24,2300
60,2019-08-22,13.02,13.98,13.02,13.86,2170
61,2019-08-23,13.98,14.47,13.86,13.86,1500
62,2019-08-26,13.0,13.86,13.0,13.86,2610
63,2019-08-27,13.73,13.86,13.73,13.83,2830
64,2019-08-28,13.78,13.78,13.78,13.78,2310
65,2019-08-29,13.49,13.56,13.49,13.49,2010
66,2019-08-30,12.66,13.44,12.66,13.37,1290
67,2019-09-03,12.63,13.24,12.63,13.24,2100
68,2019-09-04,13.24,13.24,13.24,13.24,2220
69,2019-09-05,13.12,13.24,13.0,13.22,2260
70,2019-09-06,13.1,13.12,12.51,13.12,2560
71,2019-09-09,13.73,13.73,13.73,13.73,2200
72,2019-09-10,13.73,13.73,13.73,13.73,1760
73,2019-09-11,13.61,13.86,13.61,13.69,2280
74,2019-09-12,13.61,14.23,13.61,14.23,2050
75,2019-09-13,14.23,14.96,14.23,14.96,2060
76,2019-09-16,14.72,14.72,14.72,14.72,1450
77,2019-09-17,14.5,14.5,14.5,14.5,2580
78,2019-09-18,14.47,14.47,14.45,14.47,2180
79,2019-09-19,14.47,14.47,13.49,14.47,2040
80,2019-09-20,15.45,15.45,14.72,14.72,2300
81,2019-09-23,14.96,14.96,14.96,14.96,2310
82,2019-09-24,14.72,14.94,14.3,14.94,1910
83,2019-09-25,14.94,14.94,14.94,14.94,0
84,2019-09-26,13.91,14.99,13.91,14.01,1550
85,2019-09-27,14.99,14.99,14.99,14.99,1100
86,2019-09-30,15.51,15.74,15.51,15.74,2590
87,2019-10-01,15.76,15.76,15.76,15.76,1680
88,2019-10-02,16.86,16.86,16.81,16.81,1040
89,2019-10-03,16.71,16.71,16.71,16.71,1290
