,time,open,high,low,close,volume
0,2012-01-03,2.06,2.06,2.06,2.06,0
1,2012-01-04,2.06,2.06,2.06,2.06,250
2,2012-01-05,1.95,2.06,1.95,2.06,1010
3,2012-01-06,2.06,2.06,2.01,2.01,1480
4,2012-01-09,2.06,2.06,2.06,2.06,140
5,2012-01-10,2.06,2.06,2.04,2.04,1250
6,2012-01-11,2.01,2.01,1.98,1.98,250
7,2012-01-12,2.03,2.03,2.03,2.03,20
8,2012-01-13,2.03,2.03,2.03,2.03,0
9,2012-01-16,2.05,2.05,1.95,2.02,2120
10,2012-01-17,2.02,2.06,2.02,2.06,300
11,2012-01-18,1.95,1.95,1.95,1.95,870
12,2012-01-19,2.05,2.05,2.05,2.05,10
13,2012-01-20,2.11,2.11,2.11,2.11,10
14,2012-01-30,2.01,2.1,2.01,2.1,1160
15,2012-01-31,2.01,2.09,2.0,2.09,350
16,2012-02-01,2.01,2.08,2.01,2.08,1750
17,2012-02-02,2.0,2.15,1.98,2.15,15420
18,2012-02-03,2.05,2.14,2.05,2.14,660
19,2012-02-06,2.14,2.14,2.14,2.14,0
20,2012-02-07,2.21,2.21,2.21,2.21,250
21,2012-02-08,2.11,2.15,2.11,2.15,330
22,2012-02-09,2.16,2.16,2.16,2.16,610
23,2012-02-10,2.16,2.16,2.16,2.16,210
24,2012-02-13,2.16,2.16,2.16,2.16,110
25,2012-02-14,2.16,2.16,2.16,2.16,100
26,2012-02-15,2.11,2.11,2.07,2.07,610
27,2012-02-16,2.07,2.07,2.02,2.02,660
28,2012-02-17,2.01,2.01,1.98,1.98,5760
29,2012-02-20,2.07,2.07,2.06,2.07,900
30,2012-02-21,2.11,2.11,2.08,2.08,2600
31,2012-02-22,1.99,2.11,1.99,2.11,290
32,2012-02-23,2.11,2.11,2.11,2.11,400
33,2012-02-24,2.11,2.11,2.06,2.06,500
34,2012-02-27,2.01,2.11,2.01,2.07,940
35,2012-02-28,2.01,2.06,2.01,2.02,1830
36,2012-02-29,2.02,2.12,2.02,2.12,200
37,2012-03-01,2.12,2.12,2.12,2.12,0
38,2012-03-02,2.12,2.13,2.06,2.1,470
39,2012-03-05,2.15,2.19,2.1,2.19,4890
40,2012-03-06,2.09,2.09,2.09,2.09,4200
41,2012-03-07,2.09,2.09,2.09,2.09,0
42,2012-03-08,2.01,2.06,2.01,2.06,110
43,2012-03-09,1.97,1.97,1.96,1.97,1900
44,2012-03-12,1.94,1.94,1.94,1.94,1990
45,2012-03-13,1.96,1.96,1.96,1.96,260
46,2012-03-14,1.95,1.95,1.95,1.95,1310
47,2012-03-15,2.04,2.04,2.04,2.04,10
48,2012-03-16,2.04,2.04,2.04,2.04,0
49,2012-03-19,2.08,2.08,2.08,2.08,10
50,2012-03-20,1.98,2.06,1.98,2.06,250
51,2012-03-21,2.09,2.09,2.0,2.0,890
