,time,open,high,low,close,volume
0,2012-01-03,4.73,4.8,4.69,4.69,24350
1,2012-01-04,4.61,4.73,4.61,4.65,18410
2,2012-01-05,4.73,4.73,4.61,4.65,31920
3,2012-01-06,4.61,4.69,4.61,4.61,16700
4,2012-01-09,4.57,4.76,4.53,4.76,46270
5,2012-01-10,4.76,4.84,4.73,4.84,62290
6,2012-01-11,4.84,4.92,4.73,4.92,32960
7,2012-01-12,4.8,4.8,4.69,4.73,13330
8,2012-01-13,4.73,4.73,4.69,4.73,6070
9,2012-01-16,4.84,4.88,4.8,4.8,7700
10,2012-01-17,4.8,4.8,4.73,4.73,10590
11,2012-01-18,4.73,4.8,4.73,4.73,12110
12,2012-01-19,4.73,4.84,4.73,4.8,17480
13,2012-01-20,4.84,4.88,4.8,4.84,34820
14,2012-01-30,4.92,4.92,4.84,4.92,24210
15,2012-01-31,5.0,5.04,4.92,4.96,40180
16,2012-02-01,4.92,4.96,4.88,4.92,30350
17,2012-02-02,5.0,5.16,5.0,5.16,100120
18,2012-02-03,5.28,5.28,4.96,5.0,45480
19,2012-02-06,5.08,5.12,5.0,5.04,37050
20,2012-02-07,5.12,5.12,4.96,5.04,30570
21,2012-02-08,5.16,5.16,5.08,5.16,47290
22,2012-02-09,5.2,5.2,5.08,5.12,34250
23,2012-02-10,5.04,5.12,5.0,5.04,32260
24,2012-02-13,5.0,5.0,5.0,5.0,36230
25,2012-02-14,5.04,5.04,5.0,5.04,11960
26,2012-02-15,5.12,5.12,5.04,5.04,28520
27,2012-02-16,5.0,5.04,5.0,5.04,14440
28,2012-02-17,5.08,5.12,5.04,5.12,32170
29,2012-02-20,5.16,5.24,5.16,5.24,90900
30,2012-02-21,5.36,5.36,5.2,5.2,47520
31,2012-02-22,5.16,5.28,5.16,5.28,48010
32,2012-02-23,5.2,5.39,5.12,5.36,75380
33,2012-02-24,5.36,5.55,5.32,5.39,153190
34,2012-02-27,5.43,5.63,5.39,5.59,97490
35,2012-02-28,5.59,5.59,5.36,5.36,57640
36,2012-02-29,5.36,5.43,5.28,5.39,48010
37,2012-03-01,5.39,5.47,5.39,5.39,74940
38,2012-03-02,5.43,5.47,5.39,5.47,62950
39,2012-03-05,5.59,5.71,5.59,5.71,494380
40,2012-03-06,5.83,5.83,5.47,5.47,160670
41,2012-03-07,5.47,5.47,5.36,5.43,77430
42,2012-03-08,5.39,5.55,5.28,5.28,92100
43,2012-03-09,5.28,5.43,5.28,5.43,150900
44,2012-03-12,5.47,5.47,5.2,5.2,135910
45,2012-03-13,5.24,5.36,5.2,5.24,75870
46,2012-03-14,5.36,5.47,5.28,5.47,136440
47,2012-03-15,5.47,5.55,5.39,5.47,109160
48,2012-03-16,5.59,5.59,5.47,5.55,148000
49,2012-03-19,5.55,5.55,5.43,5.43,39950
50,2012-03-20,5.55,5.55,5.43,5.51,98830
51,2012-03-21,5.55,5.63,5.51,5.55,123840
52,2012-03-22,5.55,5.63,5.51,5.55,103990
53,2012-03-23,5.63,5.67,5.55,5.59,107020
54,2012-03-26,5.67,5.71,5.59,5.67,126070
55,2012-03-27,5.95,5.95,5.87,5.95,517090
56,2012-03-28,5.91,5.95,5.75,5.79,198670
57,2012-03-29,5.79,5.79,5.71,5.71,99470
58,2012-03-30,5.71,5.75,5.63,5.67,107920
59,2012-04-03,5.67,5.95,5.63,5.95,425310
60,2012-04-04,6.22,6.22,5.99,6.18,351870
61,2012-04-05,6.1,6.22,6.06,6.14,152750
62,2012-04-06,6.14,6.22,6.06,6.1,268410
63,2012-04-09,6.1,6.26,6.06,6.18,289660
64,2012-04-10,6.22,6.3,6.14,6.18,257610
65,2012-04-11,6.3,6.46,6.22,6.46,324980
66,2012-04-12,6.5,6.69,6.46,6.54,191700
67,2012-04-13,6.54,6.65,6.34,6.5,277300
68,2012-04-16,6.5,6.81,6.46,6.81,517550
69,2012-04-17,7.05,7.05,6.77,6.89,367930
70,2012-04-18,6.8,7.07,6.76,6.76,236260
71,2012-04-19,6.62,6.67,6.45,6.45,252020
72,2012-04-20,6.45,6.45,6.27,6.27,75690
73,2012-04-23,6.4,6.58,6.18,6.58,167910
74,2012-04-24,6.67,6.89,6.58,6.89,212740
75,2012-04-25,7.11,7.2,7.02,7.11,374000
76,2012-04-26,7.11,7.34,7.11,7.11,254700
77,2012-04-27,7.02,7.47,6.98,7.47,548930
78,2012-05-02,7.82,7.82,7.56,7.78,693950
79,2012-05-03,7.78,8.09,7.6,7.78,283060
80,2012-05-04,7.91,8.14,7.82,8.14,507000
81,2012-05-07,8.54,8.54,8.49,8.54,400280
82,2012-05-08,8.85,8.94,8.71,8.94,412970
83,2012-05-09,8.94,9.38,8.89,9.38,362650
84,2012-05-10,9.82,9.82,9.02,9.38,694860
85,2012-05-11,9.2,9.56,8.94,9.34,607760
86,2012-05-14,9.34,9.34,8.89,8.89,324500
87,2012-05-15,8.45,8.58,8.45,8.45,278530
88,2012-05-16,8.05,8.14,8.05,8.05,551930
89,2012-05-17,8.05,8.14,7.65,7.65,254820
90,2012-05-18,7.42,7.65,7.29,7.65,278890
91,2012-05-21,7.47,8.0,7.47,8.0,92710
92,2012-05-22,8.18,8.4,8.0,8.31,153790
93,2012-05-23,8.14,8.27,7.91,8.09,178860
94,2012-05-24,8.14,8.14,7.69,7.91,107120
95,2012-05-25,8.22,8.27,7.96,8.27,161850
96,2012-05-28,8.54,8.67,8.18,8.31,208030
97,2012-05-29,8.05,8.31,7.91,8.18,115600
98,2012-05-30,8.36,8.36,7.96,7.96,43760
99,2012-05-31,7.78,7.96,7.6,7.6,72910
100,2012-06-01,7.82,7.82,7.38,7.38,66150
101,2012-06-04,7.38,7.38,7.02,7.02,104480
102,2012-06-05,7.02,7.34,7.02,7.34,66670
103,2012-06-06,7.42,7.56,7.34,7.56,54220
104,2012-06-07,7.6,7.91,7.42,7.91,116650
105,2012-06-08,8.14,8.18,7.78,7.78,81410
106,2012-06-11,7.78,7.96,7.65,7.87,36240
107,2012-06-12,7.74,7.87,7.56,7.74,60780
108,2012-06-13,7.6,7.87,7.38,7.87,79860
109,2012-06-14,7.82,7.82,7.51,7.51,90960
110,2012-06-15,7.69,7.78,7.56,7.56,46390
111,2012-06-18,7.82,7.91,7.56,7.91,126420
112,2012-06-19,7.96,7.96,7.69,7.91,19000
113,2012-06-20,7.91,7.91,7.74,7.91,6680
114,2012-06-21,7.87,7.96,7.78,7.91,71670
115,2012-06-22,7.87,7.91,7.56,7.91,127780
116,2012-06-25,7.82,7.82,7.56,7.78,37700
117,2012-06-26,7.47,7.69,7.42,7.47,323590
118,2012-06-27,7.47,7.56,7.34,7.47,27780
119,2012-06-28,7.2,7.42,7.11,7.11,345000
120,2012-06-29,6.94,7.42,6.94,7.25,11870
121,2012-07-02,7.38,7.38,7.11,7.11,29780
122,2012-07-03,7.11,7.11,6.76,6.8,83990
123,2012-07-04,6.8,6.94,6.76,6.8,45490
124,2012-07-05,6.89,7.11,6.8,7.02,19750
125,2012-07-06,6.98,7.16,6.98,7.02,24570
126,2012-07-09,7.02,7.02,6.8,6.8,20910
127,2012-07-10,6.89,6.89,6.8,6.89,20930
128,2012-07-11,7.11,7.11,6.89,7.07,12220
129,2012-07-12,7.11,7.11,6.98,7.11,29670
130,2012-07-13,7.2,7.47,7.16,7.47,112560
131,2012-07-16,7.34,7.69,7.34,7.38,44050
132,2012-07-17,7.16,7.74,7.16,7.74,34420
133,2012-07-18,7.74,7.74,7.56,7.65,42470
134,2012-07-19,7.6,7.96,7.42,7.96,116540
135,2012-07-20,8.18,8.18,7.82,7.87,43670
136,2012-07-23,7.78,7.78,7.56,7.56,48610
137,2012-07-24,7.69,7.91,7.56,7.91,223650
138,2012-07-25,7.91,8.09,7.91,7.91,75990
139,2012-07-26,8.09,8.09,7.91,8.0,101300
140,2012-07-27,8.0,8.09,7.87,8.05,79590
141,2012-07-30,7.96,7.96,7.78,7.91,42660
