,time,open,high,low,close,volume
0,2012-01-03,0.79,0.83,0.79,0.83,85300
1,2012-01-04,0.84,0.85,0.81,0.82,76300
2,2012-01-05,0.82,0.85,0.82,0.85,81400
3,2012-01-06,0.84,0.85,0.82,0.85,74800
4,2012-01-09,0.84,0.89,0.82,0.84,46300
5,2012-01-10,0.87,0.89,0.85,0.89,89000
6,2012-01-11,0.9,0.91,0.87,0.89,37100
7,2012-01-12,0.87,0.89,0.87,0.87,36900
8,2012-01-13,0.87,0.91,0.87,0.91,57500
9,2012-01-16,0.93,0.93,0.88,0.89,48200
10,2012-01-17,0.93,0.94,0.88,0.89,59200
11,2012-01-18,0.91,0.95,0.91,0.93,74900
12,2012-01-19,0.96,0.99,0.95,0.99,170300
13,2012-01-20,1.0,1.03,0.97,0.97,59600
14,2012-01-30,1.05,1.05,1.0,1.02,34300
15,2012-01-31,1.03,1.07,1.03,1.06,114800
16,2012-02-01,1.06,1.06,1.0,1.02,117600
17,2012-02-02,1.05,1.08,1.05,1.08,186700
18,2012-02-03,1.08,1.11,1.01,1.03,72600
19,2012-02-06,1.06,1.06,1.02,1.02,31300
20,2012-02-07,1.05,1.06,1.03,1.05,35100
21,2012-02-08,1.05,1.07,1.03,1.06,122000
22,2012-02-09,1.07,1.07,1.05,1.07,97900
23,2012-02-10,1.03,1.05,1.01,1.03,77200
24,2012-02-13,0.99,1.01,0.96,0.99,74400
25,2012-02-14,1.0,1.01,0.99,0.99,35100
26,2012-02-15,1.0,1.0,0.95,0.96,36200
27,2012-02-16,0.96,0.99,0.96,0.97,20700
28,2012-02-17,1.0,1.02,1.0,1.01,29000
29,2012-02-20,1.05,1.07,1.05,1.07,92500
30,2012-02-21,1.11,1.11,1.03,1.03,69300
31,2012-02-22,1.05,1.08,1.03,1.08,88100
32,2012-02-23,1.09,1.12,1.07,1.11,175400
33,2012-02-24,1.11,1.17,1.09,1.17,240000
34,2012-02-27,1.23,1.23,1.21,1.23,66100
35,2012-02-28,1.31,1.31,1.15,1.23,291100
36,2012-02-29,1.27,1.27,1.19,1.25,219500
37,2012-03-01,1.21,1.21,1.14,1.17,206900
38,2012-03-02,1.24,1.24,1.17,1.24,202300
39,2012-03-05,1.31,1.31,1.3,1.31,51000
40,2012-03-06,1.38,1.38,1.23,1.23,237500
41,2012-03-07,1.26,1.26,1.19,1.2,177800
42,2012-03-08,1.15,1.2,1.12,1.12,240000
43,2012-03-09,1.12,1.17,1.08,1.12,88100
44,2012-03-12,1.11,1.11,1.06,1.07,128200
45,2012-03-13,1.13,1.13,1.08,1.12,86900
46,2012-03-14,1.14,1.15,1.09,1.11,50600
47,2012-03-15,1.12,1.18,1.08,1.17,108700
48,2012-03-16,1.2,1.2,1.17,1.18,163600
49,2012-03-19,1.19,1.2,1.17,1.17,85100
50,2012-03-20,1.2,1.2,1.15,1.17,73100
51,2012-03-21,1.18,1.24,1.18,1.21,193100
52,2012-03-22,1.3,1.3,1.2,1.23,92100
53,2012-03-23,1.24,1.31,1.23,1.3,663800
54,2012-03-26,1.38,1.38,1.31,1.35,170000
55,2012-03-27,1.34,1.34,1.26,1.26,109600
56,2012-03-28,1.2,1.26,1.18,1.26,74300
57,2012-03-29,1.27,1.27,1.16,1.17,424400
58,2012-03-30,1.15,1.17,1.12,1.13,77200
59,2012-04-03,1.17,1.2,1.13,1.2,69400
60,2012-04-04,1.21,1.21,1.13,1.13,63700
61,2012-04-05,1.13,1.2,1.12,1.2,58300
62,2012-04-06,1.2,1.22,1.18,1.2,68400
63,2012-04-09,1.18,1.22,1.18,1.21,62800
64,2012-04-10,1.22,1.22,1.16,1.16,129300
65,2012-04-11,1.21,1.22,1.18,1.21,193300
66,2012-04-12,1.22,1.25,1.21,1.21,115300
67,2012-04-13,1.24,1.24,1.17,1.18,50400
68,2012-04-16,1.21,1.26,1.2,1.25,227100
69,2012-04-17,1.27,1.29,1.24,1.26,206800
70,2012-04-18,1.27,1.34,1.26,1.34,750100
71,2012-04-19,1.41,1.41,1.27,1.32,128500
72,2012-04-20,1.3,1.31,1.27,1.3,117900
