,time,open,high,low,close,volume
0,2012-01-03,3.04,3.04,3.04,3.04,57440
1,2012-01-04,2.98,3.1,2.93,3.1,211640
2,2012-01-05,3.04,3.16,3.04,3.1,171580
3,2012-01-06,3.04,3.04,2.98,2.98,43370
4,2012-01-09,2.87,2.93,2.87,2.87,20050
5,2012-01-10,2.76,2.93,2.76,2.93,79140
6,2012-01-11,2.93,2.93,2.81,2.81,24040
7,2012-01-12,2.7,2.7,2.7,2.7,52490
8,2012-01-13,2.58,2.58,2.58,2.58,5790
9,2012-01-16,2.47,2.53,2.47,2.53,33100
10,2012-01-17,2.41,2.41,2.41,2.41,240
11,2012-01-18,2.3,2.53,2.3,2.53,15010
12,2012-01-19,2.41,2.53,2.41,2.53,99980
13,2012-01-20,2.64,2.64,2.41,2.58,68110
14,2012-01-30,2.58,2.64,2.47,2.58,35990
15,2012-01-31,2.58,2.64,2.47,2.64,63150
16,2012-02-01,2.53,2.58,2.53,2.53,11520
17,2012-02-02,2.47,2.58,2.41,2.41,362350
18,2012-02-03,2.47,2.53,2.3,2.3,372620
19,2012-02-06,2.35,2.41,2.18,2.41,187710
20,2012-02-07,2.53,2.53,2.41,2.53,96820
21,2012-02-08,2.53,2.53,2.41,2.53,144190
22,2012-02-09,2.47,2.47,2.41,2.41,166590
23,2012-02-10,2.3,2.35,2.3,2.3,139050
24,2012-02-13,2.3,2.3,2.18,2.24,145480
25,2012-02-14,2.18,2.3,2.18,2.3,109350
26,2012-02-15,2.24,2.3,2.18,2.24,82110
27,2012-02-16,2.24,2.24,2.18,2.24,148930
28,2012-02-17,2.24,2.3,2.18,2.3,153810
29,2012-02-20,2.35,2.41,2.3,2.41,232710
30,2012-02-21,2.47,2.53,2.41,2.53,347510
31,2012-02-22,2.53,2.64,2.47,2.64,232690
32,2012-02-23,2.76,2.76,2.64,2.76,372960
33,2012-02-24,2.76,2.87,2.76,2.76,311180
34,2012-02-27,2.76,2.87,2.7,2.87,250050
35,2012-02-28,2.98,2.98,2.76,2.76,536220
36,2012-02-29,2.7,2.81,2.64,2.76,275690
37,2012-03-01,2.87,2.87,2.7,2.87,490980
38,2012-03-02,2.98,2.98,2.87,2.87,1156040
39,2012-03-05,2.98,2.98,2.98,2.98,155750
40,2012-03-06,3.1,3.1,3.04,3.1,1477370
41,2012-03-07,3.21,3.21,3.1,3.21,529300
42,2012-03-08,3.33,3.33,3.33,3.33,479040
