,time,open,high,low,close,volume
0,2021-09-08,22.58,22.58,22.58,22.58,9000
1,2021-09-09,25.96,25.96,25.96,25.96,8000
2,2021-09-10,29.84,29.84,29.84,29.84,10000
3,2021-09-13,34.28,34.28,34.28,34.28,12100
4,2021-09-14,38.82,39.42,38.82,39.42,16500
5,2021-09-15,43.86,45.32,43.35,45.32,21900
6,2021-09-16,50.41,52.03,40.28,40.28,8621
7,2021-09-17,36.45,40.28,36.45,39.78,8829
8,2021-09-20,31.41,33.78,31.41,31.41,33700
9,2021-09-21,30.35,31.41,26.77,31.41,15700
10,2021-09-22,31.46,31.46,30.25,30.25,4706
11,2021-09-23,30.25,30.25,29.74,29.74,3001
12,2021-09-24,27.73,27.83,26.32,26.42,19603
13,2021-09-27,25.61,26.47,24.2,24.7,8301
14,2021-09-28,25.56,28.73,25.56,28.73,2500
15,2021-09-29,28.68,28.68,28.48,28.63,1100
16,2021-09-30,28.63,28.63,27.78,27.78,700
17,2021-10-01,24.05,28.63,24.0,28.48,1301
18,2021-10-04,28.63,28.63,28.63,28.63,400
19,2021-10-05,28.63,28.63,27.73,28.63,5200
20,2021-10-06,28.43,28.43,28.43,28.43,4200
21,2021-10-07,28.43,28.43,28.43,28.43,0
22,2021-10-08,28.38,28.43,28.23,28.43,5700
23,2021-10-11,28.43,28.43,28.38,28.43,6900
24,2021-10-12,28.43,28.48,28.23,28.43,4800
25,2021-10-13,28.43,28.43,28.43,28.43,0
26,2021-10-14,28.43,28.43,28.43,28.43,4000
27,2021-10-15,26.72,27.22,26.72,27.22,300
28,2021-10-18,27.07,27.07,27.07,27.07,200
29,2021-10-19,27.07,29.24,27.07,28.23,7201
30,2021-10-20,25.21,29.24,25.21,29.24,9400
31,2021-10-21,27.22,27.22,26.72,26.72,3404
32,2021-10-22,27.02,27.02,26.87,26.87,4968
33,2021-10-25,27.12,27.12,27.12,27.12,5200
34,2021-10-26,27.22,27.22,27.12,27.22,3400
35,2021-10-27,27.22,27.22,27.22,27.22,1800
36,2021-10-28,27.22,27.22,27.22,27.22,0
37,2021-10-29,29.24,29.24,27.32,28.48,1837
38,2021-11-01,28.73,32.26,28.73,31.76,46800
39,2021-11-02,34.28,34.28,31.76,31.76,12000
40,2021-11-03,32.77,34.78,32.01,32.01,8400
41,2021-11-04,31.76,31.76,30.45,30.5,18700
42,2021-11-05,30.5,30.65,30.25,30.35,5400
43,2021-11-08,30.9,31.0,30.4,30.45,9100
44,2021-11-09,30.55,30.55,29.94,29.94,5900
45,2021-11-10,30.25,30.25,29.74,30.25,11470
46,2021-11-11,30.5,30.5,29.74,29.74,17100
47,2021-11-12,30.75,30.75,29.24,30.15,2900
48,2021-11-15,30.45,30.45,29.74,29.74,6700
49,2021-11-16,30.4,30.4,29.79,29.79,3100
50,2021-11-17,29.09,29.79,29.04,29.09,4500
51,2021-11-18,29.09,29.24,29.09,29.24,2300
52,2021-11-19,28.73,28.73,28.73,28.73,500
53,2021-11-22,26.21,27.98,26.21,27.73,2800
54,2021-11-23,27.73,29.74,27.22,27.22,3400
55,2021-11-24,28.73,28.73,27.73,28.73,1400
56,2021-11-25,27.73,27.73,27.73,27.73,1000
57,2021-11-26,27.27,27.27,27.27,27.27,600
58,2021-11-29,27.73,27.73,27.73,27.73,100
59,2021-11-30,25.91,26.21,25.91,25.96,3100
60,2021-12-01,26.01,26.01,25.96,25.96,400
61,2021-12-02,26.01,28.99,26.01,28.99,5600
62,2021-12-03,28.94,28.94,28.94,28.94,100
63,2021-12-06,27.73,28.23,27.73,27.73,5800
64,2021-12-07,27.42,28.73,27.42,28.73,1300
65,2021-12-08,30.2,30.2,29.44,29.44,300
66,2021-12-09,29.69,29.69,29.69,29.69,0
67,2021-12-10,29.69,29.69,29.69,29.69,0
68,2021-12-13,27.78,27.98,27.73,27.98,4600
69,2021-12-14,27.88,27.88,27.88,27.88,0
70,2021-12-15,27.88,27.88,27.88,27.88,0
71,2021-12-16,26.21,27.22,26.21,27.22,1500
72,2021-12-17,26.47,26.72,26.26,26.72,1700
73,2021-12-20,26.77,26.82,26.77,26.77,2500
74,2021-12-21,26.97,26.97,26.97,26.97,400
75,2021-12-22,26.97,26.97,26.97,26.97,1300
76,2021-12-23,27.47,27.47,27.47,27.47,1300
77,2021-12-24,27.47,27.47,26.72,26.72,600
78,2021-12-27,30.7,30.7,26.72,26.72,630
79,2021-12-28,27.22,27.22,27.22,27.22,2100
80,2021-12-29,27.22,27.22,27.22,27.22,0
81,2021-12-30,23.49,23.49,23.49,23.49,100
82,2021-12-31,20.01,26.97,20.01,26.97,400
83,2022-01-04,26.72,26.72,26.72,26.72,500
84,2022-01-05,26.72,26.72,26.72,26.72,100
85,2022-01-06,26.72,26.72,26.72,26.72,0
86,2022-01-07,23.24,26.97,23.24,26.97,2900
87,2022-01-10,24.3,25.31,24.2,25.21,3230
88,2022-01-11,24.85,25.71,24.85,25.21,503
89,2022-01-12,26.72,26.72,26.72,26.72,500
90,2022-01-13,26.72,26.72,26.72,26.72,0
91,2022-01-14,26.72,26.72,26.21,26.21,200
92,2022-01-17,25.21,25.21,25.21,25.21,600
93,2022-01-18,25.21,25.21,25.21,25.21,0
94,2022-01-19,26.21,26.21,26.21,26.21,200
95,2022-01-20,26.72,26.72,26.72,26.72,100
96,2022-01-21,24.2,26.21,22.79,25.21,4500
97,2022-01-24,23.54,23.54,23.54,23.54,0
98,2022-01-25,23.19,26.97,23.19,26.97,600
99,2022-01-26,23.69,23.84,23.69,23.84,2800
100,2022-01-27,24.7,26.72,24.2,26.72,2300
101,2022-01-28,24.45,26.72,24.2,25.21,3900
102,2022-02-07,26.47,26.47,26.47,26.47,700
103,2022-02-08,25.21,26.21,25.21,26.21,5700
104,2022-02-09,25.96,25.96,25.46,25.46,1500
105,2022-02-10,25.71,25.71,25.21,25.71,2400
106,2022-02-11,25.21,25.66,24.7,25.66,4600
107,2022-02-14,25.05,25.05,25.05,25.05,0
108,2022-02-15,25.46,25.46,25.46,25.46,500
109,2022-02-16,25.46,25.46,25.46,25.46,0
110,2022-02-17,25.51,25.71,25.21,25.21,1500
111,2022-02-18,25.71,25.71,25.46,25.46,4900
112,2022-02-21,25.21,25.71,25.21,25.71,600
113,2022-02-22,29.24,29.24,26.72,26.97,1700
114,2022-02-23,25.26,25.26,25.21,25.21,1800
115,2022-02-24,25.21,25.21,25.21,25.21,403
116,2022-02-25,21.93,26.67,21.68,23.74,1900
117,2022-02-28,25.81,25.81,25.81,25.81,200
118,2022-03-01,25.81,25.81,25.81,25.81,0
119,2022-03-02,25.76,25.76,25.76,25.76,800
120,2022-03-03,25.76,25.81,25.76,25.81,1400
121,2022-03-04,29.49,29.49,26.16,26.16,500
122,2022-03-07,25.71,26.97,25.71,26.97,6500
123,2022-03-08,27.12,27.12,27.07,27.12,400
124,2022-03-09,26.62,26.72,26.62,26.72,600
125,2022-03-10,25.21,27.22,25.21,27.22,1005
126,2022-03-11,26.21,29.24,26.21,28.73,12203
127,2022-03-14,28.89,28.89,27.73,27.73,1941
128,2022-03-15,28.08,28.08,27.73,27.83,800
129,2022-03-16,27.78,28.63,27.78,28.63,1603
130,2022-03-17,28.73,28.73,28.23,28.23,2502
131,2022-03-18,28.43,28.63,28.43,28.63,1600
132,2022-03-21,28.63,28.73,28.48,28.73,1400
133,2022-03-22,28.68,28.73,28.68,28.68,3211
134,2022-03-23,28.73,28.84,28.73,28.84,12410
135,2022-03-24,27.98,28.73,27.98,28.73,5808
136,2022-03-25,28.73,29.24,28.73,28.99,2100
137,2022-03-28,29.24,29.24,28.73,28.73,5402
138,2022-03-29,29.72,30.04,29.25,30.04,1200
139,2022-03-30,29.93,29.93,29.93,29.93,1800
140,2022-03-31,29.88,29.88,29.2,29.3,3008
141,2022-04-01,28.46,28.46,28.46,28.46,111
142,2022-04-04,29.99,29.99,29.99,29.99,300
143,2022-04-05,29.46,29.78,29.46,29.78,600
144,2022-04-06,29.56,29.56,29.51,29.51,900
145,2022-04-07,29.56,29.56,29.56,29.56,100
146,2022-04-08,27.93,28.19,27.93,28.19,900
147,2022-04-12,32.2,32.2,32.2,32.2,101
148,2022-04-13,32.2,32.2,32.2,32.2,0
149,2022-04-14,30.04,30.04,30.04,30.04,100
150,2022-04-15,30.04,30.04,30.04,30.04,0
151,2022-04-18,29.51,30.04,29.51,30.04,2100
152,2022-04-19,29.51,29.51,29.51,29.51,100
153,2022-04-20,28.51,28.93,28.46,28.46,6305
154,2022-04-21,28.46,28.46,28.46,28.46,6900
155,2022-04-22,30.04,30.04,27.4,27.4,4000
156,2022-04-25,30.04,30.04,30.04,30.04,100
157,2022-04-26,30.04,30.04,30.04,30.04,0
158,2022-04-27,29.51,29.51,29.51,29.51,1000
159,2022-04-28,30.04,30.04,30.04,30.04,200
160,2022-04-29,30.04,30.04,30.04,30.04,500
161,2022-05-04,30.04,30.04,30.04,30.04,101
162,2022-05-05,27.93,29.51,27.93,29.51,1400
163,2022-05-06,29.04,29.04,29.04,29.04,0
164,2022-05-09,29.04,29.04,26.88,26.93,25900
165,2022-05-10,27.72,27.72,27.72,27.72,8000
166,2022-05-11,27.72,27.72,27.72,27.72,14200
167,2022-05-12,27.14,27.4,27.14,27.4,12400
168,2022-05-13,27.4,27.67,27.4,27.67,13100
169,2022-05-16,27.67,27.67,27.51,27.51,400
170,2022-05-17,27.93,27.93,27.67,27.67,700
171,2022-05-18,27.83,27.83,27.83,27.83,0
172,2022-05-19,27.51,27.67,27.51,27.67,700
173,2022-05-20,27.88,27.93,27.88,27.93,2000
174,2022-05-23,27.93,28.19,27.93,28.19,3018
175,2022-05-24,28.04,28.04,28.04,28.04,0
