,time,open,high,low,close,volume
0,2012-01-03,1.15,1.15,1.09,1.09,800
1,2012-01-04,1.09,1.09,1.09,1.09,3000
2,2012-01-05,1.09,1.09,1.09,1.09,8000
3,2012-01-06,1.05,1.09,1.05,1.09,900
4,2012-01-09,1.09,1.09,1.09,1.09,0
5,2012-01-10,1.09,1.11,1.07,1.07,10000
6,2012-01-11,1.07,1.09,1.07,1.09,3300
7,2012-01-12,1.07,1.07,1.05,1.05,200
8,2012-01-13,1.05,1.07,1.05,1.07,2100
9,2012-01-16,1.11,1.11,1.05,1.05,500
10,2012-01-17,1.07,1.07,1.07,1.07,5500
11,2012-01-18,1.03,1.07,1.03,1.07,500
12,2012-01-19,1.09,1.09,1.09,1.09,1000
13,2012-01-20,1.07,1.07,1.05,1.05,2500
14,2012-01-30,1.09,1.09,1.09,1.09,4900
15,2012-01-31,1.11,1.13,1.09,1.11,3100
16,2012-02-01,1.11,1.15,1.11,1.15,8500
17,2012-02-02,1.15,1.19,1.15,1.19,13100
18,2012-02-03,1.26,1.26,1.15,1.15,9500
19,2012-02-06,1.17,1.19,1.15,1.15,17500
20,2012-02-07,1.15,1.17,1.15,1.17,700
21,2012-02-08,1.17,1.22,1.17,1.17,20100
22,2012-02-09,1.17,1.24,1.17,1.24,1300
23,2012-02-10,1.26,1.26,1.26,1.26,100
24,2012-02-13,1.28,1.28,1.19,1.19,19300
25,2012-02-14,1.28,1.28,1.19,1.19,800
26,2012-02-15,1.26,1.26,1.26,1.26,100
27,2012-02-16,1.22,1.22,1.22,1.22,1500
28,2012-02-17,1.15,1.15,1.15,1.15,3000
29,2012-02-20,1.22,1.22,1.22,1.22,4300
30,2012-02-21,1.24,1.24,1.24,1.24,100
31,2012-02-22,1.26,1.28,1.26,1.28,6100
32,2012-02-23,1.3,1.3,1.3,1.3,700
33,2012-02-24,1.3,1.34,1.3,1.3,11500
34,2012-02-27,1.38,1.38,1.3,1.32,10100
35,2012-02-28,1.36,1.36,1.32,1.32,21800
36,2012-02-29,1.32,1.38,1.32,1.38,600
37,2012-03-01,1.34,1.42,1.32,1.34,36900
38,2012-03-02,1.36,1.36,1.32,1.36,6300
39,2012-03-05,1.38,1.42,1.34,1.42,43900
40,2012-03-06,1.48,1.48,1.4,1.4,14400
41,2012-03-07,1.48,1.48,1.48,1.48,100
42,2012-03-08,1.52,1.52,1.42,1.42,600
43,2012-03-09,1.36,1.36,1.36,1.36,10500
44,2012-03-12,1.32,1.32,1.32,1.32,500
45,2012-03-13,1.4,1.4,1.4,1.4,100
46,2012-03-14,1.48,1.48,1.34,1.48,600
47,2012-03-15,1.34,1.36,1.34,1.36,21100
48,2012-03-16,1.34,1.34,1.34,1.34,1000
49,2012-03-19,1.36,1.36,1.36,1.36,600
50,2012-03-20,1.34,1.36,1.34,1.34,2800
51,2012-03-21,1.36,1.42,1.34,1.42,6800
52,2012-03-22,1.4,1.42,1.4,1.42,5000
53,2012-03-23,1.42,1.42,1.42,1.42,0
54,2012-03-26,1.42,1.48,1.42,1.46,16500
55,2012-03-27,1.44,1.44,1.42,1.42,26400
56,2012-03-28,1.42,1.44,1.42,1.42,12400
57,2012-03-29,1.42,1.44,1.42,1.44,3700
58,2012-03-30,1.42,1.42,1.42,1.42,1900
59,2012-04-03,1.44,1.46,1.42,1.46,10500
60,2012-04-04,1.44,1.44,1.42,1.42,10600
61,2012-04-05,1.44,1.44,1.42,1.42,24700
62,2012-04-06,1.46,1.46,1.46,1.46,200
63,2012-04-09,1.44,1.48,1.44,1.48,14000
64,2012-04-10,1.44,1.46,1.44,1.46,2600
65,2012-04-11,1.48,1.56,1.48,1.56,14400
66,2012-04-12,1.62,1.62,1.48,1.48,6700
67,2012-04-13,1.54,1.54,1.5,1.54,2900
68,2012-04-16,1.54,1.58,1.52,1.58,2900
69,2012-04-17,1.5,1.58,1.5,1.52,4600
70,2012-04-18,1.52,1.56,1.5,1.56,3400
71,2012-04-19,1.52,1.54,1.5,1.5,6600
72,2012-04-20,1.5,1.54,1.5,1.52,5000
73,2012-04-23,1.52,1.56,1.52,1.54,43000
74,2012-04-24,1.54,1.62,1.54,1.62,15300
75,2012-04-25,1.58,1.6,1.58,1.6,141200
76,2012-04-26,1.6,1.6,1.6,1.6,0
77,2012-04-27,1.58,1.62,1.58,1.62,14600
78,2012-05-02,1.56,1.64,1.56,1.62,2100
79,2012-05-03,1.62,1.62,1.58,1.58,3300
80,2012-05-04,1.62,1.7,1.62,1.7,12100
81,2012-05-07,1.7,1.8,1.7,1.8,13200
82,2012-05-08,1.82,1.82,1.78,1.8,53900
83,2012-05-09,1.8,1.82,1.8,1.82,11900
84,2012-05-10,1.82,1.82,1.8,1.8,16900
85,2012-05-11,1.8,1.8,1.74,1.8,14700
86,2012-05-14,1.8,1.8,1.7,1.72,16500
87,2012-05-15,1.66,1.66,1.62,1.62,12100
88,2012-05-16,1.64,1.7,1.64,1.7,2500
89,2012-05-17,1.64,1.78,1.64,1.78,700
90,2012-05-18,1.78,1.78,1.78,1.78,0
91,2012-05-21,1.66,1.88,1.66,1.86,9800
92,2012-05-22,1.84,1.84,1.82,1.84,300
93,2012-05-23,1.72,1.72,1.72,1.72,100
94,2012-05-24,1.62,1.72,1.62,1.72,1500
95,2012-05-25,1.66,1.7,1.66,1.7,2000
96,2012-05-28,1.76,1.76,1.76,1.76,200
97,2012-05-29,1.84,1.88,1.76,1.88,28000
98,2012-05-30,1.88,1.88,1.8,1.84,4900
99,2012-05-31,1.84,1.84,1.82,1.82,1800
100,2012-06-01,1.74,1.86,1.74,1.86,200
101,2012-06-04,1.74,1.74,1.74,1.74,6100
102,2012-06-05,1.8,1.8,1.8,1.8,100
103,2012-06-06,1.82,1.82,1.82,1.82,100
104,2012-06-07,1.82,1.84,1.82,1.84,4400
105,2012-06-08,1.86,1.86,1.82,1.82,5600
106,2012-06-11,1.8,1.82,1.78,1.82,11700
107,2012-06-12,1.74,1.82,1.7,1.82,34900
108,2012-06-13,1.8,1.8,1.72,1.8,24400
109,2012-06-14,1.74,1.8,1.7,1.72,32100
110,2012-06-15,1.8,1.8,1.74,1.8,6300
111,2012-06-18,1.86,1.86,1.72,1.72,2300
112,2012-06-19,1.78,1.8,1.74,1.78,10600
113,2012-06-20,1.76,1.78,1.74,1.78,19200
114,2012-06-21,1.78,1.78,1.74,1.74,25500
115,2012-06-22,1.74,1.76,1.74,1.74,2800
116,2012-06-25,1.74,1.76,1.7,1.74,23500
117,2012-06-26,1.74,1.76,1.68,1.7,11400
118,2012-06-27,1.72,1.72,1.66,1.66,7800
119,2012-06-28,1.7,1.74,1.68,1.74,17100
120,2012-06-29,1.77,1.79,1.67,1.67,1100
121,2012-07-02,1.67,1.67,1.67,1.67,100
122,2012-07-03,1.67,1.67,1.58,1.58,14400
123,2012-07-04,1.62,1.62,1.48,1.48,3000
124,2012-07-05,1.6,1.6,1.6,1.6,3000
125,2012-07-06,1.69,1.69,1.62,1.69,4400
126,2012-07-09,1.69,1.69,1.69,1.69,0
127,2012-07-10,1.69,1.69,1.69,1.69,0
128,2012-07-11,1.58,1.65,1.58,1.65,600
