,time,open,high,low,close,volume
0,2012-01-03,14.24,14.24,13.99,13.99,7500
1,2012-01-04,13.99,13.99,13.99,13.99,1000
2,2012-01-05,13.66,13.66,13.62,13.62,4400
3,2012-01-06,13.83,13.83,13.62,13.62,11650
4,2012-01-09,13.83,13.83,13.83,13.83,1950
5,2012-01-10,13.83,13.83,13.83,13.83,800
6,2012-01-11,13.83,13.83,13.66,13.66,9700
7,2012-01-12,13.42,13.54,13.42,13.54,13000
8,2012-01-13,13.93,13.93,13.71,13.71,4500
9,2012-01-16,13.71,13.84,13.71,13.84,20340
10,2012-01-17,13.84,13.84,13.8,13.8,3640
11,2012-01-18,13.5,13.8,13.5,13.67,14400
12,2012-01-19,13.71,13.84,13.71,13.8,67720
13,2012-01-20,13.8,13.93,13.8,13.93,11590
14,2012-01-30,13.93,14.1,13.93,14.1,10530
15,2012-01-31,14.14,14.27,14.06,14.06,10480
16,2012-02-01,14.06,14.45,14.06,14.14,61130
17,2012-02-02,14.36,14.84,14.27,14.84,217830
18,2012-02-03,15.14,15.36,15.14,15.14,37720
19,2012-02-06,15.14,15.14,14.71,14.71,63150
20,2012-02-07,14.71,15.01,14.71,14.84,49980
21,2012-02-08,14.84,15.1,14.79,14.97,85540
22,2012-02-09,14.88,15.27,14.88,14.97,25530
23,2012-02-10,14.97,15.1,14.88,14.92,35640
24,2012-02-13,14.92,14.92,14.49,14.49,48820
25,2012-02-14,14.49,14.97,14.36,14.66,26210
26,2012-02-15,14.66,14.66,14.49,14.58,64810
27,2012-02-16,14.53,14.53,14.23,14.27,86900
28,2012-02-17,14.32,14.84,14.32,14.79,5550
29,2012-02-20,15.14,15.53,15.14,15.53,39460
30,2012-02-21,16.26,16.26,15.66,15.87,55900
31,2012-02-22,15.87,16.22,15.83,16.09,33640
32,2012-02-23,16.22,16.39,15.83,16.09,38680
33,2012-02-24,16.44,16.83,16.39,16.44,58870
34,2012-02-27,16.78,17.26,16.78,17.26,40390
35,2012-02-28,17.99,17.99,16.44,16.44,56750
36,2012-02-29,16.52,16.87,16.44,16.87,32790
37,2012-03-01,17.3,17.3,16.61,16.78,18200
38,2012-03-02,16.91,17.22,16.7,17.0,52300
39,2012-03-05,17.3,17.82,17.17,17.82,43750
40,2012-03-06,18.25,18.25,16.96,17.0,115660
41,2012-03-07,17.04,17.04,16.61,16.87,43310
42,2012-03-08,16.83,16.87,16.44,16.44,50890
43,2012-03-09,16.44,16.74,16.39,16.44,41690
44,2012-03-12,16.52,16.96,16.48,16.52,36300
45,2012-03-13,16.83,16.83,16.61,16.61,10900
46,2012-03-14,16.96,17.26,16.78,17.0,68030
47,2012-03-15,17.0,17.47,17.0,17.47,75490
48,2012-03-16,17.95,17.95,17.52,17.95,66380
49,2012-03-19,17.73,18.17,17.73,17.82,29160
50,2012-03-20,17.82,18.25,17.82,18.17,30660
51,2012-03-21,18.38,18.95,18.38,18.95,64650
52,2012-03-22,18.95,18.95,18.38,18.38,35860
53,2012-03-23,17.73,18.38,17.73,18.04,25270
54,2012-03-26,18.56,18.56,17.99,17.99,36380
55,2012-03-27,17.99,18.3,17.17,17.17,31950
56,2012-03-28,17.22,17.73,17.22,17.52,27240
57,2012-03-29,17.91,17.91,17.52,17.56,4340
58,2012-03-30,17.56,17.91,17.3,17.3,8960
59,2012-04-03,17.3,17.69,17.3,17.52,21140
60,2012-04-04,17.52,17.73,17.47,17.56,17230
61,2012-04-05,17.56,17.69,17.13,17.69,34990
62,2012-04-06,17.69,17.73,17.3,17.3,24180
63,2012-04-09,17.3,17.73,17.09,17.52,33740
64,2012-04-10,17.65,17.95,17.47,17.73,32130
65,2012-04-11,18.08,18.08,17.73,17.86,9980
66,2012-04-12,18.04,18.21,17.95,18.17,34740
67,2012-04-13,17.95,18.43,17.73,18.17,8550
68,2012-04-16,18.56,18.56,18.17,18.3,12350
69,2012-04-17,18.3,18.86,18.25,18.3,25230
70,2012-04-18,18.38,18.38,17.86,17.86,19670
71,2012-04-19,17.73,18.17,17.52,17.52,111200
72,2012-04-20,17.65,17.91,17.3,17.73,36780
73,2012-04-23,18.17,18.17,17.69,17.78,29350
74,2012-04-24,17.82,18.21,17.78,18.21,43290
75,2012-04-25,18.51,19.12,18.38,19.12,63300
76,2012-04-26,19.68,19.68,19.03,19.12,37450
77,2012-04-27,19.25,19.81,18.64,19.59,32650
78,2012-05-02,19.9,20.55,19.9,20.33,92990
79,2012-05-03,20.33,20.33,19.46,20.29,9700
80,2012-05-04,20.33,20.46,20.29,20.29,66460
81,2012-05-07,20.76,20.89,20.33,20.55,63490
82,2012-05-08,20.89,21.28,20.59,20.59,111000
83,2012-05-09,20.32,21.0,20.32,20.54,10400
84,2012-05-10,20.09,20.91,19.87,20.05,49430
85,2012-05-11,19.87,19.87,19.37,19.37,57640
86,2012-05-14,19.23,19.23,18.42,18.42,77400
87,2012-05-15,17.56,18.06,17.56,17.74,27040
88,2012-05-16,17.29,17.83,17.25,17.61,82570
89,2012-05-17,17.61,18.38,17.61,17.7,32420
90,2012-05-18,18.24,18.24,17.61,17.7,67150
91,2012-05-21,18.42,18.51,17.61,18.51,32790
92,2012-05-22,18.51,18.96,18.02,18.51,48660
93,2012-05-23,18.51,18.51,17.88,18.24,26490
94,2012-05-24,17.7,18.24,17.56,18.24,66860
95,2012-05-25,18.47,18.92,18.29,18.92,33330
96,2012-05-28,18.6,18.83,18.51,18.51,37870
97,2012-05-29,18.96,18.96,18.74,18.74,44670
98,2012-05-30,18.78,19.23,18.74,19.23,35830
99,2012-05-31,18.74,19.28,18.74,19.1,42300
100,2012-06-01,18.87,18.92,18.87,18.87,11790
101,2012-06-04,18.74,18.74,17.97,17.97,4940
102,2012-06-05,18.47,18.51,18.42,18.51,7630
103,2012-06-06,18.06,18.47,18.06,18.47,1660
104,2012-06-07,18.47,18.92,18.47,18.83,4100
105,2012-06-08,18.02,19.01,18.02,18.87,14600
106,2012-06-11,19.19,19.19,18.15,18.92,1490
107,2012-06-12,18.15,18.65,18.15,18.2,2570
108,2012-06-13,18.74,18.74,18.06,18.56,470
109,2012-06-14,18.06,18.65,18.06,18.65,510
110,2012-06-15,18.96,18.96,18.51,18.65,1500
111,2012-06-18,18.96,18.96,18.51,18.51,1890
112,2012-06-19,18.51,18.51,18.47,18.47,2030
113,2012-06-20,18.74,18.74,18.65,18.65,3350
114,2012-06-21,18.42,18.69,18.29,18.29,1690
115,2012-06-22,18.2,18.47,17.83,17.83,3460
116,2012-06-25,17.7,17.7,17.34,17.34,3080
117,2012-06-26,18.06,18.2,16.93,16.93,2800
118,2012-06-27,17.61,17.61,17.2,17.2,2600
119,2012-06-28,17.83,17.83,17.2,17.2,410
120,2012-06-29,17.25,17.38,17.2,17.38,3700
121,2012-07-02,17.34,17.34,17.25,17.25,3240
122,2012-07-03,17.07,17.25,16.93,17.25,840
123,2012-07-04,17.16,17.16,17.16,17.16,350
124,2012-07-05,17.34,17.34,16.48,16.71,2760
125,2012-07-06,17.38,17.47,17.38,17.47,1900
126,2012-07-09,17.16,18.33,17.16,18.33,3160
127,2012-07-10,17.47,18.2,17.43,17.43,2610
128,2012-07-11,17.61,18.06,17.61,18.02,5100
129,2012-07-12,17.56,18.11,17.56,18.11,6360
130,2012-07-13,18.38,18.42,18.15,18.15,8440
131,2012-07-16,17.56,18.51,17.56,17.74,2430
132,2012-07-17,17.2,18.06,17.2,17.79,5310
133,2012-07-18,18.02,18.06,17.83,17.97,8430
134,2012-07-19,18.47,18.51,17.97,18.06,23140
135,2012-07-20,18.24,18.33,18.06,18.2,20160
136,2012-07-23,18.2,18.38,18.2,18.33,17930
137,2012-07-24,18.47,18.51,18.06,18.47,42870
138,2012-07-25,18.56,18.6,18.38,18.6,36480
139,2012-07-26,18.6,18.74,18.33,18.74,33480
140,2012-07-27,18.6,18.74,18.56,18.74,16500
141,2012-07-30,18.69,18.87,18.69,18.87,23090
142,2012-07-31,18.78,18.96,18.74,18.92,36540
143,2012-08-01,18.96,19.01,18.87,18.96,21980
144,2012-08-02,18.96,19.01,18.78,18.78,5590
145,2012-08-03,18.51,18.87,18.51,18.87,1550
146,2012-08-06,18.87,18.92,18.87,18.92,810
147,2012-08-07,18.74,18.96,18.74,18.96,38980
148,2012-08-08,18.56,19.05,18.56,19.05,35780
149,2012-08-09,19.01,19.14,19.01,19.14,36250
150,2012-08-10,19.01,19.23,18.96,19.23,32800
151,2012-08-13,19.01,19.19,18.96,19.19,1680
152,2012-08-14,18.96,19.23,18.96,19.23,36520
153,2012-08-15,18.96,19.23,18.92,19.23,9410
154,2012-08-16,18.92,18.96,18.6,18.6,3300
155,2012-08-17,18.96,18.96,18.96,18.96,690
156,2012-08-20,18.96,18.96,18.87,18.96,5380
157,2012-08-21,18.02,18.06,18.02,18.02,2560
158,2012-08-22,17.61,17.61,17.2,17.2,1610
159,2012-08-23,16.93,16.93,16.34,16.34,8970
160,2012-08-24,16.34,17.16,16.34,17.16,7480
161,2012-08-27,17.16,17.16,16.48,16.48,7930
162,2012-08-28,17.16,17.16,17.11,17.16,3900
163,2012-08-29,17.38,17.38,17.34,17.34,300
164,2012-08-30,17.34,17.34,17.2,17.2,5800
165,2012-08-31,17.25,17.88,17.2,17.88,3000
166,2012-09-04,17.88,17.88,17.88,17.88,170
167,2012-09-05,17.38,18.02,17.38,18.02,1050
168,2012-09-06,18.02,18.02,17.38,17.38,260
169,2012-09-07,17.38,17.38,17.38,17.38,0
170,2012-09-10,18.06,18.11,16.53,17.88,4040
171,2012-09-11,17.88,17.88,17.88,17.88,0
172,2012-09-12,17.61,18.02,17.61,18.02,2710
