,time,open,high,low,close,volume
0,2012-01-03,4.76,4.76,4.68,4.76,23650
1,2012-01-04,4.76,4.84,4.68,4.68,18160
2,2012-01-05,4.68,4.84,4.68,4.84,203010
3,2012-01-06,4.76,5.01,4.76,4.76,71550
4,2012-01-09,4.93,4.93,4.84,4.93,99330
5,2012-01-10,5.01,5.17,5.01,5.17,90860
6,2012-01-11,5.33,5.33,4.93,5.33,36880
7,2012-01-12,5.09,5.33,5.09,5.09,34800
8,2012-01-13,5.09,5.33,5.09,5.25,34320
9,2012-01-16,5.25,5.49,5.25,5.41,119690
10,2012-01-17,5.33,5.33,5.17,5.17,98870
11,2012-01-18,5.09,5.41,4.93,4.93,206310
12,2012-01-19,4.93,5.09,4.68,5.09,101550
13,2012-01-20,5.25,5.25,5.01,5.09,51710
14,2012-01-30,5.09,5.25,5.01,5.25,24540
15,2012-01-31,5.33,5.33,5.01,5.01,58420
16,2012-02-01,5.01,5.17,5.01,5.17,31970
17,2012-02-02,5.25,5.33,5.09,5.33,122860
18,2012-02-03,5.25,5.41,5.17,5.17,43710
19,2012-02-06,5.17,5.17,4.93,4.93,98160
20,2012-02-07,5.01,5.09,4.84,4.93,32950
21,2012-02-08,5.09,5.17,4.93,5.01,66430
22,2012-02-09,5.17,5.17,4.93,5.01,43460
23,2012-02-10,4.93,5.01,4.76,4.76,111830
24,2012-02-13,4.76,4.84,4.6,4.68,28660
25,2012-02-14,4.68,4.76,4.6,4.68,9000
26,2012-02-15,4.68,4.76,4.52,4.76,13260
27,2012-02-16,4.68,4.76,4.6,4.68,18040
28,2012-02-17,4.68,4.84,4.6,4.76,51170
29,2012-02-20,4.84,4.93,4.84,4.93,174530
30,2012-02-21,5.09,5.09,4.93,4.93,34410
31,2012-02-22,4.84,5.01,4.84,5.01,14040
32,2012-02-23,5.09,5.17,4.93,5.17,74450
33,2012-02-24,5.25,5.41,5.17,5.41,292710
34,2012-02-27,5.57,5.65,5.49,5.65,210390
35,2012-02-28,5.89,5.89,5.57,5.57,184860
36,2012-02-29,5.41,5.73,5.41,5.65,33470
37,2012-03-01,5.65,5.73,5.49,5.57,148450
38,2012-03-02,5.49,5.65,5.49,5.49,149540
39,2012-03-05,5.73,5.73,5.73,5.73,133160
40,2012-03-06,5.98,5.98,5.49,5.57,199450
41,2012-03-07,5.65,5.65,5.33,5.65,167300
42,2012-03-08,5.49,5.65,5.41,5.41,107830
43,2012-03-09,5.33,5.57,5.25,5.41,106140
44,2012-03-12,5.33,5.41,5.17,5.41,62060
45,2012-03-13,5.41,5.49,5.33,5.49,75060
46,2012-03-14,5.57,5.57,5.25,5.25,33010
47,2012-03-15,5.17,5.49,5.17,5.49,84900
48,2012-03-16,5.57,5.65,5.41,5.49,60830
49,2012-03-19,5.41,5.49,5.33,5.49,12870
50,2012-03-20,5.41,5.49,5.33,5.49,58510
51,2012-03-21,5.41,5.73,5.41,5.65,131110
52,2012-03-22,5.73,5.89,5.49,5.89,261240
53,2012-03-23,6.14,6.14,6.06,6.14,107320
54,2012-03-26,6.3,6.38,6.22,6.38,297710
55,2012-03-27,6.54,6.54,6.14,6.14,199950
56,2012-03-28,5.89,6.22,5.89,6.06,207560
57,2012-03-29,6.14,6.14,5.81,5.81,140820
58,2012-03-30,5.73,5.81,5.57,5.57,100190
59,2012-04-03,5.57,5.81,5.57,5.73,82610
60,2012-04-04,5.73,5.73,5.49,5.65,146360
61,2012-04-05,5.49,5.73,5.49,5.65,27480
62,2012-04-06,5.73,5.81,5.57,5.65,56090
63,2012-04-09,5.81,5.81,5.57,5.73,86060
64,2012-04-10,5.73,5.81,5.65,5.81,87770
65,2012-04-11,5.98,6.06,5.89,6.06,235210
66,2012-04-12,6.3,6.3,6.22,6.3,622990
67,2012-04-13,6.54,6.54,6.3,6.54,467750
68,2012-04-16,6.86,6.86,6.86,6.86,119600
69,2012-04-17,7.19,7.19,7.19,7.19,43960
70,2012-04-18,7.51,7.51,7.51,7.51,45060
71,2012-04-19,7.83,7.83,7.51,7.67,1530350
72,2012-04-20,7.67,7.99,7.51,7.99,705970
73,2012-04-23,7.99,8.32,7.99,8.32,457210
74,2012-04-24,8.24,8.4,8.07,8.24,548310
75,2012-04-25,8.24,8.64,8.16,8.64,403570
76,2012-04-26,9.04,9.04,8.8,9.04,372730
77,2012-04-27,9.21,9.45,9.21,9.45,421820
78,2012-05-02,9.69,9.77,9.04,9.04,545990
79,2012-05-03,8.64,8.8,8.64,8.64,594160
80,2012-05-04,9.04,9.04,8.96,9.04,371290
81,2012-05-07,9.45,9.45,9.45,9.45,16380
82,2012-05-08,9.85,9.85,9.53,9.69,601530
83,2012-05-09,9.61,9.69,9.21,9.21,818720
84,2012-05-10,9.61,9.61,8.8,8.88,659180
85,2012-05-11,8.88,9.04,8.48,8.48,417710
86,2012-05-14,8.16,8.32,8.07,8.07,184990
87,2012-05-15,7.75,7.91,7.67,7.67,888230
88,2012-05-16,7.67,7.83,7.51,7.67,302910
89,2012-05-17,7.83,7.99,7.67,7.67,227150
90,2012-05-18,7.51,7.67,7.35,7.35,277260
91,2012-05-21,7.35,7.67,7.35,7.67,201060
92,2012-05-22,7.75,7.99,7.59,7.67,312120
93,2012-05-23,7.67,7.67,7.35,7.35,79360
94,2012-05-24,7.35,7.35,7.03,7.03,202740
95,2012-05-25,7.03,7.35,7.03,7.35,231250
96,2012-05-28,7.51,7.67,7.27,7.51,276780
97,2012-05-29,7.27,7.43,7.19,7.43,169750
98,2012-05-30,7.43,7.59,7.43,7.51,26690
99,2012-05-31,7.43,7.43,7.19,7.19,348840
100,2012-06-01,7.19,7.35,6.94,6.94,178330
101,2012-06-04,6.94,6.94,6.62,6.62,405590
102,2012-06-05,6.38,6.94,6.38,6.94,157660
103,2012-06-06,7.11,7.27,6.94,7.27,341640
104,2012-06-07,7.59,7.59,7.51,7.59,322370
105,2012-06-08,7.83,7.91,7.67,7.91,896640
106,2012-06-11,7.99,8.16,7.83,7.91,260140
107,2012-06-12,7.59,7.83,7.59,7.59,335360
108,2012-06-13,7.67,7.67,7.43,7.51,154460
109,2012-06-14,7.51,7.75,7.51,7.59,364030
110,2012-06-15,7.67,7.75,7.51,7.67,188830
111,2012-06-18,7.91,7.91,7.51,7.59,659170
112,2012-06-19,7.75,7.75,7.36,7.36,133750
113,2012-06-20,7.36,7.66,7.36,7.66,97370
114,2012-06-21,7.75,7.75,7.56,7.56,36790
115,2012-06-22,7.56,7.56,7.27,7.27,188920
116,2012-06-25,6.98,7.17,6.98,6.98,175460
117,2012-06-26,6.78,6.88,6.69,6.69,190130
118,2012-06-27,6.49,6.98,6.49,6.78,18060
119,2012-06-28,6.69,6.69,6.49,6.49,233140
120,2012-06-29,6.59,6.69,6.4,6.69,39930
121,2012-07-02,6.78,6.78,6.4,6.59,93660
122,2012-07-03,6.69,6.69,6.3,6.3,163510
123,2012-07-04,6.49,6.49,6.01,6.01,78350
124,2012-07-05,5.81,6.1,5.81,6.1,28170
125,2012-07-06,6.01,6.4,6.01,6.3,55520
126,2012-07-09,6.3,6.3,6.01,6.01,55410
127,2012-07-10,6.3,6.3,5.81,5.81,5420
128,2012-07-11,6.01,6.1,5.81,6.01,45640
129,2012-07-12,6.1,6.3,6.01,6.3,28630
130,2012-07-13,6.3,6.59,6.3,6.49,216130
131,2012-07-16,6.4,6.59,6.2,6.2,45070
132,2012-07-17,6.2,6.49,6.2,6.49,61490
133,2012-07-18,6.69,6.78,6.4,6.59,79620
134,2012-07-19,6.69,6.88,6.49,6.88,105260
135,2012-07-20,7.07,7.17,6.98,6.98,229200
136,2012-07-23,6.69,6.98,6.69,6.69,136810
137,2012-07-24,6.78,6.78,6.4,6.4,67510
138,2012-07-25,6.4,6.59,6.2,6.49,43530
139,2012-07-26,6.49,6.69,6.4,6.49,79060
140,2012-07-27,6.49,6.69,6.49,6.49,86850
141,2012-07-30,6.69,6.78,6.49,6.59,23030
142,2012-07-31,6.59,6.78,6.49,6.59,30250
143,2012-08-01,6.59,6.59,6.3,6.59,20900
144,2012-08-02,6.59,6.78,6.4,6.69,27620
145,2012-08-03,6.49,6.78,6.49,6.69,47230
146,2012-08-06,6.59,6.88,6.59,6.78,89370
147,2012-08-07,6.88,6.88,6.59,6.59,25760
148,2012-08-08,6.59,6.78,6.59,6.59,34320
149,2012-08-09,6.69,6.78,6.4,6.4,56520
150,2012-08-10,6.3,6.59,6.1,6.4,832760
151,2012-08-13,6.4,6.4,6.1,6.2,334940
152,2012-08-14,6.1,6.2,6.01,6.1,452660
153,2012-08-15,6.2,6.2,5.91,6.1,320460
154,2012-08-16,5.91,5.91,5.81,5.81,216680
155,2012-08-17,5.52,5.72,5.52,5.52,472660
156,2012-08-20,5.62,5.72,5.52,5.72,33850
157,2012-08-21,5.91,5.91,5.52,5.62,981520
158,2012-08-22,5.72,5.81,5.62,5.81,799250
159,2012-08-23,5.72,5.72,5.52,5.52,156190
160,2012-08-24,5.33,5.72,5.33,5.72,355570
161,2012-08-27,5.52,5.52,5.52,5.52,41590
162,2012-08-28,5.33,5.33,5.33,5.33,81550
163,2012-08-29,5.14,5.33,5.14,5.33,580200
164,2012-08-30,5.23,5.33,5.14,5.14,257200
165,2012-08-31,5.04,5.23,5.04,5.14,128950
166,2012-09-04,5.23,5.33,5.23,5.33,123950
167,2012-09-05,5.33,5.33,5.14,5.14,324530
168,2012-09-06,5.04,5.14,4.94,4.94,215200
169,2012-09-07,4.94,4.94,4.75,4.85,216760
170,2012-09-10,4.75,4.85,4.65,4.65,231690
171,2012-09-11,4.46,4.55,4.46,4.46,357730
172,2012-09-12,4.46,4.65,4.46,4.55,179880
173,2012-09-13,4.65,4.65,4.46,4.65,134520
174,2012-09-14,4.75,4.85,4.65,4.85,248450
175,2012-09-17,4.75,4.85,4.65,4.65,164470
176,2012-09-18,4.55,4.65,4.46,4.46,312500
177,2012-09-19,4.26,4.36,4.26,4.26,249210
178,2012-09-20,4.07,4.17,4.07,4.07,277330
179,2012-09-21,4.07,4.17,3.88,4.07,367400
180,2012-09-24,4.17,4.17,3.97,4.07,92610
181,2012-09-25,4.07,4.07,3.88,4.07,160300
182,2012-09-26,4.07,4.17,3.97,4.17,67450
