,time,open,high,low,close,volume
0,2012-01-03,15.91,16.03,15.45,15.45,2440
1,2012-01-04,15.57,15.57,15.45,15.45,9590
2,2012-01-05,15.57,16.2,15.45,15.45,1210
3,2012-01-06,15.68,15.68,15.17,15.17,2920
4,2012-01-09,14.94,15.4,14.88,15.4,3910
5,2012-01-10,15.17,16.14,15.17,15.45,3590
6,2012-01-11,15.68,16.08,15.51,16.08,7310
7,2012-01-12,15.85,16.08,15.85,15.85,6170
8,2012-01-13,15.85,15.85,15.85,15.85,0
9,2012-01-16,15.51,15.51,15.45,15.45,1910
10,2012-01-17,15.45,15.45,15.45,15.45,200
11,2012-01-18,16.14,16.2,16.14,16.2,2000
12,2012-01-19,16.94,16.94,16.94,16.94,1500
13,2012-01-20,16.31,17.69,16.31,17.69,1110
14,2012-01-30,17.69,17.69,17.69,17.69,10
15,2012-01-31,17.69,17.69,17.69,17.69,0
16,2012-02-01,16.83,16.83,16.83,16.83,50
17,2012-02-02,16.03,16.03,16.03,16.03,500
18,2012-02-03,15.22,15.22,15.22,15.22,350
19,2012-02-06,14.48,15.74,14.48,15.74,12970
20,2012-02-07,16.03,16.48,16.03,16.48,6050
21,2012-02-08,16.37,16.37,16.37,16.37,720
22,2012-02-09,16.31,17.06,16.31,17.0,20000
23,2012-02-10,17.06,17.06,16.31,16.31,7750
24,2012-02-13,17.06,17.11,16.37,16.37,25790
25,2012-02-14,17.06,17.17,16.6,17.17,60750
26,2012-02-15,17.97,18.03,17.74,18.03,83750
27,2012-02-16,18.89,18.89,18.89,18.89,17990
28,2012-02-17,19.8,19.8,19.75,19.75,94560
29,2012-02-20,20.43,20.43,18.94,19.63,16350
30,2012-02-21,19.57,19.63,18.66,18.89,18250
31,2012-02-22,18.54,19.29,18.31,19.23,23090
32,2012-02-23,19.23,19.57,18.6,18.77,31640
33,2012-02-24,18.43,18.77,17.86,18.72,26950
34,2012-02-27,18.31,19.17,17.91,18.09,23050
35,2012-02-28,18.37,18.94,18.26,18.31,67280
36,2012-02-29,18.6,19.17,18.31,18.6,26370
37,2012-03-01,18.6,18.89,18.09,18.09,13430
38,2012-03-02,18.6,18.89,17.86,18.09,6600
39,2012-03-05,18.83,18.94,18.37,18.83,43180
40,2012-03-06,19.46,19.46,17.91,17.91,32740
41,2012-03-07,17.23,18.6,17.23,17.74,9870
42,2012-03-08,17.28,17.34,16.88,16.88,30280
43,2012-03-09,16.31,17.69,16.14,17.69,2910
44,2012-03-12,17.17,17.17,16.94,17.0,3510
45,2012-03-13,16.65,17.8,16.65,17.8,53200
46,2012-03-14,18.54,18.66,18.54,18.66,52420
47,2012-03-15,19.17,19.57,19.17,19.57,82040
48,2012-03-16,20.49,20.49,19.29,20.03,20090
49,2012-03-19,20.03,20.03,19.29,19.29,17350
50,2012-03-20,19.92,20.2,19.92,20.15,36100
51,2012-03-21,20.15,21.12,20.15,20.66,62790
52,2012-03-22,20.66,20.83,20.6,20.6,14780
53,2012-03-23,19.69,20.6,19.63,19.63,22390
54,2012-03-26,19.46,19.97,19.0,19.97,11600
55,2012-03-27,19.17,19.97,19.17,19.97,9810
56,2012-03-28,19.23,19.75,19.23,19.75,8000
57,2012-03-29,19.23,19.23,19.17,19.17,7240
58,2012-03-30,18.37,19.17,18.26,19.17,15410
59,2012-04-03,19.97,19.97,18.54,18.54,400
60,2012-04-04,18.66,18.66,18.03,18.03,3240
61,2012-04-05,17.51,18.89,17.51,18.43,2320
62,2012-04-06,18.89,19.0,18.89,19.0,37000
63,2012-04-09,19.46,19.92,19.4,19.92,30950
64,2012-04-10,19.4,20.89,19.4,20.89,125830
65,2012-04-11,20.89,21.46,20.89,21.46,77890
66,2012-04-12,21.46,22.15,21.46,21.46,78200
67,2012-04-13,21.18,21.58,21.18,21.18,13400
68,2012-04-16,21.35,21.75,20.66,21.18,32180
69,2012-04-17,21.46,22.21,21.35,22.21,199310
70,2012-04-18,22.21,23.12,21.86,23.12,27310
71,2012-04-19,23.12,23.12,21.98,21.98,155190
72,2012-04-20,21.0,22.95,21.0,22.95,53840
73,2012-04-23,21.86,23.01,21.81,21.81,163800
74,2012-04-24,21.81,21.81,20.78,20.95,35120
75,2012-04-25,21.06,21.98,20.38,20.89,49420
76,2012-04-26,20.89,21.81,19.86,19.92,70430
77,2012-04-27,20.03,20.09,19.52,19.52,6520
78,2012-05-02,20.49,20.49,19.57,19.57,8140
79,2012-05-03,19.17,20.26,18.89,19.57,3710
80,2012-05-04,20.32,20.32,19.46,19.97,8850
81,2012-05-07,20.6,20.95,20.32,20.95,12510
82,2012-05-08,20.95,21.63,20.26,20.26,3940
83,2012-05-09,19.57,21.23,19.57,20.2,102150
84,2012-05-10,21.06,21.06,20.2,21.0,28500
85,2012-05-11,21.46,21.46,21.0,21.0,13200
86,2012-05-14,20.26,20.95,19.97,20.95,20560
87,2012-05-15,20.15,20.89,19.92,20.78,32530
88,2012-05-16,20.03,20.6,19.75,20.15,28590
89,2012-05-17,20.03,20.03,20.03,20.03,1630
90,2012-05-18,20.03,20.03,19.46,19.57,8760
91,2012-05-21,20.43,20.49,20.43,20.43,6100
92,2012-05-22,19.63,20.43,19.52,19.52,16960
93,2012-05-23,19.46,19.46,18.54,18.54,58520
94,2012-05-24,19.17,19.17,17.8,19.12,7570
95,2012-05-25,20.03,20.03,18.2,18.31,178500
96,2012-05-28,19.06,19.17,17.4,17.46,176250
97,2012-05-29,18.03,18.31,17.46,18.31,32090
98,2012-05-30,19.06,19.23,19.0,19.23,55630
99,2012-05-31,19.92,19.92,18.89,19.75,16050
