,time,open,high,low,close,volume
0,2017-02-21,4.9,0.0,0.0,0.0,0
1,2017-02-22,4.9,0.0,0.0,0.0,0
2,2017-02-23,4.08,4.08,4.08,4.08,4500
3,2017-02-24,4.08,4.08,4.08,4.08,0
4,2017-02-27,4.08,4.08,4.08,4.08,6541
5,2017-02-28,4.08,4.08,4.08,4.08,0
6,2017-03-01,4.08,4.08,4.08,4.08,0
7,2017-03-02,4.31,4.31,4.31,4.31,100
8,2017-03-03,4.31,4.31,4.31,4.31,0
9,2017-03-06,4.31,4.31,4.31,4.31,1700
10,2017-03-07,4.31,4.31,4.31,4.31,0
11,2017-03-08,4.31,4.31,4.31,4.31,0
12,2017-03-09,4.31,4.31,4.31,4.31,1100
13,2017-03-10,4.31,4.31,4.31,4.31,400
14,2017-03-13,4.44,4.44,4.44,4.44,1000
15,2017-03-14,4.31,4.44,4.31,4.44,4600
16,2017-03-15,4.31,4.31,4.31,4.31,1400
17,2017-03-16,4.4,4.44,4.31,4.31,3600
18,2017-03-17,4.44,4.44,4.44,4.44,1000
19,2017-03-20,4.4,4.44,4.4,4.44,9170
20,2017-03-21,4.44,4.44,4.44,4.44,400
21,2017-03-22,4.44,4.44,4.44,4.44,330
22,2017-03-23,4.44,4.44,4.44,4.44,2400
23,2017-03-24,4.44,4.44,4.44,4.44,1400
24,2017-03-27,4.44,4.44,3.85,4.44,3600
25,2017-03-28,4.44,4.44,4.44,4.44,0
26,2017-03-29,4.49,4.53,4.49,4.53,1700
27,2017-03-30,4.49,4.49,4.49,4.49,0
28,2017-03-31,4.58,4.58,4.58,4.58,600
29,2017-04-03,4.58,4.71,4.58,4.58,1500
30,2017-04-04,4.53,4.67,3.99,4.67,3400
31,2017-04-05,4.53,4.53,3.94,4.53,3900
32,2017-04-07,4.53,4.53,4.53,4.53,0
33,2017-04-10,4.53,4.53,4.53,4.53,0
34,2017-04-11,4.53,4.53,4.53,4.53,1200
35,2017-04-12,4.44,4.44,4.44,4.44,400
36,2017-04-13,4.44,4.44,4.44,4.44,1000
37,2017-04-14,4.44,4.44,4.44,4.44,0
38,2017-04-17,4.44,4.44,4.44,4.44,0
39,2017-04-18,4.44,4.44,4.44,4.44,0
40,2017-04-19,4.12,4.12,4.12,4.12,600
41,2017-04-20,4.12,4.12,4.12,4.12,0
42,2017-04-21,4.12,4.12,4.12,4.12,0
43,2017-04-24,4.12,4.12,4.12,4.12,0
44,2017-04-25,4.53,4.53,4.53,4.53,100
45,2017-04-26,4.53,4.53,4.53,4.53,0
46,2017-04-27,4.53,4.53,4.53,4.53,11
47,2017-04-28,4.53,4.53,4.53,4.53,0
48,2017-05-03,4.53,4.53,4.53,4.53,0
49,2017-05-04,4.53,4.53,4.53,4.53,0
50,2017-05-05,4.53,4.53,4.53,4.53,0
51,2017-05-08,4.53,4.53,4.53,4.53,0
52,2017-05-09,4.53,4.53,4.53,4.53,0
53,2017-05-10,4.35,4.35,3.85,4.31,1900
54,2017-05-11,4.31,4.31,4.31,4.31,100
55,2017-05-12,4.31,4.31,4.31,4.31,0
56,2017-05-15,3.72,3.72,3.67,3.67,1600
57,2017-05-16,3.63,4.17,3.63,4.17,2000
58,2017-05-17,4.17,4.17,4.17,4.17,100
59,2017-05-18,4.08,4.08,3.72,3.72,2100
60,2017-05-19,4.22,4.22,4.22,4.22,100
61,2017-05-22,3.85,4.35,3.85,4.35,600
62,2017-05-23,3.94,3.94,3.94,3.94,0
63,2017-05-24,3.9,4.22,3.85,4.22,200
64,2017-05-25,4.31,4.31,4.31,4.31,200
65,2017-05-26,4.31,4.31,4.31,4.31,0
66,2017-05-29,4.31,4.31,4.31,4.31,0
67,2017-05-30,4.31,4.31,4.31,4.31,0
68,2017-05-31,4.31,4.31,4.31,4.31,0
69,2017-06-01,4.31,4.31,4.31,4.31,0
70,2017-06-02,3.76,3.76,3.76,3.76,2000
71,2017-06-05,3.76,3.76,3.76,3.76,0
72,2017-06-06,3.76,3.76,3.76,3.76,0
