,time,open,high,low,close,volume
0,2012-01-03,1.61,1.61,1.61,1.61,0
1,2012-01-04,1.61,1.61,1.61,1.61,0
2,2012-01-05,1.61,1.61,1.61,1.61,0
3,2012-01-06,1.71,1.71,1.71,1.71,100
4,2012-01-09,1.71,1.71,1.71,1.71,0
5,2012-01-10,1.69,1.69,1.63,1.63,1700
6,2012-01-11,1.63,1.63,1.63,1.63,0
7,2012-01-12,1.63,1.63,1.63,1.63,0
8,2012-01-13,1.71,1.71,1.71,1.71,200
9,2012-01-16,1.6,1.6,1.6,1.6,500
10,2012-01-17,1.6,1.6,1.6,1.6,1000
11,2012-01-18,1.6,1.6,1.6,1.6,0
12,2012-01-19,1.51,1.61,1.51,1.61,600
13,2012-01-20,1.61,1.61,1.61,1.61,0
14,2012-01-30,1.61,1.61,1.61,1.61,0
15,2012-01-31,1.5,1.5,1.5,1.5,200
16,2012-02-01,1.6,1.6,1.6,1.6,100
17,2012-02-02,1.69,1.69,1.69,1.69,100
18,2012-02-03,1.81,1.81,1.81,1.81,100
19,2012-02-06,1.81,1.86,1.81,1.86,1300
20,2012-02-07,1.92,1.94,1.92,1.94,900
21,2012-02-08,2.06,2.06,2.01,2.06,9500
22,2012-02-09,2.14,2.14,2.14,2.14,100
23,2012-02-10,2.17,2.17,2.17,2.17,3400
24,2012-02-13,2.32,2.32,2.17,2.27,700
25,2012-02-14,2.14,2.14,2.14,2.14,1200
26,2012-02-15,2.15,2.17,2.15,2.17,3300
27,2012-02-16,2.17,2.17,2.17,2.17,200
28,2012-02-17,2.22,2.22,2.22,2.22,100
29,2012-02-20,2.25,2.3,2.25,2.3,200
30,2012-02-21,2.3,2.3,2.3,2.3,0
31,2012-02-22,2.14,2.3,2.14,2.19,5700
32,2012-02-23,2.07,2.33,2.07,2.13,1000
33,2012-02-24,2.25,2.27,2.21,2.27,9100
34,2012-02-27,2.39,2.39,2.39,2.39,3500
35,2012-02-28,2.55,2.55,2.31,2.31,600
36,2012-02-29,2.35,2.35,2.35,2.35,200
37,2012-03-01,2.29,2.29,2.21,2.21,1600
38,2012-03-02,2.23,2.31,2.23,2.25,6500
39,2012-03-05,2.39,2.39,2.35,2.39,12300
40,2012-03-06,2.31,2.31,2.29,2.29,3000
41,2012-03-07,2.29,2.29,2.15,2.15,14600
42,2012-03-08,2.09,2.09,2.03,2.03,15100
43,2012-03-09,2.05,2.05,2.03,2.05,11700
44,2012-03-12,2.05,2.05,2.01,2.03,18800
45,2012-03-13,1.99,2.03,1.99,2.03,33000
46,2012-03-14,2.03,2.03,2.03,2.03,36000
47,2012-03-15,2.03,2.11,2.01,2.11,35900
48,2012-03-16,2.13,2.17,2.05,2.11,60300
49,2012-03-19,2.27,2.27,2.15,2.27,9100
50,2012-03-20,2.25,2.37,2.25,2.37,14500
51,2012-03-21,2.35,2.51,2.35,2.49,25600
52,2012-03-22,2.49,2.51,2.37,2.43,58300
53,2012-03-23,2.49,2.49,2.27,2.41,217600
54,2012-03-26,2.33,2.45,2.33,2.45,163100
55,2012-03-27,2.53,2.53,2.41,2.41,35800
56,2012-03-28,2.33,2.39,2.33,2.39,31700
57,2012-03-29,2.39,2.39,2.23,2.23,198300
58,2012-03-30,2.19,2.29,2.09,2.23,54100
59,2012-04-03,2.23,2.29,2.15,2.29,14800
60,2012-04-04,2.35,2.35,2.21,2.27,23900
61,2012-04-05,2.39,2.39,2.39,2.39,64400
62,2012-04-06,2.55,2.55,2.55,2.55,178500
63,2012-04-09,2.55,2.71,2.55,2.71,155700
64,2012-04-10,2.87,2.89,2.79,2.87,352300
65,2012-04-11,2.91,2.99,2.85,2.99,154600
66,2012-04-12,2.93,2.95,2.79,2.87,118200
67,2012-04-13,2.81,2.85,2.75,2.83,174600
68,2012-04-16,2.92,2.92,2.67,2.81,123300
69,2012-04-17,2.83,2.9,2.83,2.86,122400
70,2012-04-18,2.88,2.9,2.83,2.83,90300
71,2012-04-19,2.86,2.86,2.74,2.74,74100
72,2012-04-20,2.74,2.81,2.7,2.76,31200
73,2012-04-23,2.86,2.86,2.72,2.79,34300
74,2012-04-24,2.79,2.81,2.72,2.81,55900
75,2012-04-25,2.83,2.99,2.79,2.99,210000
76,2012-04-26,3.2,3.2,3.02,3.18,261200
77,2012-04-27,3.2,3.2,3.13,3.2,37500
78,2012-05-02,3.2,3.2,3.06,3.06,64200
79,2012-05-03,3.04,3.06,2.97,3.06,112700
80,2012-05-04,2.97,3.15,2.88,3.06,96200
81,2012-05-07,2.97,3.22,2.97,3.22,111100
82,2012-05-08,3.31,3.31,3.11,3.2,93000
83,2012-05-09,3.11,3.13,3.04,3.08,71400
84,2012-05-10,3.08,3.11,3.02,3.06,66900
