,time,open,high,low,close,volume
0,2012-01-03,3.73,3.83,3.73,3.83,13610
1,2012-01-04,3.83,3.93,3.73,3.83,89390
2,2012-01-05,3.83,3.93,3.73,3.73,64940
3,2012-01-06,3.73,3.83,3.73,3.73,60070
4,2012-01-09,3.83,3.83,3.63,3.73,92730
5,2012-01-10,3.73,3.83,3.73,3.83,13130
6,2012-01-11,3.93,3.93,3.83,3.83,98530
7,2012-01-12,3.83,3.93,3.83,3.93,111530
8,2012-01-13,3.83,4.02,3.83,3.83,62510
9,2012-01-16,3.83,3.93,3.83,3.93,31200
10,2012-01-17,4.02,4.02,3.93,4.02,10020
11,2012-01-18,4.02,4.12,4.02,4.12,6400
12,2012-01-19,4.22,4.32,4.12,4.32,137610
13,2012-01-20,4.32,4.51,4.32,4.51,121890
14,2012-01-30,4.61,4.71,4.51,4.71,66480
15,2012-01-31,4.81,4.91,4.71,4.81,160480
16,2012-02-01,4.71,4.71,4.61,4.71,82700
17,2012-02-02,4.61,4.91,4.61,4.91,165940
18,2012-02-03,5.1,5.1,4.71,4.71,88710
19,2012-02-06,4.51,4.61,4.51,4.51,48550
20,2012-02-07,4.51,4.51,4.32,4.51,113610
21,2012-02-08,4.61,4.61,4.51,4.61,30700
22,2012-02-09,4.61,4.61,4.42,4.61,82500
23,2012-02-10,4.61,4.61,4.42,4.42,63580
24,2012-02-13,4.22,4.22,4.22,4.22,62840
25,2012-02-14,4.02,4.32,4.02,4.22,19290
26,2012-02-15,4.22,4.22,4.02,4.02,38540
27,2012-02-16,4.02,4.12,3.93,4.12,89770
28,2012-02-17,4.12,4.12,3.93,4.02,67970
29,2012-02-20,4.12,4.22,4.12,4.22,119620
30,2012-02-21,4.42,4.42,4.22,4.42,78320
31,2012-02-22,4.42,4.51,4.22,4.51,79940
32,2012-02-23,4.61,4.71,4.42,4.71,144910
33,2012-02-24,4.71,4.91,4.61,4.81,474950
34,2012-02-27,4.81,5.01,4.81,5.01,659380
35,2012-02-28,5.1,5.1,4.81,5.1,177630
36,2012-02-29,5.01,5.1,4.91,5.01,234670
37,2012-03-01,5.01,5.01,4.81,4.81,248860
38,2012-03-02,4.71,4.91,4.61,4.91,169290
39,2012-03-05,5.1,5.1,5.01,5.1,680310
40,2012-03-06,5.2,5.2,4.91,4.91,240670
41,2012-03-07,4.91,5.1,4.71,5.1,266980
42,2012-03-08,5.1,5.1,4.91,4.91,29570
43,2012-03-09,4.71,4.91,4.71,4.71,165890
44,2012-03-12,4.81,4.81,4.51,4.51,122040
45,2012-03-13,4.32,4.61,4.32,4.42,79030
46,2012-03-14,4.42,4.61,4.32,4.61,61720
47,2012-03-15,4.51,4.81,4.42,4.81,138380
48,2012-03-16,4.91,4.91,4.61,4.61,127770
49,2012-03-19,4.61,4.61,4.42,4.61,63720
50,2012-03-20,4.51,4.61,4.51,4.61,140860
51,2012-03-21,4.61,4.81,4.61,4.71,162860
52,2012-03-22,4.61,4.91,4.61,4.91,559700
53,2012-03-23,5.1,5.1,5.01,5.1,406950
54,2012-03-26,5.3,5.3,5.2,5.3,523090
55,2012-03-27,5.5,5.5,5.3,5.3,596850
56,2012-03-28,5.2,5.4,5.1,5.2,594820
57,2012-03-29,5.3,5.3,5.01,5.01,435920
58,2012-03-30,5.01,5.01,4.81,4.81,227730
59,2012-04-03,4.81,5.01,4.81,4.91,88000
60,2012-04-04,4.91,4.91,4.71,4.71,113200
61,2012-04-05,4.61,4.91,4.61,4.81,92490
62,2012-04-06,4.91,5.01,4.81,4.81,218430
63,2012-04-09,4.91,5.01,4.71,5.01,248250
64,2012-04-10,5.1,5.2,5.01,5.2,628210
65,2012-04-11,5.4,5.4,5.4,5.4,587930
66,2012-04-12,5.59,5.59,5.59,5.59,134020
67,2012-04-13,5.79,5.79,5.69,5.79,1304830
68,2012-04-16,5.79,5.99,5.59,5.99,923290
69,2012-04-17,6.18,6.28,5.79,5.99,535810
70,2012-04-18,5.89,6.18,5.69,5.69,490060
71,2012-04-19,5.5,5.69,5.5,5.5,642410
72,2012-04-20,5.4,5.69,5.3,5.4,306910
73,2012-04-23,5.4,5.59,5.4,5.59,391790
74,2012-04-24,5.59,5.79,5.59,5.79,243680
75,2012-04-25,5.99,5.99,5.99,5.99,422480
76,2012-04-26,6.18,6.18,5.99,5.99,664680
77,2012-04-27,5.99,6.28,5.99,6.28,651530
78,2012-05-02,6.58,6.58,6.28,6.28,551220
79,2012-05-03,6.18,6.58,6.18,6.58,537260
80,2012-05-04,6.67,6.87,6.67,6.87,556100
81,2012-05-07,7.16,7.16,7.16,7.16,525800
82,2012-05-08,7.26,7.46,7.07,7.36,442420
83,2012-05-09,7.16,7.36,7.07,7.07,721420
84,2012-05-10,7.16,7.26,6.77,6.97,500090
85,2012-05-11,6.87,6.97,6.67,6.87,412690
86,2012-05-14,6.77,6.77,6.58,6.58,363780
87,2012-05-15,6.28,6.67,6.28,6.28,426170
88,2012-05-16,6.38,6.38,5.99,6.28,406050
89,2012-05-17,6.28,6.38,5.99,6.18,323030
90,2012-05-18,5.99,6.18,5.89,5.89,205190
91,2012-05-21,6.08,6.18,5.99,6.18,316280
