,time,open,high,low,close,volume
0,2012-01-03,1.99,1.99,1.99,1.99,0
1,2012-01-04,1.84,1.99,1.84,1.84,4200
2,2012-01-05,1.9,1.93,1.9,1.93,1200
3,2012-01-06,1.93,1.93,1.9,1.9,4500
4,2012-01-09,1.87,1.93,1.87,1.93,6500
5,2012-01-10,1.87,1.9,1.87,1.9,2300
6,2012-01-11,1.87,1.9,1.87,1.9,2000
7,2012-01-12,1.9,1.9,1.9,1.9,0
8,2012-01-16,1.9,1.9,1.9,1.9,5000
9,2012-01-17,1.93,1.93,1.9,1.9,3000
10,2012-01-18,1.9,1.9,1.9,1.9,0
11,2012-01-19,1.96,1.96,1.96,1.96,100
12,2012-01-20,1.99,1.99,1.99,1.99,5200
13,2012-01-30,2.08,2.08,2.08,2.08,100
14,2012-01-31,2.08,2.08,2.08,2.08,1000
15,2012-02-01,2.08,2.08,2.08,2.08,0
16,2012-02-02,2.14,2.14,2.14,2.14,5800
17,2012-02-03,2.17,2.17,2.14,2.14,1500
18,2012-02-06,2.11,2.11,2.11,2.11,2300
19,2012-02-07,2.11,2.11,2.11,2.11,0
20,2012-02-08,2.11,2.11,2.05,2.05,4600
21,2012-02-09,2.11,2.05,2.05,2.05,0
22,2012-02-10,2.02,2.02,2.02,2.02,8700
23,2012-02-13,2.02,2.02,2.02,2.02,0
24,2012-02-14,2.02,2.02,2.02,2.02,1200
25,2012-02-15,2.11,2.11,2.11,2.11,3000
26,2012-02-16,2.08,2.08,2.05,2.05,4800
27,2012-02-17,2.05,2.05,2.02,2.02,4000
28,2012-02-20,2.05,2.02,2.02,2.02,0
29,2012-02-21,1.99,1.99,1.99,1.99,3000
30,2012-02-22,2.02,2.02,1.99,2.02,5000
31,2012-02-23,2.08,2.08,2.08,2.08,5000
32,2012-02-24,2.08,2.08,2.05,2.05,10400
33,2012-02-27,1.9,1.96,1.9,1.96,3000
34,2012-02-28,1.99,1.99,1.96,1.96,12500
35,2012-02-29,2.02,2.05,2.02,2.05,5000
36,2012-03-01,1.99,1.99,1.99,1.99,1000
37,2012-03-02,1.99,2.08,1.81,1.87,45400
38,2012-03-05,1.99,2.08,1.99,2.08,8500
39,2012-03-06,2.14,2.14,2.08,2.08,24000
40,2012-03-07,1.99,1.99,1.99,1.99,3000
41,2012-03-08,1.99,1.99,1.96,1.96,9500
42,2012-03-09,1.99,1.99,1.99,1.99,2000
43,2012-03-12,1.96,1.96,1.93,1.93,23000
44,2012-03-13,2.02,2.11,1.99,2.11,11700
45,2012-03-14,2.05,2.14,2.05,2.14,17200
46,2012-03-15,2.11,2.2,2.11,2.2,29000
47,2012-03-16,2.3,2.3,2.08,2.14,12500
48,2012-03-19,2.14,2.26,2.14,2.23,34000
49,2012-03-20,2.14,2.14,2.14,2.14,23700
50,2012-03-21,2.14,2.26,2.14,2.26,23000
51,2012-03-22,2.23,2.42,2.23,2.42,17600
52,2012-03-23,2.36,2.39,2.36,2.36,13000
53,2012-03-26,2.3,2.42,2.26,2.26,65800
54,2012-03-27,2.23,2.23,2.08,2.2,64600
55,2012-03-28,1.99,2.11,1.93,2.08,16100
56,2012-03-29,2.11,2.11,2.11,2.11,2000
57,2012-03-30,2.11,2.11,2.11,2.11,5000
58,2012-04-03,2.11,2.11,2.11,2.11,0
59,2012-04-04,2.23,2.23,2.23,2.23,100
60,2012-04-05,2.23,2.23,2.23,2.23,0
61,2012-04-06,2.23,2.23,2.23,2.23,0
62,2012-04-09,2.23,2.23,2.23,2.23,0
63,2012-04-10,2.14,2.14,2.14,2.14,9000
64,2012-04-11,2.2,2.3,2.17,2.26,22200
65,2012-04-12,2.26,2.3,2.26,2.26,101400
66,2012-04-13,2.3,2.45,2.26,2.42,61600
67,2012-04-16,2.45,2.45,2.42,2.42,600
68,2012-04-17,2.42,2.42,2.42,2.42,8900
69,2012-04-18,2.42,2.45,2.42,2.45,36800
70,2012-04-19,2.51,2.54,2.39,2.39,17500
71,2012-04-20,2.42,2.51,2.42,2.51,13000
72,2012-04-23,2.54,2.57,2.54,2.54,49400
73,2012-04-24,2.39,2.75,2.39,2.75,94500
74,2012-04-25,2.82,2.88,2.82,2.85,35900
75,2012-04-26,2.88,2.91,2.85,2.88,64800
76,2012-04-27,2.75,2.91,2.75,2.88,162700
77,2012-05-02,3.12,3.12,3.0,3.12,190700
78,2012-05-03,3.43,3.43,3.18,3.24,82300
79,2012-05-04,3.55,3.55,3.27,3.52,65900
80,2012-05-07,3.49,3.49,3.31,3.31,186700
81,2012-05-08,3.34,3.37,3.31,3.31,160400
82,2012-05-09,2.75,2.75,2.69,2.75,32400
83,2012-05-10,2.75,2.75,2.69,2.69,93500
84,2012-05-11,2.57,2.63,2.57,2.57,76900
85,2012-05-14,2.54,2.54,2.36,2.45,12700
86,2012-05-15,2.39,2.39,2.26,2.3,33900
87,2012-05-16,2.23,2.26,2.23,2.26,14000
88,2012-05-17,2.42,2.42,2.36,2.36,21300
89,2012-05-18,2.26,2.26,2.23,2.23,5200
90,2012-05-21,2.23,2.33,2.23,2.33,20600
91,2012-05-22,2.3,2.33,2.3,2.33,16700
92,2012-05-23,2.23,2.26,2.23,2.26,15900
93,2012-05-24,2.26,2.26,2.26,2.26,2000
94,2012-05-25,2.26,2.42,2.26,2.42,19300
95,2012-05-28,2.39,2.39,2.3,2.3,500
96,2012-05-29,2.3,2.36,2.3,2.36,20700
97,2012-05-30,2.3,2.39,2.3,2.36,10300
98,2012-05-31,2.36,2.36,2.36,2.36,0
99,2012-06-01,2.3,2.3,2.3,2.3,3900
100,2012-06-04,2.48,2.51,2.33,2.33,32500
101,2012-06-05,2.72,2.72,2.39,2.45,29000
102,2012-06-06,2.42,2.42,2.39,2.39,2900
103,2012-06-07,2.39,2.39,2.36,2.36,4400
104,2012-06-08,2.45,2.48,2.36,2.39,25300
105,2012-06-11,2.36,2.36,2.36,2.36,3000
106,2012-06-12,2.33,2.36,2.33,2.36,40000
107,2012-06-13,2.36,2.36,2.36,2.36,0
108,2012-06-14,2.36,2.36,2.36,2.36,700
