,time,open,high,low,close,volume
0,2012-01-03,3.21,3.21,3.12,3.21,10400
1,2012-01-04,3.29,3.37,3.04,3.04,25100
2,2012-01-05,3.04,3.12,2.96,3.12,58200
3,2012-01-06,2.96,2.96,2.88,2.88,14300
4,2012-01-09,2.96,3.04,2.88,3.04,18600
5,2012-01-10,3.04,3.12,3.04,3.12,31200
6,2012-01-11,3.12,3.29,2.96,2.96,85400
7,2012-01-12,3.04,3.12,2.96,3.04,12400
8,2012-01-13,3.04,3.04,2.96,2.96,31200
9,2012-01-16,2.96,3.12,2.96,3.12,28000
10,2012-01-17,3.04,3.29,3.04,3.12,22100
11,2012-01-18,3.29,3.29,3.21,3.21,6700
12,2012-01-19,3.29,3.45,3.29,3.45,16200
13,2012-01-20,3.37,3.37,3.21,3.21,25300
14,2012-01-30,3.29,3.37,3.12,3.37,40000
15,2012-01-31,3.29,3.37,3.29,3.37,98300
16,2012-02-01,3.45,3.45,3.29,3.29,13700
17,2012-02-02,3.29,3.45,3.29,3.45,84100
18,2012-02-03,3.45,3.45,3.29,3.29,69700
19,2012-02-06,3.21,3.29,3.12,3.21,27500
20,2012-02-07,3.29,3.29,3.21,3.29,57600
21,2012-02-08,3.37,3.37,3.21,3.37,40300
22,2012-02-09,3.29,3.29,3.12,3.12,94200
23,2012-02-10,3.04,3.04,2.96,2.96,62100
24,2012-02-13,2.96,2.96,2.79,2.88,27500
25,2012-02-14,2.96,3.04,2.88,3.04,38600
26,2012-02-15,3.04,3.12,2.88,2.96,24900
27,2012-02-16,3.04,3.04,2.96,2.96,26900
28,2012-02-17,3.04,3.04,2.88,2.96,116300
29,2012-02-20,3.12,3.12,2.96,3.12,51900
30,2012-02-21,3.21,3.29,3.04,3.04,39000
31,2012-02-22,2.96,3.29,2.96,3.29,210900
32,2012-02-23,3.37,3.37,3.29,3.37,231300
33,2012-02-24,3.53,3.53,3.45,3.53,273600
34,2012-02-27,3.62,3.78,3.62,3.78,132600
35,2012-02-28,4.03,4.03,3.62,3.78,258200
36,2012-02-29,3.78,3.86,3.7,3.78,133300
37,2012-03-01,3.7,3.78,3.62,3.78,121900
38,2012-03-02,3.78,3.94,3.78,3.94,118300
39,2012-03-05,4.19,4.19,4.19,4.19,22400
40,2012-03-06,4.44,4.44,3.94,4.19,250300
41,2012-03-07,4.27,4.27,4.03,4.19,210900
42,2012-03-08,3.86,4.11,3.86,3.94,257600
43,2012-03-09,3.94,3.94,3.86,3.86,28600
44,2012-03-12,3.86,3.86,3.7,3.78,144800
45,2012-03-13,3.86,3.94,3.78,3.94,62300
46,2012-03-14,3.78,3.94,3.62,3.7,38800
47,2012-03-15,3.62,3.94,3.62,3.94,142000
48,2012-03-16,4.03,4.03,3.94,4.03,179900
49,2012-03-19,3.94,4.11,3.94,3.94,43000
50,2012-03-20,4.03,4.19,3.94,4.19,145300
51,2012-03-21,4.44,4.44,4.36,4.44,219800
52,2012-03-22,4.68,4.68,4.36,4.52,81000
53,2012-03-23,4.52,4.6,4.36,4.6,68900
54,2012-03-26,4.6,4.77,4.44,4.77,235400
55,2012-03-27,5.01,5.1,4.52,4.6,200800
56,2012-03-28,4.44,4.77,4.36,4.77,106100
57,2012-03-29,4.85,4.85,4.6,4.77,95200
58,2012-03-30,4.6,4.68,4.44,4.44,130700
59,2012-04-03,4.68,4.68,4.44,4.68,46300
60,2012-04-04,4.6,4.68,4.44,4.52,78700
61,2012-04-05,4.6,4.68,4.44,4.6,62700
62,2012-04-06,4.6,4.68,4.52,4.52,86700
63,2012-04-09,4.68,4.85,4.68,4.85,165200
64,2012-04-10,5.01,5.18,5.01,5.18,286200
65,2012-04-11,5.42,5.51,5.26,5.51,219800
66,2012-04-12,5.75,5.83,5.67,5.83,158700
67,2012-04-13,5.83,6.16,5.59,5.92,197200
68,2012-04-16,6.0,6.41,5.59,6.41,308100
69,2012-04-17,6.49,6.74,6.33,6.74,185800
70,2012-04-18,6.25,6.9,6.25,6.74,152200
71,2012-04-19,6.74,6.74,6.25,6.49,151500
72,2012-04-20,6.16,6.49,6.08,6.25,44400
73,2012-04-23,6.0,6.25,5.83,6.0,121800
74,2012-04-24,5.67,6.41,5.67,6.41,64200
75,2012-04-25,6.82,6.82,6.74,6.82,68100
76,2012-04-26,7.23,7.23,6.99,7.15,210800
77,2012-04-27,7.4,7.64,7.4,7.64,92100
78,2012-05-02,8.14,8.14,7.97,8.14,72200
79,2012-05-03,8.63,8.63,8.22,8.63,262400
80,2012-05-04,9.12,9.12,8.46,9.12,175900
81,2012-05-07,9.37,9.62,9.04,9.62,230600
82,2012-05-08,10.19,10.27,9.7,10.27,208900
83,2012-05-09,10.27,10.93,9.94,10.93,200500
84,2012-05-10,11.26,11.67,11.09,11.67,221400
85,2012-05-11,12.16,12.25,11.34,12.25,222900
86,2012-05-14,12.49,12.82,11.26,11.67,263300
87,2012-05-15,11.51,11.92,11.01,11.01,202900
88,2012-05-16,10.93,10.93,10.27,10.27,78400
89,2012-05-17,9.86,10.68,9.62,9.62,216400
90,2012-05-18,8.96,8.96,8.96,8.96,23200
91,2012-05-21,8.38,9.53,8.38,9.53,360100
92,2012-05-22,9.86,10.19,9.37,10.19,330900
93,2012-05-23,9.86,9.86,9.29,9.29,80100
94,2012-05-24,8.71,9.29,8.71,9.04,143700
95,2012-05-25,8.88,9.29,8.88,9.29,75800
96,2012-05-28,9.78,9.86,9.62,9.86,202900
