,time,open,high,low,close,volume
0,2012-01-03,2.58,2.58,2.58,2.58,1000
1,2012-01-04,2.44,2.44,2.44,2.44,500
2,2012-01-05,2.34,2.53,2.34,2.34,400
3,2012-01-06,2.29,2.48,2.29,2.29,500
4,2012-01-09,2.25,2.39,2.25,2.39,2100
5,2012-01-10,2.2,2.48,2.2,2.48,1300
6,2012-01-11,2.48,2.48,2.39,2.44,2300
7,2012-01-12,2.48,2.48,2.34,2.34,1000
8,2012-01-13,2.44,2.44,2.44,2.44,100
9,2012-01-16,2.39,2.39,2.39,2.39,100
10,2012-01-17,2.39,2.48,2.39,2.48,400
11,2012-01-18,2.58,2.58,2.39,2.39,200
12,2012-01-19,2.58,2.58,2.58,2.58,1000
13,2012-01-20,2.58,2.58,2.58,2.58,3900
14,2012-01-30,2.63,2.63,2.63,2.63,1000
15,2012-01-31,2.72,2.77,2.72,2.77,6500
16,2012-02-01,2.77,2.82,2.77,2.82,5000
17,2012-02-02,2.87,2.96,2.87,2.91,8100
18,2012-02-03,2.87,2.87,2.72,2.72,9100
19,2012-02-06,2.96,2.96,2.68,2.72,4400
20,2012-02-07,2.91,2.96,2.91,2.96,8000
21,2012-02-08,3.06,3.06,3.01,3.06,14600
22,2012-02-09,3.15,3.15,2.87,2.91,5700
23,2012-02-10,2.72,2.72,2.72,2.72,300
24,2012-02-13,2.72,2.72,2.72,2.72,0
25,2012-02-14,2.87,2.87,2.87,2.87,1300
26,2012-02-15,2.72,2.72,2.72,2.72,100
27,2012-02-16,2.82,2.82,2.82,2.82,100
28,2012-02-17,2.82,2.82,2.77,2.77,2000
29,2012-02-20,3.01,3.01,2.82,2.96,1300
30,2012-02-21,3.06,3.06,3.01,3.06,1600
31,2012-02-22,3.06,3.06,3.06,3.06,0
32,2012-02-23,3.01,3.15,3.01,3.15,5100
33,2012-02-24,3.2,3.2,3.06,3.15,7200
34,2012-02-27,3.25,3.3,3.25,3.3,4000
35,2012-02-28,3.39,3.39,3.11,3.11,12900
36,2012-02-29,3.25,3.25,3.25,3.25,100
37,2012-03-01,3.11,3.11,3.06,3.06,10400
38,2012-03-02,2.96,3.2,2.91,2.96,5000
39,2012-03-05,3.15,3.2,3.15,3.2,39800
40,2012-03-06,3.34,3.34,3.11,3.11,18400
41,2012-03-07,3.34,3.34,3.06,3.3,600
42,2012-03-08,3.11,3.11,3.06,3.06,6300
43,2012-03-09,2.96,3.25,2.91,2.96,40500
44,2012-03-12,2.91,3.06,2.87,2.91,34300
45,2012-03-13,3.06,3.06,2.96,2.96,24100
46,2012-03-14,2.96,2.96,2.87,2.87,18200
47,2012-03-15,2.82,3.11,2.82,3.11,18800
48,2012-03-16,3.11,3.25,3.11,3.25,42300
49,2012-03-19,3.25,3.44,3.25,3.44,75500
50,2012-03-20,3.39,3.58,3.39,3.58,58800
51,2012-03-21,3.78,3.82,3.78,3.82,60100
52,2012-03-22,4.01,4.01,3.73,3.78,6900
53,2012-03-23,3.82,3.82,3.68,3.82,10800
54,2012-03-26,3.82,3.82,3.58,3.82,22700
55,2012-03-27,3.82,3.82,3.68,3.68,10000
56,2012-03-28,3.63,3.73,3.58,3.73,4700
57,2012-03-29,3.68,3.68,3.44,3.63,11700
58,2012-03-30,3.49,3.58,3.44,3.44,26500
59,2012-04-03,3.49,3.73,3.3,3.3,5800
60,2012-04-04,3.34,3.44,3.3,3.44,2500
61,2012-04-05,3.34,3.54,3.34,3.54,1200
62,2012-04-06,3.68,3.68,3.68,3.68,100
63,2012-04-09,3.73,3.73,3.73,3.73,100
64,2012-04-10,3.78,3.78,3.54,3.68,11400
65,2012-04-11,3.49,3.68,3.49,3.68,12900
66,2012-04-12,3.68,3.87,3.68,3.87,22700
67,2012-04-13,3.97,3.97,3.82,3.92,25600
68,2012-04-16,3.92,4.16,3.92,4.11,54300
69,2012-04-17,4.4,4.4,4.11,4.25,15300
70,2012-04-18,4.25,4.44,4.11,4.25,18100
71,2012-04-19,4.13,4.13,3.99,4.13,15600
72,2012-04-20,3.99,4.08,3.89,3.89,12200
73,2012-04-23,3.89,3.89,3.69,3.69,4600
74,2012-04-24,3.65,3.84,3.65,3.84,3100
75,2012-04-25,3.84,3.99,3.84,3.99,12700
76,2012-04-26,3.94,3.94,3.89,3.94,5900
77,2012-04-27,3.89,3.99,3.84,3.99,5000
78,2012-05-02,3.94,4.03,3.89,4.03,3200
79,2012-05-03,3.74,3.94,3.74,3.94,5500
80,2012-05-04,3.94,4.03,3.89,3.99,21700
81,2012-05-07,3.99,4.23,3.99,4.23,52200
82,2012-05-08,4.23,4.28,4.08,4.13,27600
83,2012-05-09,4.18,4.23,4.13,4.18,5700
84,2012-05-10,4.23,4.23,4.03,4.03,26300
85,2012-05-11,4.08,4.13,3.94,3.94,17000
86,2012-05-14,3.89,3.89,3.84,3.89,5000
87,2012-05-15,3.89,3.89,3.79,3.79,4800
88,2012-05-16,3.74,3.79,3.65,3.79,6500
89,2012-05-17,3.84,3.84,3.65,3.84,3300
90,2012-05-18,3.65,3.89,3.6,3.89,15500
