,time,open,high,low,close,volume
0,2012-01-03,4.89,4.89,4.71,4.71,206450
1,2012-01-04,4.62,4.62,4.56,4.6,177420
2,2012-01-05,4.53,4.62,4.53,4.58,165210
3,2012-01-06,4.58,4.58,4.46,4.49,298140
4,2012-01-09,4.49,4.65,4.49,4.62,367990
5,2012-01-10,4.58,4.69,4.58,4.67,419840
6,2012-01-11,4.76,4.78,4.67,4.67,583520
7,2012-01-12,4.69,4.85,4.69,4.76,722700
8,2012-01-13,4.76,4.83,4.76,4.78,473910
9,2012-01-16,4.83,4.99,4.8,4.87,515750
10,2012-01-17,4.89,4.92,4.85,4.85,439490
11,2012-01-18,4.87,4.92,4.85,4.92,206100
12,2012-01-19,4.92,5.14,4.92,5.14,485130
13,2012-01-20,5.21,5.28,5.14,5.23,682000
14,2012-01-30,5.21,5.48,5.21,5.48,803590
15,2012-01-31,5.6,5.67,5.51,5.53,789540
16,2012-02-01,5.53,5.53,5.3,5.39,937600
17,2012-02-02,5.55,5.64,5.48,5.64,824600
18,2012-02-03,5.67,5.89,5.55,5.55,623560
19,2012-02-06,5.55,5.55,5.46,5.51,404650
20,2012-02-07,5.55,5.62,5.44,5.55,502100
21,2012-02-08,5.55,5.78,5.55,5.78,801310
22,2012-02-09,5.76,5.89,5.69,5.71,410610
23,2012-02-10,5.67,5.71,5.57,5.57,924610
24,2012-02-13,5.46,5.67,5.44,5.48,673710
25,2012-02-14,5.48,5.71,5.48,5.71,445320
26,2012-02-15,5.76,5.8,5.67,5.67,529300
27,2012-02-16,5.57,5.76,5.57,5.67,465620
28,2012-02-17,5.71,5.82,5.71,5.78,517780
29,2012-02-20,5.87,6.05,5.87,6.05,634580
30,2012-02-21,6.32,6.32,6.07,6.1,905480
31,2012-02-22,6.19,6.37,6.12,6.37,1040520
32,2012-02-23,6.35,6.46,6.28,6.46,1053020
33,2012-02-24,6.62,6.77,6.51,6.65,793320
34,2012-02-27,6.62,6.72,6.55,6.7,662410
35,2012-02-28,6.65,6.65,6.51,6.51,1190840
36,2012-02-29,6.41,6.55,6.39,6.43,877660
37,2012-03-01,6.43,6.72,6.41,6.72,921140
38,2012-03-02,6.72,6.96,6.72,6.86,756280
39,2012-03-05,6.98,7.19,6.98,7.19,1627870
40,2012-03-06,7.5,7.5,6.84,6.84,1170940
41,2012-03-07,6.74,6.84,6.62,6.84,1003090
42,2012-03-08,6.67,6.86,6.51,6.51,1009420
43,2012-03-09,6.51,6.62,6.36,6.6,968870
44,2012-03-12,6.46,6.51,6.34,6.34,532070
45,2012-03-13,6.48,6.48,6.36,6.46,366290
46,2012-03-14,6.58,6.58,6.46,6.55,729850
47,2012-03-15,6.58,6.72,6.46,6.7,851080
48,2012-03-16,6.74,6.74,6.39,6.39,1169140
49,2012-03-19,6.46,6.7,6.46,6.7,1289700
50,2012-03-20,6.72,7.03,6.72,7.03,1819480
51,2012-03-21,7.03,7.22,7.03,7.05,1083450
52,2012-03-22,7.05,7.22,7.03,7.1,1412870
53,2012-03-23,7.1,7.17,7.0,7.0,1025350
54,2012-03-26,7.0,7.05,6.93,6.98,755570
55,2012-03-27,6.98,6.98,6.74,6.74,652340
56,2012-03-28,6.74,6.86,6.65,6.86,716070
57,2012-03-29,6.96,7.03,6.79,6.79,577290
58,2012-03-30,6.84,6.86,6.74,6.86,612500
59,2012-04-03,6.81,6.96,6.81,6.88,320890
