,time,open,high,low,close,volume
0,2012-01-03,1.39,1.39,1.28,1.28,2300
1,2012-01-04,1.37,1.37,1.37,1.37,100
2,2012-01-05,1.28,1.37,1.28,1.32,4700
3,2012-01-06,1.26,1.37,1.26,1.37,13900
4,2012-01-09,1.28,1.28,1.28,1.28,2000
5,2012-01-10,1.23,1.28,1.23,1.28,12500
6,2012-01-11,1.32,1.32,1.28,1.32,9800
7,2012-01-12,1.32,1.32,1.32,1.32,11500
8,2012-01-13,1.42,1.42,1.37,1.42,4100
9,2012-01-16,1.51,1.51,1.48,1.48,7400
10,2012-01-17,1.51,1.55,1.48,1.55,6100
11,2012-01-18,1.53,1.53,1.51,1.53,3300
12,2012-01-19,1.62,1.62,1.62,1.62,100
13,2012-01-20,1.55,1.71,1.55,1.69,300
14,2012-01-30,1.76,1.76,1.76,1.76,800
15,2012-01-31,1.83,1.83,1.83,1.83,100
16,2012-02-01,1.71,1.71,1.71,1.71,6900
17,2012-02-02,1.6,1.67,1.6,1.64,6600
18,2012-02-03,1.69,1.71,1.58,1.58,4900
19,2012-02-06,1.67,1.67,1.6,1.6,1900
20,2012-02-07,1.58,1.62,1.53,1.6,10600
21,2012-02-08,1.67,1.67,1.64,1.64,7800
22,2012-02-09,1.71,1.76,1.62,1.76,6600
23,2012-02-10,1.62,1.64,1.6,1.6,12000
24,2012-02-13,1.55,1.55,1.53,1.53,3700
25,2012-02-14,1.6,1.62,1.6,1.62,15000
26,2012-02-15,1.6,1.62,1.6,1.62,2500
27,2012-02-16,1.6,1.6,1.6,1.6,100
28,2012-02-17,1.6,1.6,1.6,1.6,8700
29,2012-02-20,1.67,1.67,1.6,1.62,6000
30,2012-02-21,1.67,1.67,1.6,1.6,10900
31,2012-02-22,1.67,1.67,1.67,1.67,300
32,2012-02-23,1.71,1.71,1.69,1.69,3300
33,2012-02-24,1.71,1.74,1.67,1.71,9500
34,2012-02-27,1.74,1.74,1.74,1.74,200
35,2012-02-28,1.69,1.69,1.64,1.64,9300
36,2012-02-29,1.6,1.62,1.58,1.62,10300
37,2012-03-01,1.69,1.69,1.67,1.67,11100
38,2012-03-02,1.8,1.8,1.76,1.8,30000
39,2012-03-05,1.92,1.92,1.92,1.92,4600
40,2012-03-06,2.03,2.03,2.03,2.03,15600
41,2012-03-07,2.17,2.17,2.15,2.17,67400
42,2012-03-08,2.31,2.31,2.31,2.31,51800
43,2012-03-09,2.47,2.47,2.47,2.47,36500
44,2012-03-12,2.63,2.63,2.44,2.44,53300
45,2012-03-13,2.4,2.4,2.35,2.35,28100
46,2012-03-14,2.24,2.24,2.21,2.21,33500
47,2012-03-15,2.19,2.28,2.19,2.28,20300
48,2012-03-16,2.35,2.35,2.26,2.35,10800
49,2012-03-19,2.37,2.44,2.35,2.44,28500
50,2012-03-20,2.58,2.58,2.56,2.58,25200
51,2012-03-21,2.74,2.74,2.74,2.74,17300
52,2012-03-22,2.92,2.92,2.92,2.92,41100
53,2012-03-23,3.11,3.11,3.06,3.11,119800
