,time,open,high,low,close,volume
0,2012-01-03,4.03,4.16,3.98,4.03,433000
1,2012-01-04,4.07,4.07,3.85,3.94,360500
2,2012-01-05,3.89,3.94,3.75,3.8,502100
3,2012-01-06,3.8,3.8,3.62,3.66,884200
4,2012-01-09,3.71,3.75,3.48,3.57,580100
5,2012-01-10,3.62,3.8,3.62,3.71,706400
6,2012-01-11,3.75,3.85,3.66,3.66,508400
7,2012-01-12,3.66,3.8,3.66,3.71,756300
8,2012-01-13,3.71,3.85,3.71,3.8,392700
9,2012-01-16,3.8,3.98,3.8,3.89,564600
10,2012-01-17,3.85,3.85,3.66,3.71,556000
11,2012-01-18,3.75,3.8,3.66,3.8,252300
12,2012-01-19,3.8,3.98,3.8,3.98,706700
13,2012-01-20,4.03,4.03,3.89,3.94,386100
14,2012-01-30,3.94,4.03,3.85,3.94,382600
15,2012-01-31,3.98,4.21,3.98,4.07,782300
16,2012-02-01,3.98,4.16,3.98,4.12,706700
17,2012-02-02,4.12,4.34,4.12,4.34,874700
18,2012-02-03,4.43,4.61,4.25,4.34,1560100
19,2012-02-06,4.34,4.39,4.16,4.3,814300
20,2012-02-07,4.25,4.52,4.25,4.52,1927900
21,2012-02-08,4.61,4.7,4.61,4.7,1734100
22,2012-02-09,4.93,4.93,4.52,4.57,1310000
23,2012-02-10,4.61,4.61,4.34,4.39,1412300
24,2012-02-13,4.43,4.43,4.16,4.16,919700
25,2012-02-14,4.21,4.34,4.12,4.34,816600
26,2012-02-15,4.3,4.3,4.12,4.21,627800
27,2012-02-16,4.25,4.25,4.12,4.25,782900
28,2012-02-17,4.25,4.43,4.25,4.43,857600
29,2012-02-20,4.48,4.66,4.48,4.66,2675900
30,2012-02-21,4.75,4.93,4.61,4.66,2385100
31,2012-02-22,4.61,4.93,4.57,4.89,1412400
32,2012-02-23,4.8,5.11,4.8,5.11,2759000
33,2012-02-24,5.25,5.29,4.98,5.07,2371000
34,2012-02-27,5.02,5.25,4.93,5.2,2028300
35,2012-02-28,5.2,5.25,4.8,4.8,2345200
36,2012-02-29,4.7,4.98,4.66,4.93,1337800
37,2012-03-01,4.89,4.89,4.7,4.84,1448300
38,2012-03-02,4.84,5.11,4.84,5.11,3150500
