,time,open,high,low,close,volume
0,2016-12-16,10.42,10.42,7.44,8.75,6400
1,2016-12-19,9.19,9.54,9.19,9.41,10766
2,2016-12-20,9.19,9.19,7.97,8.14,11000
3,2016-12-21,8.75,8.75,8.1,8.1,9300
4,2016-12-22,8.14,8.19,8.14,8.14,5900
5,2016-12-23,8.14,8.19,8.1,8.1,12000
6,2016-12-26,8.1,8.1,7.88,7.88,12700
7,2016-12-27,7.92,7.92,7.88,7.88,12200
8,2016-12-28,7.79,7.79,7.66,7.79,11600
9,2016-12-29,7.44,7.44,7.13,7.13,8400
10,2016-12-30,7.09,7.22,7.09,7.13,28100
11,2017-01-03,7.22,8.14,7.22,8.14,31800
12,2017-01-04,7.35,8.27,7.35,7.92,700
13,2017-01-05,7.57,7.57,7.53,7.57,4900
14,2017-01-06,7.57,7.57,7.57,7.57,4000
15,2017-01-09,7.57,7.66,7.57,7.66,22700
16,2017-01-10,7.66,7.66,7.57,7.57,3100
17,2017-01-11,7.62,7.7,7.62,7.7,5900
18,2017-01-12,7.92,8.01,7.66,7.66,11700
19,2017-01-13,8.1,8.1,8.1,8.1,10000
20,2017-01-16,7.7,7.7,7.7,7.7,5700
21,2017-01-17,7.79,8.19,7.79,8.05,10500
22,2017-01-18,7.83,7.83,7.0,7.0,20210
23,2017-01-19,7.62,7.7,7.62,7.62,38500
24,2017-01-20,7.66,7.83,7.66,7.66,15300
25,2017-01-23,7.79,7.79,7.48,7.48,9100
26,2017-01-24,7.48,7.48,7.48,7.48,0
27,2017-01-25,8.45,8.45,8.4,8.4,200
28,2017-02-02,8.4,8.4,8.4,8.4,0
29,2017-02-03,8.32,8.4,8.32,8.32,32400
30,2017-02-06,8.32,8.32,7.66,7.7,35800
31,2017-02-07,8.27,8.27,7.48,7.48,10300
32,2017-02-08,7.88,7.88,7.79,7.79,3400
33,2017-02-09,7.88,7.88,7.88,7.88,10630
34,2017-02-10,7.57,7.88,7.57,7.7,2200
35,2017-02-13,7.88,7.88,7.88,7.88,2500
36,2017-02-14,7.88,7.92,7.88,7.92,34100
37,2017-02-15,7.92,8.01,7.92,7.92,28600
38,2017-02-16,7.92,7.92,7.92,7.92,100
39,2017-02-17,7.92,7.92,7.92,7.92,0
40,2017-02-20,7.62,7.79,7.62,7.75,25500
41,2017-02-21,7.53,7.88,7.53,7.75,52840
42,2017-02-22,7.66,7.75,7.62,7.75,17500
43,2017-02-23,7.88,7.88,7.79,7.79,28200
44,2017-02-24,7.79,7.83,7.79,7.79,23600
45,2017-02-27,7.83,7.88,7.83,7.88,27000
46,2017-02-28,7.97,7.97,7.92,7.92,9300
47,2017-03-01,7.92,8.1,7.92,8.01,54100
48,2017-03-02,8.1,8.54,8.1,8.49,54100
49,2017-03-03,8.45,8.49,8.32,8.4,35600
50,2017-03-06,8.45,8.45,8.4,8.4,18300
51,2017-03-07,8.62,8.67,8.45,8.49,13800
52,2017-03-08,8.23,8.97,8.23,8.97,19700
53,2017-03-09,8.54,8.62,8.54,8.54,8500
54,2017-03-10,8.62,8.62,8.54,8.54,11000
55,2017-03-13,8.54,8.54,8.23,8.23,6780
56,2017-03-14,8.45,8.45,8.45,8.45,63100
57,2017-03-15,8.45,8.45,8.4,8.4,14000
58,2017-03-16,8.45,8.45,8.45,8.45,9600
59,2017-03-17,8.45,8.45,8.45,8.45,30300
60,2017-03-20,8.45,8.45,8.45,8.45,25040
61,2017-03-21,7.35,8.97,7.35,8.4,5130
62,2017-03-22,7.7,8.75,7.7,8.32,10400
