,time,open,high,low,close,volume
0,2012-01-03,4.47,4.47,4.47,4.47,0
1,2012-01-04,4.47,4.47,4.47,4.47,0
2,2012-01-05,4.47,4.47,4.47,4.47,0
3,2012-01-06,4.22,4.22,4.22,4.22,5100
4,2012-01-09,3.98,3.98,3.98,3.98,400
5,2012-01-10,4.22,4.22,4.22,4.22,1700
6,2012-01-11,4.14,4.14,3.98,3.98,1100
7,2012-01-12,4.06,4.06,3.82,3.82,2100
8,2012-01-13,4.22,4.22,3.82,4.22,3800
9,2012-01-16,3.82,4.31,3.82,4.31,37900
10,2012-01-17,4.55,4.55,4.55,4.55,2000
11,2012-01-18,4.79,4.79,4.79,4.79,1000
12,2012-01-19,4.47,5.12,4.47,4.71,20000
13,2012-01-20,5.12,5.12,5.12,5.12,100
14,2012-01-30,5.12,5.12,5.04,5.12,16000
15,2012-01-31,5.28,5.28,5.12,5.2,28200
16,2012-02-01,5.12,5.12,4.96,5.04,82600
17,2012-02-02,5.36,5.36,5.12,5.2,7500
18,2012-02-03,5.69,5.69,5.36,5.36,11000
19,2012-02-06,5.36,5.36,5.36,5.36,1000
20,2012-02-07,5.04,5.04,5.04,5.04,5100
21,2012-02-08,4.79,4.88,4.71,4.71,5400
22,2012-02-09,4.55,4.96,4.55,4.96,7600
23,2012-02-10,4.63,4.63,4.55,4.55,1500
24,2012-02-13,4.39,4.55,4.31,4.55,16100
25,2012-02-14,4.22,4.22,4.22,4.22,16100
26,2012-02-15,4.31,4.31,4.31,4.31,5400
27,2012-02-16,4.06,4.55,4.06,4.55,14200
28,2012-02-17,4.47,4.47,4.47,4.47,8200
29,2012-02-20,4.22,4.47,4.22,4.47,1800
30,2012-02-21,4.39,4.55,4.39,4.39,82000
31,2012-02-22,4.31,4.55,4.31,4.39,25800
32,2012-02-23,4.63,4.71,4.63,4.63,13500
33,2012-02-24,4.63,4.79,4.63,4.79,25800
34,2012-02-27,4.55,4.71,4.55,4.71,5900
35,2012-02-28,4.79,4.79,4.47,4.47,10100
36,2012-02-29,4.79,4.79,4.79,4.79,9400
37,2012-03-01,5.12,5.12,5.12,5.12,3700
38,2012-03-02,5.44,5.44,5.44,5.44,22000
39,2012-03-05,5.77,5.77,5.61,5.77,136200
40,2012-03-06,6.09,6.09,5.44,5.44,39200
41,2012-03-07,5.36,5.36,5.28,5.28,32000
42,2012-03-08,5.61,5.61,5.61,5.61,165200
43,2012-03-09,5.93,5.93,5.93,5.93,102800
44,2012-03-12,6.34,6.34,6.18,6.34,348400
45,2012-03-13,6.5,6.66,6.34,6.34,75400
46,2012-03-14,6.42,6.42,6.01,6.01,119000
47,2012-03-15,6.09,6.5,5.93,6.5,87600
48,2012-03-16,6.74,6.74,6.26,6.5,182600
49,2012-03-19,6.42,6.5,6.34,6.42,54400
50,2012-03-20,6.5,6.58,6.42,6.42,89400
51,2012-03-21,6.66,6.66,6.34,6.5,76900
52,2012-03-22,6.5,6.5,6.26,6.42,90300
53,2012-03-23,6.42,6.74,6.34,6.66,243300
54,2012-03-26,6.66,6.99,6.58,6.91,198700
55,2012-03-27,6.91,6.91,6.58,6.58,48100
56,2012-03-28,6.42,6.66,6.42,6.5,123600
57,2012-03-29,6.6,6.8,6.1,6.4,118100
58,2012-03-30,6.0,6.1,5.8,6.0,49200
59,2012-04-03,5.8,6.1,5.5,6.1,51900
60,2012-04-04,5.8,5.8,5.6,5.6,47400
61,2012-04-05,5.6,5.6,5.4,5.6,29600
62,2012-04-06,5.5,5.6,5.3,5.3,100500
63,2012-04-09,5.4,5.6,5.4,5.6,120400
