,time,open,high,low,close,volume
0,2012-01-03,3.28,3.76,3.28,3.28,1100
1,2012-01-04,3.41,3.41,3.2,3.2,1000
2,2012-01-05,3.2,3.2,3.2,3.2,0
3,2012-01-06,3.2,3.2,3.2,3.2,0
4,2012-01-09,3.44,3.44,3.44,3.44,100
5,2012-01-10,3.68,3.68,3.68,3.68,100
6,2012-01-11,3.93,3.93,3.93,3.93,200
7,2012-01-12,3.66,4.14,3.66,4.14,1000
8,2012-01-13,3.96,3.96,3.96,3.96,100
9,2012-01-16,4.23,4.23,4.23,4.23,200
10,2012-01-17,4.3,4.52,4.3,4.52,1500
11,2012-01-18,4.54,4.68,4.54,4.68,6000
12,2012-01-19,4.31,4.31,4.31,4.31,100
13,2012-01-20,4.03,4.03,4.03,4.03,200
14,2012-01-30,4.03,4.03,4.03,4.03,0
15,2012-01-31,4.3,4.3,4.3,4.3,100
16,2012-02-01,4.3,4.3,4.3,4.3,0
17,2012-02-02,4.58,4.58,4.58,4.58,100
18,2012-02-03,4.9,4.9,4.9,4.9,100
19,2012-02-06,5.09,5.17,4.57,5.09,20200
20,2012-02-07,4.93,4.93,4.93,4.93,5000
21,2012-02-08,4.63,5.27,4.63,5.27,5700
22,2012-02-09,4.46,4.46,4.46,4.46,100
23,2012-02-10,4.76,4.76,4.15,4.15,400
24,2012-02-13,4.15,4.15,4.15,4.15,100
25,2012-02-14,4.15,4.15,4.15,4.15,0
26,2012-02-15,3.87,3.87,3.87,3.87,100
27,2012-02-16,3.87,3.87,3.87,3.87,0
28,2012-02-17,3.87,3.87,3.87,3.87,0
29,2012-02-20,4.14,4.14,4.14,4.14,100
30,2012-02-21,4.42,4.42,4.42,4.42,1000
31,2012-02-22,4.58,4.58,4.58,4.58,500
32,2012-02-23,4.9,4.9,4.9,4.9,100
33,2012-02-24,4.87,5.24,4.87,5.24,1500
34,2012-02-27,5.33,5.33,5.33,5.33,1000
35,2012-02-28,5.22,5.22,5.17,5.17,2100
