,time,open,high,low,close,volume
0,2012-01-03,5.98,5.98,5.89,5.89,1700
1,2012-01-04,6.08,6.08,5.79,5.89,21100
2,2012-01-05,6.17,6.36,5.98,5.98,23000
3,2012-01-06,5.98,5.98,5.79,5.79,11700
4,2012-01-09,5.7,5.79,5.41,5.7,18300
5,2012-01-10,5.7,5.98,5.7,5.98,3800
6,2012-01-11,6.08,6.08,5.79,5.79,3700
7,2012-01-12,5.7,5.7,5.7,5.7,3000
8,2012-01-13,5.89,5.89,5.7,5.7,5100
9,2012-01-16,5.89,5.89,5.7,5.89,3400
10,2012-01-17,5.79,5.89,5.7,5.7,11800
11,2012-01-18,5.7,5.79,5.7,5.79,10300
12,2012-01-19,5.98,6.08,5.98,6.08,15400
13,2012-01-20,6.27,6.36,5.98,5.98,46000
14,2012-01-30,6.36,6.46,6.36,6.36,9100
15,2012-01-31,6.55,6.65,6.46,6.46,27100
16,2012-02-01,6.36,6.65,6.36,6.65,19300
17,2012-02-02,6.55,6.93,6.55,6.93,97600
18,2012-02-03,7.12,7.12,6.46,6.65,38800
19,2012-02-06,6.84,6.84,6.36,6.36,37900
20,2012-02-07,6.55,6.74,6.36,6.65,17600
21,2012-02-08,6.65,6.84,6.65,6.84,61500
22,2012-02-09,6.84,6.84,6.46,6.46,64000
23,2012-02-10,6.65,6.65,6.27,6.36,88300
24,2012-02-13,6.46,6.46,6.36,6.46,20400
25,2012-02-14,6.55,6.65,6.55,6.65,17100
26,2012-02-15,6.55,6.55,6.36,6.46,10800
27,2012-02-16,6.36,6.84,6.36,6.84,105500
28,2012-02-17,7.12,7.12,7.12,7.12,26300
29,2012-02-20,7.6,7.6,7.6,7.6,19200
30,2012-02-21,8.07,8.07,7.5,7.6,224100
31,2012-02-22,7.5,8.07,7.5,7.98,119200
32,2012-02-23,7.98,8.26,7.69,8.17,103500
33,2012-02-24,7.98,8.17,7.79,8.07,68500
34,2012-02-27,7.69,8.55,7.69,8.55,114600
35,2012-02-28,8.74,8.74,8.07,8.17,184900
36,2012-02-29,8.26,8.55,8.17,8.45,96900
37,2012-03-01,8.36,8.36,7.98,8.17,75800
38,2012-03-02,8.17,8.55,8.17,8.55,282800
39,2012-03-05,8.93,9.02,8.93,9.02,321400
40,2012-03-06,9.59,9.59,9.4,9.59,551800
41,2012-03-07,10.25,10.25,9.97,10.25,459800
42,2012-03-08,10.92,10.92,10.25,10.63,644900
43,2012-03-09,10.35,10.73,10.06,10.16,311500
44,2012-03-12,9.68,10.25,9.59,9.59,280500
45,2012-03-13,9.68,10.25,9.4,9.97,130100
46,2012-03-14,9.97,9.97,9.4,9.49,241200
47,2012-03-15,9.49,10.06,9.4,10.06,211600
48,2012-03-16,10.25,10.25,9.87,9.87,148800
49,2012-03-19,9.78,9.97,9.49,9.68,143000
50,2012-03-20,9.68,10.35,9.68,10.35,390000
