,time,open,high,low,close,volume
0,2012-01-03,1.56,1.6,1.56,1.6,289700
1,2012-01-04,1.64,1.64,1.56,1.56,149800
2,2012-01-05,1.6,1.6,1.52,1.52,156300
3,2012-01-06,1.52,1.52,1.48,1.48,177300
4,2012-01-09,1.52,1.56,1.48,1.56,148600
5,2012-01-10,1.56,1.6,1.56,1.6,237400
6,2012-01-11,1.64,1.68,1.6,1.6,159500
7,2012-01-12,1.56,1.6,1.56,1.56,58400
8,2012-01-13,1.52,1.6,1.52,1.56,227500
9,2012-01-16,1.56,1.64,1.56,1.64,408000
10,2012-01-17,1.68,1.68,1.56,1.6,177700
11,2012-01-18,1.64,1.64,1.56,1.6,60500
12,2012-01-19,1.64,1.68,1.6,1.68,279900
13,2012-01-20,1.68,1.72,1.64,1.64,128100
14,2012-01-30,1.68,1.76,1.68,1.72,159200
15,2012-01-31,1.72,1.84,1.72,1.76,407400
16,2012-02-01,1.72,1.76,1.68,1.72,236000
17,2012-02-02,1.76,1.84,1.76,1.84,307400
18,2012-02-03,1.91,1.95,1.8,1.87,781600
19,2012-02-06,1.91,1.91,1.8,1.84,178000
20,2012-02-07,1.8,1.87,1.76,1.8,363100
21,2012-02-08,1.8,1.87,1.8,1.87,269300
22,2012-02-09,1.87,1.87,1.72,1.76,450400
23,2012-02-10,1.76,1.76,1.64,1.64,375500
24,2012-02-13,1.64,1.64,1.56,1.6,274100
25,2012-02-14,1.6,1.68,1.6,1.68,337900
26,2012-02-15,1.68,1.68,1.6,1.64,252700
27,2012-02-16,1.6,1.68,1.6,1.64,125000
28,2012-02-17,1.64,1.72,1.64,1.68,271100
29,2012-02-20,1.72,1.8,1.72,1.8,648600
30,2012-02-21,1.87,1.91,1.72,1.76,711000
31,2012-02-22,1.76,1.84,1.72,1.84,563500
32,2012-02-23,1.87,1.91,1.8,1.91,925200
33,2012-02-24,1.95,1.99,1.91,1.99,1131400
34,2012-02-27,1.99,2.11,1.91,2.11,1020800
35,2012-02-28,2.11,2.15,1.95,1.95,846500
36,2012-02-29,1.95,2.03,1.95,1.99,846000
37,2012-03-01,1.95,1.99,1.91,1.95,714800
38,2012-03-02,1.99,2.07,1.95,2.07,921500
39,2012-03-05,2.11,2.15,2.11,2.15,117000
40,2012-03-06,2.26,2.26,2.07,2.11,1312800
41,2012-03-07,2.15,2.15,2.07,2.11,751800
42,2012-03-08,2.03,2.11,1.95,1.95,946800
43,2012-03-09,1.95,2.11,1.95,2.07,643200
44,2012-03-12,2.03,2.07,1.91,1.95,472000
45,2012-03-13,1.99,2.03,1.95,2.03,420400
46,2012-03-14,2.03,2.03,1.91,1.95,295000
47,2012-03-15,1.95,2.11,1.87,2.11,835000
48,2012-03-16,2.11,2.15,2.03,2.07,934500
49,2012-03-19,2.07,2.11,2.03,2.03,396800
50,2012-03-20,2.07,2.15,2.07,2.11,842900
51,2012-03-21,2.15,2.23,2.11,2.23,994800
52,2012-03-22,2.34,2.34,2.23,2.34,2281200
53,2012-03-23,2.38,2.46,2.38,2.46,665800
54,2012-03-26,2.62,2.62,2.5,2.62,2103400
55,2012-03-27,2.77,2.77,2.46,2.46,1537400
56,2012-03-28,2.34,2.46,2.3,2.42,1828100
57,2012-03-29,2.46,2.58,2.3,2.3,1288400
58,2012-03-30,2.26,2.3,2.15,2.19,949200
59,2012-04-03,2.19,2.3,2.15,2.3,638400
60,2012-04-04,2.42,2.42,2.23,2.23,513200
61,2012-04-05,2.23,2.34,2.19,2.34,818300
62,2012-04-06,2.42,2.5,2.34,2.34,875800
63,2012-04-09,2.34,2.5,2.34,2.5,1025700
64,2012-04-10,2.5,2.58,2.42,2.42,459800
65,2012-04-11,2.5,2.58,2.46,2.58,1346200
66,2012-04-12,2.62,2.73,2.62,2.66,1308600
67,2012-04-13,2.69,2.69,2.54,2.54,1473500
68,2012-04-16,2.62,2.69,2.5,2.69,1295600
69,2012-04-17,2.81,2.85,2.73,2.77,2490200
70,2012-04-18,2.81,2.89,2.73,2.81,1109800
71,2012-04-19,2.77,2.77,2.62,2.62,1120700
72,2012-04-20,2.62,2.69,2.58,2.66,838100
73,2012-04-23,2.66,2.69,2.58,2.62,705500
74,2012-04-24,2.58,2.73,2.5,2.69,859700
75,2012-04-25,2.77,2.81,2.73,2.73,1096300
76,2012-04-26,2.69,2.73,2.62,2.66,792800
77,2012-04-27,2.62,2.73,2.62,2.69,581100
78,2012-05-02,2.73,2.85,2.66,2.77,1783200
79,2012-05-03,2.73,2.85,2.69,2.85,1365300
80,2012-05-04,2.85,3.01,2.85,3.01,1331100
81,2012-05-07,3.2,3.2,3.12,3.2,323500
82,2012-05-08,3.4,3.4,3.05,3.05,2253100
83,2012-05-09,3.05,3.28,3.05,3.28,2071500
84,2012-05-10,3.4,3.44,3.2,3.28,1673300
85,2012-05-11,3.28,3.32,3.08,3.12,1257600
86,2012-05-14,3.12,3.12,2.93,2.93,1100100
87,2012-05-15,2.93,2.97,2.73,2.73,1412100
88,2012-05-16,2.77,2.85,2.62,2.85,876300
89,2012-05-17,2.89,2.93,2.73,2.73,644000
90,2012-05-18,2.69,2.77,2.62,2.66,875700
91,2012-05-21,2.73,2.81,2.73,2.81,575600
92,2012-05-22,2.97,2.97,2.77,2.85,736900
93,2012-05-23,2.77,2.85,2.66,2.69,488800
94,2012-05-24,2.73,2.73,2.54,2.73,761500
95,2012-05-25,2.81,2.85,2.81,2.85,568000
96,2012-05-28,2.89,3.01,2.77,2.85,712100
97,2012-05-29,2.85,2.85,2.73,2.77,469800
98,2012-05-30,2.73,2.81,2.73,2.77,317300
99,2012-05-31,2.73,2.73,2.62,2.66,387400
100,2012-06-01,2.73,2.73,2.58,2.66,484600
101,2012-06-04,2.58,2.62,2.5,2.54,352000
102,2012-06-05,2.54,2.69,2.5,2.66,369200
103,2012-06-06,2.69,2.73,2.62,2.66,472200
104,2012-06-07,2.69,2.81,2.69,2.81,840900
105,2012-06-08,2.97,2.97,2.73,2.73,676200
106,2012-06-11,2.77,2.85,2.69,2.81,339600
107,2012-06-12,2.73,2.77,2.66,2.66,626200
108,2012-06-13,2.69,2.69,2.62,2.66,319100
109,2012-06-14,2.62,2.69,2.62,2.69,486500
110,2012-06-15,2.69,2.73,2.66,2.73,352600
111,2012-06-18,2.73,2.81,2.69,2.73,377100
112,2012-06-19,2.69,2.69,2.62,2.69,266900
113,2012-06-20,2.62,2.69,2.62,2.69,324200
114,2012-06-21,2.69,2.69,2.62,2.66,121700
115,2012-06-22,2.62,2.66,2.58,2.58,579500
116,2012-06-25,2.58,2.62,2.42,2.46,525100
117,2012-06-26,2.46,2.46,2.3,2.34,737800
118,2012-06-27,2.26,2.38,2.23,2.23,244800
119,2012-06-28,2.23,2.34,2.19,2.34,231900
120,2012-06-29,2.3,2.34,2.26,2.3,358200
121,2012-07-02,2.34,2.34,2.19,2.19,178600
122,2012-07-03,2.19,2.23,2.11,2.19,483500
123,2012-07-04,2.11,2.19,2.03,2.03,362600
124,2012-07-05,1.99,2.19,1.99,2.19,638400
125,2012-07-06,2.26,2.3,2.19,2.23,355900
126,2012-07-09,2.19,2.19,2.11,2.11,463700
127,2012-07-10,2.11,2.15,2.07,2.11,203700
128,2012-07-11,2.11,2.15,2.11,2.11,317500
129,2012-07-12,2.11,2.23,2.11,2.23,372700
130,2012-07-13,2.19,2.3,2.19,2.3,1193400
131,2012-07-16,2.3,2.34,2.19,2.23,310500
132,2012-07-17,2.19,2.34,2.19,2.34,501600
133,2012-07-18,2.34,2.38,2.23,2.3,282200
134,2012-07-19,2.3,2.46,2.23,2.46,630300
135,2012-07-20,2.46,2.54,2.38,2.38,497300
136,2012-07-23,2.38,2.38,2.26,2.3,398700
137,2012-07-24,2.26,2.26,2.15,2.19,494900
138,2012-07-25,2.19,2.23,2.15,2.19,286600
139,2012-07-26,2.23,2.26,2.19,2.23,179000
140,2012-07-27,2.26,2.26,2.15,2.19,214400
141,2012-07-30,2.19,2.23,2.15,2.19,94600
142,2012-07-31,2.19,2.19,2.15,2.15,87500
143,2012-08-01,2.15,2.15,2.07,2.11,165900
144,2012-08-02,2.15,2.15,2.11,2.15,88200
145,2012-08-03,2.11,2.19,2.11,2.19,127900
146,2012-08-06,2.19,2.3,2.19,2.3,425600
147,2012-08-07,2.3,2.3,2.19,2.23,248000
148,2012-08-08,2.23,2.3,2.19,2.26,118900
149,2012-08-09,2.26,2.3,2.23,2.23,171700
150,2012-08-10,2.23,2.23,2.15,2.19,375000
151,2012-08-13,2.19,2.19,2.11,2.19,134900
152,2012-08-14,2.19,2.23,2.19,2.19,153700
153,2012-08-15,2.19,2.19,2.15,2.19,74900
154,2012-08-16,2.15,2.23,2.15,2.19,176000
155,2012-08-17,2.19,2.23,2.15,2.23,146100
156,2012-08-20,2.19,2.23,2.19,2.23,157400
157,2012-08-21,2.19,2.19,2.11,2.11,272300
158,2012-08-22,1.99,2.07,1.99,1.99,558100
159,2012-08-23,1.91,1.91,1.87,1.87,201200
160,2012-08-24,1.8,1.99,1.76,1.91,804400
161,2012-08-27,1.84,1.84,1.8,1.8,209000
162,2012-08-28,1.8,1.84,1.68,1.8,222300
163,2012-08-29,1.84,1.91,1.8,1.87,285200
164,2012-08-30,1.91,1.91,1.84,1.87,254300
165,2012-08-31,1.84,1.87,1.8,1.87,93600
166,2012-09-04,1.87,1.87,1.8,1.87,78900
