,time,open,high,low,close,volume
0,2012-01-03,1.9,1.9,1.7,1.8,22300
1,2012-01-04,1.8,1.8,1.7,1.7,5900
2,2012-01-05,1.7,1.8,1.7,1.7,64800
3,2012-01-06,1.6,1.7,1.6,1.6,15000
4,2012-01-09,1.6,1.6,1.5,1.5,100200
5,2012-01-10,1.5,1.6,1.5,1.6,145800
6,2012-01-11,1.7,1.7,1.7,1.7,48300
7,2012-01-12,1.7,1.7,1.6,1.6,69600
8,2012-01-13,1.6,1.7,1.6,1.6,65900
9,2012-01-16,1.7,1.7,1.7,1.7,73700
10,2012-01-17,1.6,1.8,1.6,1.8,27000
11,2012-01-18,1.9,1.9,1.8,1.8,11800
12,2012-01-19,1.8,1.9,1.8,1.9,110300
13,2012-01-20,2.0,2.0,1.8,1.8,98300
14,2012-01-30,1.9,2.0,1.8,1.9,55100
15,2012-01-31,2.0,2.0,2.0,2.0,143400
16,2012-02-01,2.0,2.0,1.9,1.9,42800
17,2012-02-02,2.0,2.0,2.0,2.0,73100
18,2012-02-03,2.0,2.1,1.9,1.9,147900
19,2012-02-06,2.0,2.1,1.9,1.9,63300
20,2012-02-07,1.8,1.9,1.8,1.9,107100
21,2012-02-08,1.9,1.9,1.8,1.9,54100
22,2012-02-09,1.9,2.0,1.9,2.0,59000
23,2012-02-10,1.9,1.9,1.9,1.9,20700
24,2012-02-13,1.9,1.9,1.8,1.8,137700
25,2012-02-14,1.7,1.9,1.7,1.8,52500
26,2012-02-15,1.7,1.7,1.7,1.7,49400
27,2012-02-16,1.6,1.8,1.6,1.8,178400
28,2012-02-17,1.8,1.9,1.8,1.8,120000
29,2012-02-20,1.9,2.0,1.9,2.0,37000
30,2012-02-21,2.0,2.0,1.9,1.9,85700
31,2012-02-22,2.0,2.1,1.9,2.0,127600
32,2012-02-23,2.1,2.1,2.1,2.1,129300
33,2012-02-24,2.2,2.2,2.2,2.2,52000
34,2012-02-27,2.3,2.3,2.3,2.3,274900
35,2012-02-28,2.4,2.4,2.3,2.3,550800
36,2012-02-29,2.4,2.5,2.3,2.5,269700
37,2012-03-01,2.5,2.5,2.5,2.5,214000
38,2012-03-02,2.6,2.6,2.6,2.6,55800
39,2012-03-05,2.7,2.7,2.7,2.7,300
40,2012-03-06,2.8,2.8,2.8,2.8,589200
