,time,open,high,low,close,volume
0,2012-01-03,1.19,1.22,1.19,1.19,27660
1,2012-01-04,1.17,1.19,1.17,1.19,32070
2,2012-01-05,1.22,1.22,1.14,1.14,17830
3,2012-01-06,1.14,1.17,1.11,1.17,55290
4,2012-01-09,1.17,1.17,1.14,1.17,49100
5,2012-01-10,1.19,1.19,1.17,1.17,44860
6,2012-01-11,1.17,1.19,1.17,1.17,97150
7,2012-01-12,1.17,1.17,1.14,1.14,36380
8,2012-01-13,1.14,1.19,1.14,1.19,15910
9,2012-01-16,1.19,1.22,1.19,1.22,53080
10,2012-01-17,1.19,1.22,1.17,1.19,64310
11,2012-01-18,1.19,1.22,1.19,1.22,74560
12,2012-01-19,1.25,1.28,1.25,1.28,145590
13,2012-01-20,1.28,1.31,1.25,1.25,61760
14,2012-01-30,1.25,1.31,1.25,1.31,139400
15,2012-01-31,1.34,1.36,1.31,1.36,328240
16,2012-02-01,1.31,1.36,1.31,1.34,172380
17,2012-02-02,1.36,1.39,1.34,1.39,124410
18,2012-02-03,1.42,1.45,1.36,1.39,265400
19,2012-02-06,1.39,1.42,1.34,1.39,157290
20,2012-02-07,1.42,1.42,1.39,1.39,67050
21,2012-02-08,1.42,1.42,1.39,1.42,128760
22,2012-02-09,1.45,1.45,1.39,1.42,134470
23,2012-02-10,1.42,1.42,1.36,1.36,187390
24,2012-02-13,1.31,1.34,1.31,1.31,104080
25,2012-02-14,1.28,1.34,1.28,1.31,139740
26,2012-02-15,1.31,1.31,1.28,1.31,47570
27,2012-02-16,1.31,1.34,1.25,1.28,104000
28,2012-02-17,1.28,1.34,1.25,1.34,96090
29,2012-02-20,1.34,1.39,1.34,1.39,127240
30,2012-02-21,1.39,1.39,1.36,1.36,176750
31,2012-02-22,1.34,1.39,1.31,1.39,154100
32,2012-02-23,1.39,1.45,1.36,1.45,612080
33,2012-02-24,1.45,1.51,1.42,1.45,331130
34,2012-02-27,1.45,1.51,1.42,1.51,341950
35,2012-02-28,1.56,1.56,1.51,1.51,516980
36,2012-02-29,1.51,1.56,1.51,1.56,366570
37,2012-03-01,1.59,1.62,1.54,1.56,196590
38,2012-03-02,1.59,1.62,1.56,1.62,292640
39,2012-03-05,1.68,1.68,1.65,1.68,187340
40,2012-03-06,1.73,1.73,1.62,1.62,809420
41,2012-03-07,1.65,1.65,1.56,1.65,549550
42,2012-03-08,1.62,1.62,1.59,1.59,491270
43,2012-03-09,1.59,1.62,1.54,1.62,342370
44,2012-03-12,1.59,1.59,1.56,1.56,219130
45,2012-03-13,1.59,1.59,1.54,1.56,188930
46,2012-03-14,1.59,1.59,1.51,1.51,293180
47,2012-03-15,1.48,1.56,1.45,1.56,424410
48,2012-03-16,1.59,1.62,1.56,1.56,287360
49,2012-03-19,1.54,1.56,1.51,1.54,95040
50,2012-03-20,1.54,1.56,1.51,1.56,207100
51,2012-03-21,1.56,1.62,1.56,1.59,375740
52,2012-03-22,1.54,1.59,1.54,1.56,228750
53,2012-03-23,1.59,1.62,1.56,1.62,564070
54,2012-03-26,1.68,1.68,1.62,1.68,624520
55,2012-03-27,1.68,1.73,1.65,1.65,878470
56,2012-03-28,1.65,1.71,1.62,1.71,828740
57,2012-03-29,1.73,1.73,1.62,1.62,528990
58,2012-03-30,1.59,1.62,1.56,1.56,211250
59,2012-04-03,1.56,1.62,1.54,1.62,137950
60,2012-04-04,1.59,1.62,1.56,1.56,391920
61,2012-04-05,1.56,1.62,1.54,1.62,209550
62,2012-04-06,1.65,1.65,1.56,1.59,310070
63,2012-04-09,1.62,1.65,1.59,1.62,238690
64,2012-04-10,1.65,1.68,1.62,1.65,1250300
65,2012-04-11,1.71,1.71,1.65,1.71,353630
66,2012-04-12,1.71,1.73,1.65,1.65,736010
67,2012-04-13,1.65,1.68,1.62,1.62,221450
68,2012-04-16,1.62,1.68,1.62,1.68,541560
69,2012-04-17,1.71,1.73,1.71,1.73,928670
70,2012-04-18,1.82,1.82,1.82,1.82,183850
71,2012-04-19,1.9,1.9,1.9,1.9,169010
72,2012-04-20,1.99,1.99,1.96,1.99,2978190
73,2012-04-23,2.02,2.08,1.93,1.93,1212880
74,2012-04-24,1.96,2.02,1.93,2.02,776110
75,2012-04-25,2.1,2.1,2.08,2.1,825860
76,2012-04-26,2.19,2.19,2.19,2.19,773450
77,2012-04-27,2.27,2.27,2.27,2.27,159440
78,2012-05-02,2.39,2.39,2.33,2.36,1235200
79,2012-05-03,2.3,2.47,2.3,2.44,1900760
80,2012-05-04,2.5,2.56,2.44,2.56,1213560
81,2012-05-07,2.64,2.67,2.62,2.67,609070
82,2012-05-08,2.76,2.76,2.56,2.56,1343440
83,2012-05-09,2.5,2.59,2.44,2.56,1201020
84,2012-05-10,2.67,2.67,2.56,2.67,1794880
85,2012-05-11,2.76,2.79,2.64,2.7,648720
86,2012-05-14,2.64,2.64,2.58,2.58,646870
87,2012-05-15,2.49,2.52,2.46,2.46,681830
88,2012-05-16,2.4,2.46,2.34,2.34,942460
89,2012-05-17,2.37,2.4,2.25,2.25,523690
90,2012-05-18,2.19,2.22,2.16,2.16,627170
91,2012-05-21,2.13,2.25,2.13,2.25,304940
92,2012-05-22,2.34,2.34,2.28,2.34,429570
93,2012-05-23,2.31,2.34,2.25,2.25,496690
94,2012-05-24,2.25,2.25,2.16,2.16,594800
95,2012-05-25,2.22,2.25,2.22,2.25,215000
96,2012-05-28,2.34,2.34,2.28,2.34,709370
97,2012-05-29,2.28,2.34,2.25,2.31,235170
98,2012-05-30,2.28,2.34,2.25,2.25,135190
99,2012-05-31,2.22,2.25,2.16,2.19,345120
100,2012-06-01,2.22,2.22,2.16,2.16,236580
101,2012-06-04,2.16,2.16,2.07,2.07,508430
102,2012-06-05,2.1,2.16,2.01,2.16,240530
103,2012-06-06,2.1,2.25,2.1,2.22,196470
104,2012-06-07,2.31,2.31,2.16,2.31,497250
105,2012-06-08,2.37,2.4,2.25,2.25,425050
106,2012-06-11,2.25,2.34,2.25,2.28,178610
107,2012-06-12,2.19,2.25,2.19,2.19,244100
108,2012-06-13,2.22,2.22,2.16,2.19,187440
109,2012-06-14,2.22,2.22,2.16,2.19,175090
110,2012-06-15,2.16,2.28,2.16,2.25,151250
111,2012-06-18,2.31,2.31,2.22,2.22,157470
112,2012-06-19,2.22,2.22,2.16,2.19,230360
113,2012-06-20,2.22,2.22,2.16,2.22,56850
114,2012-06-21,2.19,2.22,2.16,2.19,70100
115,2012-06-22,2.16,2.19,2.13,2.13,163020
116,2012-06-25,2.1,2.16,2.04,2.04,304830
117,2012-06-26,2.01,2.01,1.95,1.95,435910
118,2012-06-27,1.98,2.01,1.95,1.95,227850
119,2012-06-28,1.92,1.98,1.92,1.95,114230
120,2012-06-29,1.95,2.01,1.92,1.95,54660
121,2012-07-02,1.98,1.98,1.89,1.92,115740
122,2012-07-03,1.95,1.95,1.83,1.86,239430
123,2012-07-04,1.86,1.89,1.8,1.86,146480
124,2012-07-05,1.83,1.86,1.77,1.83,255500
125,2012-07-06,1.86,1.92,1.83,1.86,202380
126,2012-07-09,1.86,1.86,1.77,1.77,137280
127,2012-07-10,1.83,1.83,1.83,1.83,11360
128,2012-07-11,1.92,1.92,1.92,1.92,13920
129,2012-07-12,2.01,2.01,2.01,2.01,383380
130,2012-07-13,2.1,2.1,2.1,2.1,682990
131,2012-07-16,2.13,2.13,2.01,2.01,470300
132,2012-07-17,2.01,2.1,2.01,2.1,337140
133,2012-07-18,2.1,2.19,2.07,2.13,287840
134,2012-07-19,2.1,2.19,2.07,2.19,645580
135,2012-07-20,2.19,2.25,2.13,2.13,610070
136,2012-07-23,2.1,2.13,2.07,2.1,246200
137,2012-07-24,2.07,2.07,2.01,2.01,421480
138,2012-07-25,2.01,2.04,1.95,1.98,261640
139,2012-07-26,2.04,2.04,1.95,2.01,230020
140,2012-07-27,2.01,2.04,1.95,1.98,184170
141,2012-07-30,1.95,2.01,1.92,1.92,95550
142,2012-07-31,1.95,2.01,1.92,1.95,106370
143,2012-08-01,1.95,1.95,1.89,1.95,50040
144,2012-08-02,1.95,1.98,1.92,1.95,72730
145,2012-08-03,1.92,1.95,1.92,1.95,83040
146,2012-08-06,1.95,2.04,1.95,2.04,256150
147,2012-08-07,2.04,2.07,1.98,2.04,108560
148,2012-08-08,2.04,2.07,2.01,2.04,71930
149,2012-08-09,2.07,2.13,2.04,2.13,432830
150,2012-08-10,2.19,2.22,2.13,2.16,896120
151,2012-08-13,2.16,2.16,2.07,2.07,177440
152,2012-08-14,2.1,2.13,2.07,2.13,132280
153,2012-08-15,2.16,2.19,2.13,2.16,392300
154,2012-08-16,2.16,2.16,2.1,2.1,182490
155,2012-08-17,2.1,2.16,2.1,2.13,268740
156,2012-08-20,2.19,2.22,2.16,2.22,623150
157,2012-08-21,2.31,2.31,2.13,2.13,2194940
158,2012-08-22,2.13,2.22,2.1,2.22,1056330
159,2012-08-23,2.16,2.22,2.13,2.13,210180
160,2012-08-24,2.07,2.22,2.04,2.19,681480
161,2012-08-27,2.13,2.13,2.1,2.1,216600
162,2012-08-28,2.01,2.07,2.01,2.01,788300
163,2012-08-29,2.01,2.07,2.01,2.07,290620
164,2012-08-30,2.07,2.07,2.01,2.01,366420
165,2012-08-31,2.04,2.04,1.98,2.04,128410
166,2012-09-04,2.04,2.1,2.04,2.1,198940
167,2012-09-05,2.07,2.07,2.01,2.01,573310
168,2012-09-06,2.04,2.07,1.98,2.01,194280
169,2012-09-07,2.01,2.01,1.98,2.01,117480
170,2012-09-10,2.01,2.01,1.92,1.92,433720
171,2012-09-11,1.86,1.89,1.83,1.83,502620
172,2012-09-12,1.83,1.86,1.77,1.8,183790
173,2012-09-13,1.77,1.86,1.74,1.86,265930
174,2012-09-14,1.92,1.95,1.89,1.95,601320
175,2012-09-17,1.95,1.95,1.86,1.89,269110
176,2012-09-18,1.86,1.89,1.8,1.8,419250
177,2012-09-19,1.77,1.86,1.77,1.86,240770
178,2012-09-20,1.8,1.83,1.77,1.8,195300
179,2012-09-21,1.83,1.83,1.8,1.83,133520
180,2012-09-24,1.83,1.83,1.74,1.74,229240
181,2012-09-25,1.74,1.8,1.74,1.74,132570
182,2012-09-26,1.77,1.8,1.77,1.8,169800
183,2012-09-27,1.83,1.83,1.77,1.77,179000
184,2012-09-28,1.74,1.77,1.74,1.77,135560
185,2012-10-01,1.74,1.8,1.74,1.74,131980
186,2012-10-02,1.77,1.77,1.71,1.77,171320
187,2012-10-03,1.77,1.83,1.77,1.8,122620
188,2012-10-04,1.77,1.8,1.74,1.74,42080
189,2012-10-05,1.77,1.8,1.74,1.77,65080
190,2012-10-08,1.8,1.83,1.77,1.83,150770
191,2012-10-09,1.8,1.89,1.8,1.83,136540
192,2012-10-10,1.8,1.92,1.8,1.89,272500
193,2012-10-11,1.92,1.98,1.92,1.92,518350
194,2012-10-12,1.92,1.92,1.86,1.89,220440
195,2012-10-15,1.89,1.89,1.83,1.83,153830
196,2012-10-16,1.86,1.92,1.86,1.92,246360
197,2012-10-17,1.95,1.95,1.86,1.89,215600
198,2012-10-18,1.89,1.92,1.86,1.92,121980
199,2012-10-19,1.89,1.92,1.83,1.86,718640
200,2012-10-22,1.8,1.83,1.77,1.83,327970
201,2012-10-23,1.86,1.89,1.83,1.86,201720
202,2012-10-24,1.86,1.86,1.8,1.83,82840
203,2012-10-25,1.8,1.83,1.77,1.83,104440
204,2012-10-26,1.8,1.83,1.8,1.83,72150
205,2012-10-29,1.8,1.86,1.8,1.86,36850
206,2012-10-30,1.83,1.83,1.8,1.8,169830
207,2012-10-31,1.8,1.8,1.77,1.8,58200
208,2012-11-01,1.8,1.8,1.74,1.77,145610
209,2012-11-02,1.71,1.77,1.71,1.71,722050
210,2012-11-05,1.68,1.74,1.65,1.68,320040
211,2012-11-06,1.71,1.71,1.68,1.71,134680
212,2012-11-07,1.71,1.74,1.68,1.74,188620
213,2012-11-08,1.71,1.74,1.68,1.71,128150
214,2012-11-09,1.71,1.74,1.68,1.71,89820
215,2012-11-12,1.74,1.77,1.71,1.77,313200
216,2012-11-13,1.77,1.83,1.77,1.8,251850
217,2012-11-14,1.77,1.8,1.77,1.77,171320
218,2012-11-15,1.77,1.77,1.71,1.71,396030
219,2012-11-16,1.71,1.77,1.68,1.74,149240
220,2012-11-19,1.74,1.74,1.71,1.74,54810
221,2012-11-20,1.74,1.74,1.71,1.74,54540
222,2012-11-21,1.74,1.8,1.74,1.8,286790
223,2012-11-22,1.8,1.8,1.74,1.77,87020
224,2012-11-23,1.8,1.8,1.74,1.77,159450
225,2012-11-26,1.74,1.74,1.71,1.74,103520
226,2012-11-27,1.71,1.74,1.71,1.71,98970
227,2012-11-28,1.71,1.74,1.71,1.74,68370
228,2012-11-29,1.74,1.74,1.71,1.71,175670
229,2012-11-30,1.74,1.74,1.71,1.71,56720
230,2012-12-03,1.71,1.71,1.68,1.71,53080
231,2012-12-04,1.74,1.77,1.71,1.77,78440
232,2012-12-05,1.77,1.83,1.74,1.77,424500
233,2012-12-06,1.77,1.77,1.77,1.77,122070
234,2012-12-07,1.77,1.8,1.74,1.74,204230
235,2012-12-10,1.77,1.8,1.77,1.8,345560
236,2012-12-11,1.83,1.86,1.77,1.77,235530
237,2012-12-12,1.77,1.83,1.77,1.83,395670
238,2012-12-13,1.83,1.83,1.77,1.77,328430
239,2012-12-14,1.8,1.83,1.8,1.8,150940
240,2012-12-17,1.8,1.8,1.77,1.8,145150
241,2012-12-18,1.8,1.8,1.74,1.77,132890
242,2012-12-19,1.8,1.83,1.77,1.77,280520
243,2012-12-20,1.77,1.83,1.77,1.8,274200
244,2012-12-21,1.8,1.8,1.77,1.77,126430
245,2012-12-24,1.8,1.8,1.77,1.77,42820
246,2012-12-25,1.77,1.8,1.77,1.8,121530
247,2012-12-26,1.8,1.83,1.77,1.83,276720
248,2012-12-27,1.83,1.89,1.83,1.83,458810
249,2012-12-28,1.8,1.86,1.8,1.86,156210
250,2013-01-02,1.89,1.95,1.89,1.95,609770
251,2013-01-03,1.95,2.01,1.89,1.95,575410
252,2013-01-04,1.92,1.95,1.89,1.92,204270
253,2013-01-07,1.92,1.98,1.92,1.92,411310
254,2013-01-08,1.89,1.95,1.86,1.92,761800
255,2013-01-09,1.95,2.01,1.86,1.89,1142360
256,2013-01-10,1.89,1.95,1.86,1.92,309470
257,2013-01-11,1.95,1.95,1.89,1.92,301920
258,2013-01-14,1.89,1.95,1.86,1.92,393310
259,2013-01-15,1.95,2.04,1.92,2.04,1763010
260,2013-01-16,2.1,2.16,2.07,2.16,1192360
261,2013-01-17,2.22,2.28,2.13,2.13,1067020
262,2013-01-18,2.1,2.1,2.01,2.01,917010
263,2013-01-21,2.04,2.04,1.95,1.95,332260
264,2013-01-22,1.95,2.01,1.89,1.92,534440
265,2013-01-23,1.92,1.95,1.89,1.89,506710
266,2013-01-24,1.92,2.01,1.92,2.01,547750
