,time,open,high,low,close,volume
0,2012-01-03,0.95,0.95,0.95,0.95,200
1,2012-01-04,0.95,0.95,0.95,0.95,0
2,2012-01-05,0.9,0.9,0.9,0.9,200
3,2012-01-06,0.9,0.9,0.9,0.9,0
4,2012-01-09,0.84,0.84,0.84,0.84,1000
5,2012-01-10,0.84,0.84,0.84,0.84,0
6,2012-01-11,0.84,0.84,0.84,0.84,3100
7,2012-01-12,0.78,0.78,0.78,0.78,400
8,2012-01-13,0.78,0.78,0.78,0.78,200
9,2012-01-16,0.82,0.82,0.8,0.8,5100
10,2012-01-17,0.8,0.8,0.75,0.75,500
11,2012-01-18,0.77,0.77,0.77,0.77,5000
12,2012-01-19,0.8,0.8,0.8,0.8,10000
13,2012-01-20,0.8,0.8,0.8,0.8,0
14,2012-01-30,0.8,0.8,0.8,0.8,0
15,2012-01-31,0.86,0.86,0.86,0.86,300
16,2012-02-01,0.91,0.91,0.91,0.91,400
17,2012-02-02,0.97,0.97,0.97,0.97,4500
18,2012-02-03,1.03,1.03,1.03,1.03,15300
19,2012-02-06,1.03,1.03,1.03,1.03,0
20,2012-02-07,1.03,1.03,1.03,1.03,0
21,2012-02-08,1.03,1.03,0.97,0.97,1000
22,2012-02-09,0.97,0.97,0.97,0.97,0
23,2012-02-10,0.93,0.93,0.93,0.93,200
24,2012-02-13,0.9,0.9,0.9,0.9,400
25,2012-02-14,0.9,0.9,0.9,0.9,0
26,2012-02-15,0.86,0.88,0.86,0.88,1400
27,2012-02-16,0.88,0.88,0.88,0.88,0
28,2012-02-17,0.88,0.88,0.88,0.88,0
29,2012-02-20,0.93,0.93,0.93,0.93,2300
30,2012-02-21,0.93,0.93,0.93,0.93,0
31,2012-02-22,0.93,0.93,0.93,0.93,300
32,2012-02-23,0.93,0.93,0.93,0.93,5000
33,2012-02-24,0.97,0.97,0.97,0.97,3800
34,2012-02-27,0.97,0.97,0.97,0.97,0
35,2012-02-28,0.97,0.97,0.93,0.93,14200
36,2012-02-29,0.93,0.93,0.93,0.93,0
37,2012-03-01,0.93,0.93,0.93,0.93,0
38,2012-03-02,0.93,0.93,0.93,0.93,0
39,2012-03-05,0.99,0.99,0.99,0.99,34900
40,2012-03-06,1.04,1.04,0.99,1.03,22200
41,2012-03-07,1.04,1.04,1.04,1.04,600
42,2012-03-08,1.04,1.04,1.04,1.04,0
43,2012-03-09,1.04,1.04,1.04,1.04,0
44,2012-03-12,1.04,1.04,1.04,1.04,0
45,2012-03-13,1.04,1.04,1.04,1.04,0
46,2012-03-14,1.04,1.04,1.04,1.04,0
47,2012-03-15,1.04,1.04,1.04,1.04,0
48,2012-03-16,1.04,1.04,1.04,1.04,0
49,2012-03-19,1.04,1.04,1.04,1.04,0
50,2012-03-20,1.04,1.04,1.04,1.04,0
51,2012-03-21,1.04,1.04,1.04,1.04,0
52,2012-03-22,1.04,1.04,1.04,1.04,0
53,2012-03-23,1.06,1.06,0.99,1.06,16000
54,2012-03-26,0.99,1.04,0.99,1.04,2100
55,2012-03-27,1.04,1.04,0.97,1.04,2300
56,2012-03-28,1.1,1.1,1.03,1.03,300
57,2012-03-29,1.03,1.03,1.03,1.03,0
58,2012-03-30,1.04,1.04,1.04,1.04,100
