,time,open,high,low,close,volume
0,2012-01-03,1.07,1.07,1.07,1.07,0
1,2012-01-04,1.07,1.07,1.07,1.07,0
2,2012-01-05,1.07,1.07,1.07,1.07,0
3,2012-01-06,1.07,1.07,1.07,1.07,0
4,2012-01-09,1.05,1.05,1.05,1.05,700
5,2012-01-10,1.09,1.09,1.09,1.09,600
6,2012-01-11,1.09,1.09,1.09,1.09,0
7,2012-01-12,1.09,1.09,1.09,1.09,0
8,2012-01-13,1.09,1.09,1.09,1.09,0
9,2012-01-16,1.1,1.1,1.1,1.1,1000
10,2012-01-17,1.1,1.1,1.1,1.1,0
11,2012-01-18,1.1,1.13,1.1,1.13,1100
12,2012-01-19,1.13,1.13,1.13,1.13,0
13,2012-01-20,1.1,1.1,1.1,1.1,600
14,2012-01-30,1.1,1.1,1.1,1.1,0
15,2012-01-31,1.13,1.17,1.13,1.17,11800
16,2012-02-01,1.17,1.17,1.17,1.17,0
17,2012-02-02,1.17,1.17,1.17,1.17,1000
18,2012-02-03,1.1,1.17,1.1,1.13,2300
19,2012-02-06,1.13,1.13,1.13,1.13,0
20,2012-02-07,1.15,1.15,1.15,1.15,1000
21,2012-02-08,1.15,1.15,1.15,1.15,200
22,2012-02-09,1.17,1.17,1.17,1.17,1300
23,2012-02-10,1.15,1.15,1.15,1.15,900
24,2012-02-13,1.15,1.15,1.15,1.15,0
25,2012-02-14,1.12,1.12,1.12,1.12,1200
26,2012-02-15,1.12,1.13,1.1,1.13,4900
27,2012-02-16,1.15,1.15,1.15,1.15,200
28,2012-02-17,1.15,1.15,1.15,1.15,0
29,2012-02-20,1.17,1.18,1.12,1.17,11800
30,2012-02-21,1.15,1.15,1.15,1.15,6400
31,2012-02-22,1.17,1.17,1.15,1.17,3900
32,2012-02-23,1.17,1.17,1.17,1.17,0
33,2012-02-24,1.18,1.18,1.18,1.18,3600
34,2012-02-27,1.2,1.2,1.17,1.17,6100
35,2012-02-28,1.15,1.15,1.12,1.12,17300
36,2012-02-29,1.15,1.15,1.15,1.15,10000
37,2012-03-01,1.18,1.18,1.17,1.18,3900
38,2012-03-02,1.26,1.26,1.18,1.2,11700
39,2012-03-05,1.18,1.28,1.18,1.26,17900
40,2012-03-06,1.21,1.26,1.21,1.26,7200
41,2012-03-07,1.26,1.26,1.26,1.26,1300
42,2012-03-08,1.24,1.24,1.21,1.21,6700
43,2012-03-09,1.23,1.23,1.18,1.2,3900
44,2012-03-12,1.2,1.23,1.2,1.23,900
45,2012-03-13,1.21,1.21,1.21,1.21,600
46,2012-03-14,1.21,1.21,1.21,1.21,0
47,2012-03-15,1.21,1.21,1.21,1.21,0
48,2012-03-16,1.26,1.26,1.26,1.26,6000
49,2012-03-19,1.21,1.23,1.21,1.23,600
50,2012-03-20,1.23,1.24,1.23,1.23,5000
51,2012-03-21,1.26,1.26,1.26,1.26,2600
52,2012-03-22,1.31,1.32,1.29,1.31,700
53,2012-03-23,1.32,1.32,1.32,1.32,100
54,2012-03-26,1.32,1.35,1.32,1.35,1900
55,2012-03-27,1.28,1.28,1.26,1.28,6000
56,2012-03-28,1.26,1.29,1.26,1.29,2800
57,2012-03-29,1.28,1.29,1.28,1.29,5400
58,2012-03-30,1.26,1.26,1.26,1.26,1700
59,2012-04-03,1.26,1.26,1.26,1.26,0
60,2012-04-04,1.26,1.26,1.26,1.26,0
61,2012-04-05,1.26,1.26,1.24,1.24,1100
62,2012-04-06,1.26,1.26,1.26,1.26,2200
63,2012-04-09,1.28,1.28,1.26,1.28,9300
64,2012-04-10,1.28,1.32,1.28,1.32,18300
65,2012-04-11,1.32,1.34,1.32,1.34,1700
66,2012-04-12,1.39,1.39,1.34,1.34,700
67,2012-04-13,1.39,1.4,1.39,1.39,8200
68,2012-04-16,1.4,1.42,1.4,1.4,5800
69,2012-04-17,1.4,1.4,1.4,1.4,0
70,2012-04-18,1.4,1.42,1.4,1.42,13700
71,2012-04-19,1.42,1.43,1.42,1.42,20600
72,2012-04-20,1.42,1.48,1.42,1.48,9600
73,2012-04-23,1.46,1.46,1.46,1.46,100
74,2012-04-24,1.46,1.46,1.46,1.46,2700
75,2012-04-25,1.46,1.51,1.45,1.45,1600
76,2012-04-26,1.48,1.48,1.46,1.46,3200
77,2012-04-27,1.48,1.48,1.45,1.46,14800
78,2012-05-02,1.48,1.53,1.48,1.51,6200
79,2012-05-03,1.46,1.51,1.46,1.51,1200
80,2012-05-04,1.51,1.58,1.51,1.58,4200
81,2012-05-07,1.67,1.68,1.67,1.68,10100
82,2012-05-08,1.79,1.79,1.68,1.72,1700
83,2012-05-09,1.77,1.77,1.75,1.75,3100
84,2012-05-10,1.86,1.86,1.63,1.8,1300
85,2012-05-11,1.68,1.79,1.67,1.68,26000
86,2012-05-14,1.67,1.7,1.67,1.7,10900
87,2012-05-15,1.68,1.68,1.61,1.65,21300
88,2012-05-16,1.67,1.67,1.65,1.65,20600
89,2012-05-17,1.73,1.73,1.65,1.68,6400
90,2012-05-18,1.7,1.7,1.63,1.68,14200
91,2012-05-21,1.73,1.73,1.6,1.63,11100
92,2012-05-22,1.65,1.65,1.6,1.6,20200
93,2012-05-23,1.63,1.63,1.56,1.63,1200
94,2012-05-24,1.67,1.67,1.67,1.67,200
95,2012-05-25,1.7,1.7,1.7,1.7,100
96,2012-05-28,1.6,1.61,1.6,1.61,11900
97,2012-05-29,1.7,1.7,1.6,1.6,12100
98,2012-05-30,1.68,1.68,1.63,1.63,7300
99,2012-05-31,1.63,1.63,1.6,1.63,6400
100,2012-06-01,1.63,1.63,1.63,1.63,0
101,2012-06-04,1.63,1.63,1.63,1.63,0
102,2012-06-05,1.63,1.63,1.63,1.63,0
