,time,open,high,low,close,volume
0,2015-09-18,6.58,6.58,4.07,4.28,18300
1,2015-09-21,4.76,4.76,4.76,4.76,100
2,2015-09-22,4.28,4.28,4.07,4.07,3400
3,2015-09-23,3.8,3.8,3.8,3.8,500
4,2015-09-24,3.8,3.8,3.8,3.8,9600
5,2015-09-25,3.8,3.8,3.8,3.8,0
6,2015-09-28,4.33,4.33,4.01,4.28,1100
7,2015-09-29,4.17,4.17,4.17,4.17,1500
8,2015-09-30,3.69,4.28,3.69,4.28,6200
9,2015-10-01,4.23,4.28,4.23,4.28,600
10,2015-10-02,4.23,4.28,4.23,4.28,1000
11,2015-10-05,4.44,4.44,4.44,4.44,900
12,2015-10-06,4.28,4.39,4.12,4.12,6400
13,2015-10-07,4.17,4.23,4.07,4.23,7000
14,2015-10-08,4.17,4.17,4.17,4.17,700
15,2015-10-09,4.17,4.28,4.17,4.28,6800
16,2015-10-12,4.23,4.28,4.23,4.28,7700
17,2015-10-13,4.33,4.33,4.33,4.33,1000
18,2015-10-14,4.33,4.39,4.33,4.39,15700
19,2015-10-15,4.33,4.39,4.33,4.39,3100
20,2015-10-16,4.55,4.87,4.44,4.44,7000
21,2015-10-19,4.82,4.92,4.6,4.92,3500
22,2015-10-20,5.03,5.08,5.03,5.08,5500
23,2015-10-21,5.62,5.62,5.35,5.35,4000
24,2015-10-22,4.82,5.08,4.76,4.92,18200
25,2015-10-23,5.08,5.08,5.08,5.08,1000
26,2015-10-26,5.08,5.19,5.08,5.19,3600
27,2015-10-27,5.08,5.14,5.08,5.14,4400
28,2015-10-28,5.08,5.08,5.08,5.08,900
29,2015-10-29,5.08,5.08,5.08,5.08,0
30,2015-10-30,5.08,5.08,4.98,5.08,4100
31,2015-11-02,5.08,5.14,5.08,5.14,6300
32,2015-11-03,5.14,5.14,5.14,5.14,0
33,2015-11-04,5.14,5.14,5.14,5.14,1000
34,2015-11-05,5.08,5.19,5.08,5.19,11600
35,2015-11-06,5.19,5.19,5.19,5.19,0
36,2015-11-09,5.35,5.35,5.35,5.35,3700
37,2015-11-10,5.08,5.3,5.08,5.3,7000
38,2015-11-11,5.08,5.14,4.98,4.98,10900
39,2015-11-12,5.08,5.08,4.87,4.87,1200
40,2015-11-13,5.03,5.08,5.03,5.08,1500
41,2015-11-16,5.08,5.08,5.03,5.03,3300
42,2015-11-17,5.03,5.03,4.98,4.98,3200
43,2015-11-18,5.03,5.03,4.98,4.98,1200
44,2015-11-19,4.98,4.98,4.98,4.98,500
45,2015-11-20,4.98,4.98,4.87,4.87,1800
46,2015-11-23,4.98,4.98,4.98,4.98,1200
47,2015-11-24,4.98,4.98,4.87,4.87,2600
48,2015-11-25,4.92,4.92,4.87,4.87,3200
49,2015-11-26,5.14,5.14,4.92,4.92,1200
50,2015-11-27,4.98,4.98,4.82,4.82,500
51,2015-11-30,4.87,4.87,4.87,4.87,100
52,2015-12-01,4.87,4.87,4.87,4.87,0
53,2015-12-02,4.33,4.33,4.33,4.33,3300
54,2015-12-03,4.28,4.28,4.28,4.28,1000
55,2015-12-04,4.28,4.28,4.28,4.28,0
56,2015-12-07,4.28,4.28,4.28,4.28,0
57,2015-12-08,4.28,4.28,4.28,4.28,0
58,2015-12-09,4.28,4.39,4.28,4.39,2500
59,2015-12-10,4.39,4.39,4.39,4.39,0
60,2015-12-11,4.28,4.28,4.28,4.28,200
61,2015-12-14,4.28,4.28,4.28,4.28,3700
62,2015-12-15,4.28,4.28,4.28,4.28,500
63,2015-12-16,4.28,4.28,4.28,4.28,0
64,2015-12-17,4.28,4.28,4.28,4.28,7200
65,2015-12-18,4.28,4.28,4.28,4.28,0
66,2015-12-21,4.23,4.23,4.23,4.23,1000
67,2015-12-22,4.12,4.12,4.12,4.12,500
68,2015-12-23,4.12,4.12,4.12,4.12,0
