,time,open,high,low,close,volume
0,2017-07-17,8.68,8.68,6.29,8.68,15400
1,2017-07-18,8.86,8.86,7.18,7.18,2300
2,2017-07-19,7.24,7.24,7.24,7.24,500
3,2017-07-20,7.72,7.72,6.17,6.17,3200
4,2017-07-21,5.39,6.59,5.39,6.59,1000
5,2017-07-24,5.09,5.15,4.85,4.85,3110
6,2017-07-25,5.03,5.03,5.03,5.03,200
7,2017-07-26,5.03,5.39,5.03,5.39,2000
8,2017-07-27,4.55,5.81,4.55,5.81,600
9,2017-07-28,5.75,5.75,5.75,5.75,100
10,2017-07-31,4.91,4.91,4.91,4.91,2500
11,2017-08-01,5.51,5.51,5.51,5.51,200
12,2017-08-02,5.39,5.39,4.91,4.91,300
13,2017-08-03,4.85,4.97,4.79,4.79,5500
14,2017-08-04,4.79,4.79,4.79,4.79,0
15,2017-08-07,4.79,4.79,4.79,4.79,0
16,2017-08-08,5.39,5.39,5.39,5.39,100
17,2017-08-09,5.39,5.39,5.39,5.39,0
18,2017-08-10,5.09,5.09,4.61,4.61,1400
19,2017-08-11,4.79,4.79,4.31,4.31,1100
20,2017-08-14,4.73,4.73,4.73,4.73,0
21,2017-08-15,4.73,4.73,4.73,4.73,0
22,2017-08-16,4.73,4.73,4.73,4.73,0
23,2017-08-17,4.73,4.73,4.73,4.73,0
24,2017-08-18,5.33,5.33,5.33,5.33,100
25,2017-08-21,5.33,5.33,5.33,5.33,100
26,2017-08-22,5.33,5.33,5.33,5.33,0
27,2017-08-23,5.33,5.33,5.33,5.33,0
28,2017-08-24,5.33,5.33,5.33,5.33,0
29,2017-08-25,5.33,5.33,5.33,5.33,0
30,2017-08-28,5.33,5.33,5.33,5.33,0
31,2017-08-29,4.79,4.79,4.79,4.79,26500
32,2017-08-30,4.79,4.79,4.79,4.79,0
33,2017-08-31,4.79,4.79,4.79,4.79,0
34,2017-09-01,5.33,5.33,5.33,5.33,100
35,2017-09-05,5.15,5.15,5.15,5.15,2000
36,2017-09-06,4.85,4.85,4.85,4.85,100
37,2017-09-07,5.27,5.27,5.27,5.27,100
38,2017-09-08,4.79,4.79,4.79,4.79,2000
39,2017-09-11,4.79,4.79,4.79,4.79,0
40,2017-09-12,4.79,4.79,4.79,4.79,0
41,2017-09-13,4.79,4.79,4.79,4.79,0
42,2017-09-14,4.79,4.79,4.79,4.79,0
43,2017-09-15,4.79,4.79,4.79,4.79,0
44,2017-09-18,4.79,4.79,4.79,4.79,0
45,2017-09-19,4.79,4.79,4.79,4.79,0
46,2017-09-20,5.21,5.21,5.21,5.21,1900
47,2017-09-21,5.21,5.21,5.21,5.21,0
48,2017-09-22,5.21,5.21,5.21,5.21,0
49,2017-09-25,5.21,5.21,5.21,5.21,0
50,2017-09-26,5.93,5.93,5.93,5.93,100
51,2017-09-27,6.05,6.05,6.05,6.05,100
52,2017-09-28,6.65,6.65,6.65,6.65,100
53,2017-09-29,7.18,7.18,7.18,7.18,100
54,2017-10-02,7.18,7.18,7.18,7.18,0
55,2017-10-03,7.18,7.18,7.18,7.18,0
56,2017-10-04,7.18,7.18,7.18,7.18,0
57,2017-10-05,7.18,7.18,7.18,7.18,0
58,2017-10-06,7.42,7.42,7.42,7.42,800
59,2017-10-09,7.42,7.42,7.42,7.42,0
60,2017-10-10,7.42,7.42,7.42,7.42,0
61,2017-10-11,7.42,7.42,7.42,7.42,0
62,2017-10-12,7.42,7.42,7.42,7.42,0
63,2017-10-13,7.42,7.42,7.42,7.42,0
64,2017-10-16,7.42,7.42,7.42,7.42,0
65,2017-10-17,7.42,7.42,7.42,7.42,0
66,2017-10-18,7.48,7.48,7.42,7.42,2800
67,2017-10-19,7.48,7.48,7.48,7.48,0
68,2017-10-20,7.48,7.48,7.48,7.48,0
69,2017-10-23,7.48,7.48,7.48,7.48,0
70,2017-10-24,7.48,7.48,7.48,7.48,0
71,2017-10-25,7.48,7.48,7.48,7.48,0
72,2017-10-26,7.48,7.48,7.48,7.48,0
73,2017-10-27,7.48,7.48,7.48,7.48,0
74,2017-10-30,6.41,7.48,6.41,7.18,800
75,2017-10-31,7.24,7.24,7.24,7.24,0
76,2017-11-01,6.17,6.17,6.17,6.17,1000
77,2017-11-02,6.17,6.17,6.17,6.17,0
78,2017-11-03,6.17,6.17,6.17,6.17,0
