,time,open,high,low,close,volume
0,2012-01-03,0.74,0.76,0.72,0.74,1177400
1,2012-01-04,0.78,0.78,0.7,0.72,1483600
2,2012-01-05,0.71,0.71,0.68,0.68,1948500
3,2012-01-06,0.65,0.67,0.64,0.64,3298300
4,2012-01-09,0.63,0.67,0.6,0.63,2677100
5,2012-01-10,0.63,0.68,0.62,0.68,1715400
6,2012-01-11,0.69,0.71,0.67,0.67,2043300
7,2012-01-12,0.67,0.67,0.64,0.64,1515600
8,2012-01-13,0.62,0.68,0.61,0.67,2268700
9,2012-01-16,0.68,0.7,0.68,0.7,2682300
10,2012-01-17,0.7,0.71,0.67,0.68,2122600
11,2012-01-18,0.65,0.69,0.64,0.69,1655100
12,2012-01-19,0.67,0.71,0.67,0.71,1258600
13,2012-01-20,0.72,0.75,0.71,0.72,2800000
14,2012-01-30,0.73,0.77,0.71,0.75,2625500
15,2012-01-31,0.75,0.78,0.75,0.76,3297300
16,2012-02-01,0.77,0.78,0.74,0.78,3922400
17,2012-02-02,0.78,0.81,0.78,0.81,2015900
18,2012-02-03,0.86,0.87,0.79,0.8,5754100
19,2012-02-06,0.79,0.85,0.78,0.83,4399200
20,2012-02-07,0.83,0.86,0.81,0.86,5007500
21,2012-02-08,0.86,0.89,0.86,0.86,3102700
22,2012-02-09,0.86,0.88,0.81,0.82,4303400
23,2012-02-10,0.81,0.82,0.79,0.79,3952800
24,2012-02-13,0.79,0.79,0.75,0.75,4378200
25,2012-02-14,0.75,0.8,0.74,0.79,3096800
26,2012-02-15,0.79,0.79,0.74,0.76,3203900
27,2012-02-16,0.76,0.79,0.74,0.78,2526500
28,2012-02-17,0.78,0.82,0.78,0.82,4612300
29,2012-02-20,0.82,0.86,0.82,0.86,2262500
30,2012-02-21,0.91,0.91,0.87,0.88,9425200
31,2012-02-22,0.87,0.95,0.87,0.95,4656400
32,2012-02-23,0.97,0.98,0.94,0.98,4972500
33,2012-02-24,1.0,1.02,0.96,0.97,5770300
34,2012-02-27,0.96,1.04,0.95,1.01,4720800
35,2012-02-28,0.99,1.01,0.93,0.93,7620800
36,2012-02-29,0.92,0.99,0.91,0.97,5262900
37,2012-03-01,0.96,0.98,0.94,0.97,4058800
38,2012-03-02,0.97,1.01,0.95,1.01,5307400
