,time,open,high,low,close,volume
0,2012-01-03,4.0,4.0,4.0,4.0,50
1,2012-01-04,3.8,3.8,3.8,3.8,10
2,2012-01-05,3.8,3.8,3.8,3.8,0
3,2012-01-06,3.7,3.9,3.7,3.9,1540
4,2012-01-09,3.9,3.9,3.9,3.9,0
5,2012-01-10,3.8,4.0,3.8,4.0,24100
6,2012-01-11,4.1,4.1,4.1,4.1,1390
7,2012-01-12,4.3,4.3,4.3,4.3,100
8,2012-01-13,4.3,4.3,4.3,4.3,0
9,2012-01-16,4.1,4.1,4.1,4.1,15000
10,2012-01-17,3.9,3.9,3.9,3.9,5120
11,2012-01-18,3.8,3.8,3.8,3.8,3200
12,2012-01-19,3.9,3.9,3.7,3.7,12640
13,2012-01-20,3.8,3.8,3.8,3.8,50
14,2012-01-30,3.9,3.9,3.9,3.9,10
15,2012-01-31,4.0,4.0,4.0,4.0,140
16,2012-02-01,4.2,4.2,4.0,4.1,12670
17,2012-02-02,3.9,4.3,3.9,4.3,110
18,2012-02-03,4.2,4.2,4.2,4.2,5300
19,2012-02-06,4.1,4.1,4.1,4.1,1400
20,2012-02-07,3.9,4.0,3.9,3.9,9300
21,2012-02-08,4.0,4.0,4.0,4.0,1000
22,2012-02-09,3.8,4.2,3.8,4.0,1900
23,2012-02-10,4.2,4.2,4.2,4.2,10
24,2012-02-13,4.4,4.4,4.4,4.4,10
25,2012-02-14,4.4,4.4,4.2,4.2,810
26,2012-02-15,4.0,4.0,4.0,4.0,2180
27,2012-02-16,4.2,4.2,4.2,4.2,10
28,2012-02-17,4.4,4.4,4.2,4.2,1510
29,2012-02-20,4.2,4.4,4.2,4.4,2150
30,2012-02-21,4.3,4.3,4.2,4.2,4080
31,2012-02-22,4.0,4.4,4.0,4.4,210
32,2012-02-23,4.4,4.4,4.2,4.2,6200
33,2012-02-24,4.4,4.4,4.0,4.0,9630
34,2012-02-27,4.2,4.2,3.9,3.9,1230
35,2012-02-28,4.0,4.0,3.8,3.8,320
36,2012-02-29,3.8,3.8,3.8,3.8,0
37,2012-03-01,3.9,3.9,3.9,3.9,2000
38,2012-03-02,4.0,4.0,4.0,4.0,470
39,2012-03-05,4.2,4.2,4.2,4.2,18200
40,2012-03-06,4.4,4.4,4.3,4.4,21010
41,2012-03-07,4.6,4.6,4.4,4.6,8440
42,2012-03-08,4.8,4.8,4.4,4.8,11090
43,2012-03-09,4.9,5.0,4.6,5.0,8370
44,2012-03-12,5.2,5.2,4.9,4.9,6310
45,2012-03-13,4.7,4.8,4.7,4.8,1640
46,2012-03-14,5.0,5.0,4.6,4.6,2200
47,2012-03-15,4.4,4.6,4.4,4.6,740
48,2012-03-16,4.6,4.6,4.4,4.6,17570
49,2012-03-19,4.6,4.6,4.4,4.6,7640
50,2012-03-20,4.5,4.6,4.4,4.6,3550
51,2012-03-21,4.6,4.7,4.5,4.5,3190
52,2012-03-22,4.4,4.5,4.4,4.5,2050
53,2012-03-23,4.4,4.7,4.4,4.7,4070
54,2012-03-26,4.9,4.9,4.6,4.9,13890
55,2012-03-27,4.9,5.1,4.8,5.1,15730
56,2012-03-28,5.2,5.3,5.2,5.3,17280
57,2012-03-29,5.5,5.5,5.1,5.1,9740
58,2012-03-30,5.1,5.2,4.9,5.1,19970
59,2012-04-03,5.1,5.1,5.1,5.1,1930
60,2012-04-04,5.1,5.1,4.9,5.1,790
61,2012-04-05,5.0,5.1,4.9,5.1,2040
62,2012-04-06,4.9,5.1,4.9,5.1,2050
63,2012-04-09,4.9,5.0,4.9,5.0,2250
64,2012-04-10,5.0,5.0,5.0,5.0,1200
65,2012-04-11,5.2,5.2,5.1,5.2,13490
66,2012-04-12,5.4,5.4,5.4,5.4,5120
67,2012-04-13,5.6,5.6,5.5,5.6,9510
68,2012-04-16,5.6,5.8,5.6,5.8,4560
69,2012-04-17,6.0,6.0,6.0,6.0,9510
70,2012-04-18,6.2,6.3,6.2,6.3,3960
71,2012-04-19,6.6,6.6,6.5,6.6,5800
72,2012-04-20,6.8,6.8,6.3,6.8,820
73,2012-04-23,6.8,6.8,6.5,6.5,1240
74,2012-04-24,6.2,6.2,6.2,6.2,3590
75,2012-04-25,5.9,6.4,5.9,6.3,5090
76,2012-04-26,6.0,6.1,6.0,6.0,4700
77,2012-04-27,5.8,6.0,5.8,6.0,3220
78,2012-05-02,6.3,6.3,6.1,6.3,20680
79,2012-05-03,6.6,6.6,6.6,6.6,3780
80,2012-05-04,6.3,6.6,6.3,6.5,2200
81,2012-05-07,6.5,6.5,6.4,6.5,3830
82,2012-05-08,6.4,6.4,6.2,6.2,6050
83,2012-05-09,6.2,6.2,6.0,6.0,2730
84,2012-05-10,6.0,6.3,6.0,6.3,14880
85,2012-05-11,6.4,6.6,6.4,6.5,7340
86,2012-05-14,6.5,6.5,6.2,6.2,1720
87,2012-05-15,5.9,5.9,5.9,5.9,610
88,2012-05-16,5.7,5.9,5.7,5.9,4120
89,2012-05-17,5.9,6.0,5.9,6.0,120
90,2012-05-18,6.0,6.0,5.7,5.7,330
91,2012-05-21,5.9,5.9,5.9,5.9,280
92,2012-05-22,6.1,6.1,5.9,6.0,5340
93,2012-05-23,6.2,6.2,6.2,6.2,240
94,2012-05-24,6.1,6.1,5.9,5.9,150
95,2012-05-25,5.8,6.1,5.7,5.7,660
96,2012-05-28,5.9,5.9,5.5,5.8,700
97,2012-05-29,5.9,5.9,5.9,5.9,30
98,2012-05-30,6.1,6.1,5.7,5.7,220
99,2012-05-31,5.9,5.9,5.9,5.9,40
100,2012-06-01,6.0,6.0,6.0,6.0,10
101,2012-06-04,5.7,5.7,5.7,5.7,1360
102,2012-06-05,5.5,5.5,5.5,5.5,1160
103,2012-06-06,5.3,5.7,5.3,5.3,4290
104,2012-06-07,5.3,5.5,5.3,5.5,190
105,2012-06-08,5.7,5.7,5.4,5.7,70
106,2012-06-11,5.7,5.7,5.7,5.7,0
107,2012-06-12,5.5,5.8,5.5,5.8,1380
108,2012-06-13,5.8,5.8,5.6,5.8,120
109,2012-06-14,5.6,5.8,5.6,5.8,210
110,2012-06-15,5.8,6.0,5.6,5.6,140
111,2012-06-18,5.8,5.8,5.4,5.4,2210
112,2012-06-19,5.4,5.4,5.2,5.2,1550
113,2012-06-20,5.0,5.0,5.0,5.0,2980
114,2012-06-21,4.9,5.0,4.9,5.0,680
115,2012-06-22,4.8,5.0,4.8,5.0,2860
116,2012-06-25,4.8,5.1,4.8,5.1,420
117,2012-06-26,4.9,4.9,4.9,4.9,170
118,2012-06-27,4.7,5.1,4.7,5.1,230
119,2012-06-28,5.1,5.1,5.1,5.1,0
120,2012-06-29,4.9,5.1,4.9,5.1,1340
121,2012-07-02,4.9,5.1,4.9,5.1,780
122,2012-07-03,4.9,4.9,4.9,4.9,1180
123,2012-07-04,5.1,5.1,5.1,5.1,20
124,2012-07-05,5.1,5.1,5.1,5.1,0
125,2012-07-06,4.9,5.1,4.9,5.1,70
126,2012-07-09,4.9,4.9,4.9,4.9,210
127,2012-07-10,5.1,5.1,5.1,5.1,100
128,2012-07-11,5.1,5.1,5.1,5.1,180
129,2012-07-12,5.1,5.2,5.1,5.2,1050
130,2012-07-13,5.0,5.3,5.0,5.3,6370
131,2012-07-16,5.1,5.1,5.1,5.1,1300
132,2012-07-17,4.9,5.1,4.9,5.1,450
133,2012-07-18,4.9,5.1,4.9,5.1,760
134,2012-07-19,5.1,5.1,5.1,5.1,0
135,2012-07-20,4.9,5.3,4.9,5.0,9240
136,2012-07-23,4.8,5.2,4.8,4.8,710
137,2012-07-24,5.0,5.0,5.0,5.0,10
138,2012-07-25,5.2,5.2,5.2,5.2,10
139,2012-07-26,5.0,5.1,5.0,5.0,3150
140,2012-07-27,5.0,5.0,4.8,4.8,5910
141,2012-07-30,5.0,5.0,5.0,5.0,1430
142,2012-07-31,4.9,5.0,4.9,5.0,1430
143,2012-08-01,5.0,5.0,4.9,5.0,1610
144,2012-08-02,5.1,5.1,4.8,4.8,3760
145,2012-08-03,4.7,5.0,4.7,5.0,210
146,2012-08-06,5.0,5.0,4.8,4.8,110
147,2012-08-07,5.0,5.0,4.6,5.0,2430
148,2012-08-08,4.8,4.8,4.8,4.8,5480
149,2012-08-09,4.7,5.0,4.7,4.8,30
150,2012-08-10,4.8,5.0,4.7,4.7,2040
151,2012-08-13,4.7,4.9,4.7,4.9,20
152,2012-08-14,5.0,5.0,5.0,5.0,20
153,2012-08-15,4.8,5.1,4.8,5.1,30
154,2012-08-16,5.0,5.2,4.9,5.2,40
155,2012-08-17,5.2,5.2,5.0,5.2,26200
156,2012-08-20,5.2,5.2,5.2,5.2,0
157,2012-08-21,5.2,5.2,5.0,5.2,180
158,2012-08-22,5.0,5.0,5.0,5.0,150
159,2012-08-23,4.8,4.8,4.8,4.8,80
160,2012-08-24,5.0,5.0,5.0,5.0,10
161,2012-08-27,5.2,5.2,4.8,5.1,2860
162,2012-08-28,4.9,4.9,4.9,4.9,120
