,time,open,high,low,close,volume
0,2012-01-03,3.72,3.82,3.63,3.63,70510
1,2012-01-04,3.54,3.63,3.54,3.54,36050
2,2012-01-05,3.54,3.54,3.44,3.44,33470
3,2012-01-06,3.44,3.44,3.35,3.35,54360
4,2012-01-09,3.35,3.44,3.35,3.44,52130
5,2012-01-10,3.44,3.54,3.44,3.44,48710
6,2012-01-11,3.44,3.54,3.35,3.35,101730
7,2012-01-12,3.26,3.35,3.26,3.26,56550
8,2012-01-13,3.26,3.35,3.26,3.35,17610
9,2012-01-16,3.35,3.44,3.35,3.44,2520
10,2012-01-17,3.35,3.44,3.35,3.35,23220
11,2012-01-18,3.35,3.44,3.26,3.35,34110
12,2012-01-19,3.44,3.44,3.44,3.44,123390
13,2012-01-20,3.44,3.54,3.44,3.44,55980
14,2012-01-30,3.54,3.54,3.35,3.54,27860
15,2012-01-31,3.54,3.63,3.54,3.54,51010
16,2012-02-01,3.44,3.54,3.44,3.54,57660
17,2012-02-02,3.44,3.63,3.44,3.54,53060
18,2012-02-03,3.54,3.54,3.44,3.44,71900
19,2012-02-06,3.35,3.44,3.35,3.35,64150
20,2012-02-07,3.35,3.35,3.26,3.35,39630
21,2012-02-08,3.35,3.44,3.26,3.35,102710
22,2012-02-09,3.26,3.35,3.26,3.26,233100
23,2012-02-10,3.26,3.26,3.16,3.16,162600
24,2012-02-13,3.26,3.26,3.07,3.16,71220
25,2012-02-14,3.26,3.26,3.07,3.26,134940
26,2012-02-15,3.16,3.26,3.16,3.16,96510
27,2012-02-16,3.07,3.16,3.07,3.16,76450
28,2012-02-17,3.16,3.26,3.16,3.26,54760
29,2012-02-20,3.26,3.35,3.26,3.35,325650
30,2012-02-21,3.35,3.35,3.26,3.26,122750
31,2012-02-22,3.26,3.26,3.16,3.16,200760
32,2012-02-23,3.26,3.26,3.16,3.26,310320
33,2012-02-24,3.35,3.35,3.35,3.35,407020
34,2012-02-27,3.44,3.44,3.44,3.44,561680
35,2012-02-28,3.54,3.54,3.44,3.54,1022510
36,2012-02-29,3.54,3.63,3.44,3.54,526740
37,2012-03-01,3.54,3.63,3.44,3.63,196980
38,2012-03-02,3.54,3.72,3.54,3.72,575870
39,2012-03-05,3.91,3.91,3.91,3.91,372250
40,2012-03-06,4.1,4.1,3.72,3.82,1651580
41,2012-03-07,3.82,3.82,3.63,3.82,492430
42,2012-03-08,3.63,3.91,3.63,3.82,875120
43,2012-03-09,3.72,3.82,3.63,3.63,249160
44,2012-03-12,3.54,3.63,3.54,3.54,170190
45,2012-03-13,3.63,3.63,3.44,3.63,108440
46,2012-03-14,3.63,3.63,3.54,3.54,407740
47,2012-03-15,3.44,3.63,3.44,3.63,260700
48,2012-03-16,3.63,3.72,3.54,3.63,271630
49,2012-03-19,3.63,3.63,3.54,3.63,64040
50,2012-03-20,3.63,3.63,3.54,3.54,258920
51,2012-03-21,3.54,3.63,3.54,3.63,315430
52,2012-03-22,3.54,3.63,3.54,3.63,297340
53,2012-03-23,3.63,3.72,3.54,3.72,619040
54,2012-03-26,3.82,3.91,3.72,3.91,1564350
55,2012-03-27,4.0,4.1,3.91,3.91,1343100
56,2012-03-28,3.82,3.91,3.72,3.82,482380
57,2012-03-29,3.82,3.91,3.63,3.72,209590
58,2012-03-30,3.54,3.63,3.54,3.54,916190
59,2012-04-03,3.44,3.63,3.44,3.54,349110
60,2012-04-04,3.54,3.54,3.44,3.44,204990
61,2012-04-05,3.44,3.54,3.35,3.54,183470
62,2012-04-06,3.54,3.63,3.44,3.63,222860
63,2012-04-09,3.63,3.63,3.54,3.54,157890
64,2012-04-10,3.54,3.63,3.44,3.54,311670
65,2012-04-11,3.63,3.63,3.44,3.63,165180
66,2012-04-12,3.63,3.63,3.54,3.54,475080
67,2012-04-13,3.54,3.54,3.44,3.44,430690
68,2012-04-16,3.44,3.54,3.35,3.54,512950
69,2012-04-17,3.63,3.63,3.54,3.63,641840
70,2012-04-18,3.72,3.72,3.54,3.72,419770
71,2012-04-19,3.72,3.72,3.54,3.63,484160
72,2012-04-20,3.63,3.63,3.54,3.54,227520
73,2012-04-23,3.54,3.63,3.44,3.44,416780
74,2012-04-24,3.44,3.54,3.44,3.54,215630
75,2012-04-25,3.63,3.63,3.54,3.63,396860
76,2012-04-26,3.54,3.54,3.54,3.54,197030
77,2012-04-27,3.44,3.63,3.44,3.63,845020
78,2012-05-02,3.63,3.72,3.54,3.54,700760
79,2012-05-03,3.54,3.63,3.44,3.54,213990
80,2012-05-04,3.54,3.63,3.54,3.63,283480
81,2012-05-07,3.72,3.72,3.72,3.72,135390
82,2012-05-08,3.91,3.91,3.91,3.91,160400
83,2012-05-09,4.1,4.1,4.1,4.1,204940
84,2012-05-10,4.28,4.28,4.28,4.28,117680
85,2012-05-11,4.47,4.47,4.28,4.47,4434310
86,2012-05-14,4.56,4.56,4.28,4.28,840370
87,2012-05-15,4.19,4.37,4.1,4.1,957220
88,2012-05-16,4.1,4.28,4.0,4.28,658190
89,2012-05-17,4.37,4.47,4.28,4.28,1605870
90,2012-05-18,4.28,4.47,4.1,4.1,726540
91,2012-05-21,4.19,4.28,4.1,4.28,393000
92,2012-05-22,4.37,4.37,4.1,4.19,688440
93,2012-05-23,4.0,4.1,4.0,4.0,392230
94,2012-05-24,3.82,3.82,3.82,3.82,439640
95,2012-05-25,3.72,3.91,3.63,3.82,1584210
96,2012-05-28,3.72,3.82,3.63,3.63,745510
97,2012-05-29,3.54,3.63,3.54,3.54,358230
98,2012-05-30,3.63,3.63,3.63,3.63,119310
99,2012-05-31,3.63,3.72,3.54,3.54,426230
100,2012-06-01,3.44,3.63,3.44,3.54,202760
101,2012-06-04,3.54,3.54,3.44,3.54,331080
102,2012-06-05,3.54,3.63,3.44,3.63,127310
103,2012-06-06,3.54,3.63,3.54,3.63,662280
104,2012-06-07,3.63,3.72,3.54,3.72,478160
105,2012-06-08,3.82,3.82,3.63,3.63,229030
106,2012-06-11,3.63,3.72,3.63,3.72,102030
107,2012-06-12,3.63,3.63,3.54,3.63,68470
108,2012-06-13,3.63,3.63,3.54,3.54,138260
109,2012-06-14,3.63,3.63,3.63,3.63,154250
110,2012-06-15,3.63,3.72,3.54,3.72,93690
111,2012-06-18,3.72,3.72,3.63,3.63,205690
112,2012-06-19,3.54,3.63,3.54,3.63,276900
