,time,open,high,low,close,volume
0,2012-01-03,2.3,2.3,2.3,2.3,0
1,2012-01-04,2.3,2.3,2.3,2.3,0
2,2012-01-05,2.3,2.3,2.3,2.3,0
3,2012-01-06,2.2,2.3,2.3,2.3,0
4,2012-01-09,2.2,2.3,2.3,2.3,0
5,2012-01-10,2.3,2.3,2.3,2.3,0
6,2012-01-11,2.5,2.5,2.5,2.5,0
7,2012-01-12,2.7,2.3,2.3,2.3,0
8,2012-01-16,2.3,2.5,2.5,2.5,0
9,2012-01-17,2.4,2.5,2.5,2.5,0
10,2012-01-18,2.6,2.6,2.6,2.6,0
11,2012-01-19,2.8,2.8,2.8,2.8,0
12,2012-01-20,3.0,3.0,3.0,3.0,0
13,2012-01-30,2.7,2.7,2.7,2.7,0
14,2012-01-31,2.7,2.7,2.7,2.7,0
15,2012-02-01,2.8,2.8,2.8,2.8,0
16,2012-02-02,2.9,2.9,2.9,2.9,0
17,2012-02-03,2.9,2.9,2.9,2.9,0
18,2012-02-06,2.7,2.7,2.7,2.7,0
19,2012-02-07,2.7,2.7,2.7,2.7,0
20,2012-02-08,2.9,2.9,2.9,2.9,0
21,2012-02-09,2.7,2.9,2.9,2.9,0
22,2012-02-10,2.9,2.9,2.9,2.9,0
23,2012-02-13,2.8,2.9,2.9,2.9,0
24,2012-02-14,2.8,2.8,2.8,2.8,0
25,2012-02-15,2.8,2.9,2.9,2.9,0
26,2012-02-16,2.8,2.8,2.8,2.8,0
27,2012-02-17,3.0,3.0,3.0,3.0,0
28,2012-02-20,2.8,3.0,3.0,3.0,0
29,2012-02-21,3.2,3.2,3.2,3.2,0
30,2012-02-22,2.8,2.8,2.8,2.8,0
31,2012-02-23,2.7,3.0,3.0,3.0,0
32,2012-02-24,3.1,3.0,3.0,3.0,0
33,2012-02-27,2.9,2.9,2.9,2.9,0
34,2012-02-28,2.9,3.0,3.0,3.0,0
35,2012-02-29,3.0,3.0,3.0,3.0,0
36,2012-03-01,3.1,3.1,3.1,3.1,0
37,2012-03-02,2.9,3.3,3.3,3.3,0
38,2012-03-05,3.5,3.6,3.6,3.6,0
39,2012-03-06,3.9,3.5,3.5,3.5,0
40,2012-03-07,3.5,3.4,3.4,3.4,0
41,2012-03-08,3.2,3.4,3.4,3.4,0
42,2012-03-09,3.2,3.5,3.5,3.5,0
43,2012-03-12,3.7,3.2,3.2,3.2,0
44,2012-03-13,3.4,3.4,3.4,3.4,0
45,2012-03-14,3.7,3.2,3.2,3.2,0
46,2012-03-15,3.3,3.5,3.5,3.5,0
47,2012-03-16,3.7,3.2,3.2,3.2,0
48,2012-03-19,3.3,3.4,3.4,3.4,0
49,2012-03-20,3.1,3.5,3.5,3.5,0
50,2012-03-21,3.1,3.1,3.1,3.1,0
51,2012-03-22,3.2,3.2,3.2,3.2,0
52,2012-03-23,3.3,3.5,3.5,3.5,0
53,2012-03-26,3.7,3.5,3.5,3.5,0
54,2012-03-27,3.6,3.4,3.4,3.4,0
55,2012-03-28,3.2,3.2,3.2,3.2,0
56,2012-03-29,3.2,3.2,3.2,3.2,0
57,2012-03-30,3.2,3.1,3.1,3.1,0
58,2012-04-03,3.4,3.1,3.1,3.1,0
59,2012-04-04,2.9,3.0,3.0,3.0,0
60,2012-04-05,3.1,3.1,3.1,3.1,0
61,2012-04-06,3.1,3.1,3.1,3.1,0
62,2012-04-09,2.9,2.9,2.9,2.9,0
63,2012-04-10,3.0,3.0,3.0,3.0,0
64,2012-04-11,3.0,3.0,3.0,3.0,0
