,time,open,high,low,close,volume
0,2016-12-20,10.72,10.72,10.72,10.72,100
1,2016-12-21,10.72,10.72,10.72,10.72,100
2,2016-12-22,10.72,10.72,10.72,10.72,200
3,2016-12-23,10.72,10.72,10.72,10.72,0
4,2016-12-26,10.72,10.72,10.72,10.72,6000
5,2016-12-27,10.72,10.72,10.72,10.72,0
6,2016-12-28,10.72,10.72,10.72,10.72,0
7,2016-12-29,10.72,10.72,10.72,10.72,0
8,2016-12-30,10.72,10.72,10.72,10.72,0
9,2017-01-03,10.72,10.72,10.72,10.72,0
10,2017-01-04,10.72,10.72,10.72,10.72,0
11,2017-01-05,10.72,10.72,10.72,10.72,0
12,2017-01-06,10.72,10.72,10.72,10.72,0
13,2017-01-09,10.72,10.72,10.72,10.72,0
14,2017-01-10,10.72,10.72,10.72,10.72,0
15,2017-01-11,10.72,10.72,10.72,10.72,0
16,2017-01-12,10.72,10.72,10.72,10.72,0
17,2017-01-13,10.72,10.72,10.72,10.72,0
18,2017-01-16,10.72,10.72,10.72,10.72,0
19,2017-01-17,10.72,10.72,10.72,10.72,0
20,2017-01-18,10.72,10.72,10.72,10.72,0
21,2017-01-19,10.72,10.72,10.72,10.72,0
22,2017-01-20,10.72,10.72,10.72,10.72,0
23,2017-01-23,10.72,10.72,10.72,10.72,0
24,2017-01-24,10.72,10.72,10.72,10.72,0
25,2017-01-25,10.72,10.72,10.72,10.72,500
26,2017-02-02,10.72,10.72,10.72,10.72,0
27,2017-02-03,10.72,10.72,10.72,10.72,0
28,2017-02-06,10.72,10.72,10.72,10.72,0
29,2017-02-07,10.72,10.72,10.72,10.72,0
30,2017-02-08,10.72,10.72,10.72,10.72,0
31,2017-02-09,10.72,10.72,10.72,10.72,200
32,2017-02-10,10.72,10.72,10.72,10.72,0
33,2017-02-13,10.72,10.72,10.72,10.72,0
34,2017-02-14,10.72,10.72,10.72,10.72,0
35,2017-02-15,10.72,10.72,10.72,10.72,0
36,2017-02-16,10.72,10.72,10.72,10.72,200
37,2017-02-17,10.72,10.72,10.72,10.72,0
38,2017-02-20,10.72,10.72,10.72,10.72,0
39,2017-02-21,10.72,10.72,10.72,10.72,0
40,2017-02-22,10.72,10.72,10.72,10.72,0
41,2017-02-23,10.72,10.72,10.72,10.72,0
42,2017-02-24,10.72,10.72,10.72,10.72,1500
43,2017-02-27,10.72,10.72,10.72,10.72,0
44,2017-02-28,10.72,10.72,10.72,10.72,0
45,2017-03-01,10.72,10.72,10.72,10.72,0
46,2017-03-02,10.72,10.72,10.72,10.72,0
47,2017-03-03,10.72,10.72,10.72,10.72,0
48,2017-03-06,10.72,10.72,10.72,10.72,0
49,2017-03-07,10.72,10.72,10.72,10.72,0
50,2017-03-08,10.72,10.72,10.72,10.72,0
51,2017-03-09,10.72,10.72,10.72,10.72,0
52,2017-03-10,10.72,10.72,10.72,10.72,0
53,2017-03-13,10.72,10.72,10.72,10.72,0
54,2017-03-14,10.72,10.72,10.72,10.72,10000
55,2017-03-15,10.72,10.72,10.72,10.72,15000
56,2017-03-16,10.72,10.72,10.72,10.72,4000
57,2017-03-17,10.72,10.72,10.72,10.72,0
58,2017-03-20,10.72,10.72,10.72,10.72,0
59,2017-03-21,10.72,10.72,10.72,10.72,0
60,2017-03-22,10.72,10.72,10.72,10.72,0
61,2017-03-23,10.72,10.72,10.72,10.72,0
62,2017-03-24,10.72,10.72,10.72,10.72,0
63,2017-03-27,10.72,10.72,10.72,10.72,2600
64,2017-03-28,10.72,10.72,10.72,10.72,0
65,2017-03-29,10.72,10.72,10.72,10.72,0
66,2017-03-30,10.72,10.72,10.72,10.72,0
67,2017-03-31,10.72,10.72,10.72,10.72,0
68,2017-04-03,10.72,10.72,10.72,10.72,0
69,2017-04-04,10.72,10.72,10.72,10.72,0
70,2017-04-05,10.72,10.72,10.72,10.72,0
71,2017-04-07,10.72,10.72,10.72,10.72,0
72,2017-04-10,9.13,9.13,9.13,9.13,100
73,2017-04-11,9.13,9.13,9.13,9.13,0
74,2017-04-12,9.13,9.13,9.13,9.13,0
75,2017-04-13,9.13,9.13,9.13,9.13,0
76,2017-04-14,9.13,9.13,9.13,9.13,0
77,2017-04-17,9.13,9.13,9.13,9.13,0
78,2017-04-18,9.13,9.13,9.13,9.13,0
79,2017-04-19,9.13,9.13,9.13,9.13,0
80,2017-04-20,9.13,9.13,9.13,9.13,0
81,2017-04-21,9.13,9.13,9.13,9.13,0
