,time,open,high,low,close,volume
0,2015-08-19,7.15,7.15,7.15,7.15,6460
1,2015-08-20,7.62,7.62,7.62,7.62,10
2,2015-08-21,8.14,8.14,8.14,8.14,10
3,2015-08-24,8.7,8.7,8.7,8.7,10
4,2015-08-25,9.29,9.29,8.7,8.7,1720
5,2015-08-26,8.74,8.74,8.1,8.74,360
6,2015-08-27,8.74,8.74,8.74,8.74,10
7,2015-08-28,9.09,9.09,9.09,9.09,10
8,2015-08-31,8.46,9.29,8.46,9.13,80
9,2015-09-01,8.54,8.78,8.5,8.78,1240
10,2015-09-03,8.22,9.09,8.18,9.09,230
11,2015-09-04,9.09,9.09,9.09,9.09,0
12,2015-09-07,8.46,8.74,8.46,8.74,110
13,2015-09-08,8.66,8.7,8.58,8.7,310
14,2015-09-09,8.14,8.14,8.1,8.1,150
15,2015-09-10,7.82,7.82,7.55,7.55,380
16,2015-09-11,7.55,8.06,7.03,7.03,3330
17,2015-09-14,6.55,7.51,6.55,6.55,3850
18,2015-09-15,6.16,6.99,6.12,6.23,1670
19,2015-09-16,6.63,6.63,5.84,5.88,10730
20,2015-09-17,5.68,6.27,5.68,6.27,1450
21,2015-09-18,6.67,6.71,6.67,6.67,3800
22,2015-09-21,6.55,6.55,6.23,6.47,1380
23,2015-09-22,6.51,6.55,6.16,6.51,4150
24,2015-09-23,6.63,6.63,6.63,6.63,20
25,2015-09-24,6.63,6.63,6.63,6.63,0
26,2015-09-25,6.27,6.27,6.27,6.27,220
27,2015-09-28,6.35,6.35,6.27,6.27,2180
28,2015-09-29,6.23,6.39,6.23,6.39,1050
29,2015-09-30,6.27,6.39,6.27,6.39,340
30,2015-10-01,6.16,6.35,6.16,6.16,70
31,2015-10-02,6.2,6.51,6.2,6.51,20
32,2015-10-05,6.51,6.51,6.51,6.51,0
33,2015-10-06,6.55,6.55,6.55,6.55,400
34,2015-10-07,6.83,6.83,6.83,6.83,20
35,2015-10-08,6.95,6.95,6.95,6.95,10
36,2015-10-09,6.47,7.15,6.47,7.15,1130
37,2015-10-12,6.67,7.35,6.67,7.35,30
38,2015-10-13,7.43,7.43,7.43,7.43,200
39,2015-10-14,7.43,7.43,7.43,7.43,0
40,2015-10-15,7.55,7.55,7.55,7.55,10
41,2015-10-16,7.03,7.03,7.03,7.03,170
42,2015-10-19,6.55,7.03,6.55,6.95,870
43,2015-10-20,6.95,6.95,6.95,6.95,0
44,2015-10-21,6.95,6.95,6.95,6.95,0
45,2015-10-22,7.23,7.23,6.51,6.55,4060
46,2015-10-23,6.55,6.55,6.55,6.55,0
47,2015-10-26,6.95,6.99,6.95,6.99,60
48,2015-10-27,6.99,6.99,6.99,6.99,0
49,2015-10-28,6.99,6.99,6.99,6.99,0
50,2015-10-29,6.99,6.99,6.99,6.99,0
