,time,open,high,low,close,volume
0,2012-01-03,5.82,5.89,5.82,5.89,120
1,2012-01-04,5.82,5.82,5.82,5.82,100
2,2012-01-05,6.02,6.02,5.54,6.02,720
3,2012-01-06,6.09,6.09,5.75,5.95,120
4,2012-01-09,5.82,5.82,5.82,5.82,10
5,2012-01-10,5.82,5.82,5.82,5.82,100
6,2012-01-11,5.82,5.82,5.82,5.82,500
7,2012-01-12,5.54,5.54,5.54,5.54,7220
8,2012-01-13,5.34,5.68,5.34,5.68,2010
9,2012-01-16,5.61,5.61,5.61,5.61,150
10,2012-01-17,5.82,5.82,5.47,5.47,290
11,2012-01-18,5.68,5.75,5.47,5.47,90
12,2012-01-19,5.47,5.47,5.47,5.47,1290
13,2012-01-20,5.75,5.75,5.47,5.47,550
14,2012-01-30,5.47,5.47,5.47,5.47,30
15,2012-01-31,5.75,5.75,5.41,5.47,790
16,2012-02-01,5.47,5.47,5.47,5.47,0
17,2012-02-02,5.47,5.75,5.41,5.47,35530
18,2012-02-03,5.68,5.75,5.34,5.34,16140
19,2012-02-06,5.34,5.34,5.34,5.34,10220
20,2012-02-07,5.2,5.27,5.13,5.27,23790
21,2012-02-08,5.13,5.34,5.06,5.34,16430
22,2012-02-09,5.2,5.34,5.2,5.34,650
23,2012-02-10,5.2,5.27,5.13,5.2,19970
24,2012-02-13,5.06,5.06,5.0,5.06,24440
25,2012-02-14,5.06,5.06,5.06,5.06,1000
26,2012-02-15,4.93,5.06,4.93,5.06,5250
27,2012-02-16,4.93,5.2,4.86,5.2,1750
28,2012-02-17,5.2,5.27,5.13,5.27,1700
29,2012-02-20,5.2,5.41,5.2,5.34,27620
30,2012-02-21,5.27,5.27,5.13,5.13,4080
31,2012-02-22,5.0,5.34,5.0,5.34,37760
32,2012-02-23,5.47,5.54,5.47,5.54,23620
33,2012-02-24,5.54,5.54,5.47,5.54,12660
34,2012-02-27,5.68,5.68,5.68,5.68,1090
35,2012-02-28,5.47,5.47,5.41,5.41,2720
36,2012-02-29,5.47,5.47,5.27,5.41,4560
37,2012-03-01,5.34,5.34,5.27,5.27,8800
38,2012-03-02,5.27,5.34,5.13,5.13,48490
39,2012-03-05,5.27,5.34,5.27,5.34,192320
40,2012-03-06,5.54,5.54,5.27,5.41,254600
41,2012-03-07,5.47,5.47,5.2,5.41,120340
42,2012-03-08,5.47,5.61,5.41,5.54,193590
43,2012-03-09,5.61,5.68,5.41,5.54,58880
44,2012-03-12,5.47,5.47,5.27,5.41,29640
45,2012-03-13,5.34,5.47,5.27,5.41,27000
46,2012-03-14,5.47,5.47,5.2,5.2,87170
47,2012-03-15,5.06,5.41,5.0,5.41,69180
48,2012-03-16,5.47,5.47,5.27,5.41,36650
49,2012-03-19,5.2,5.34,5.2,5.2,32100
50,2012-03-20,5.2,5.41,5.2,5.41,69780
51,2012-03-21,5.41,5.54,5.41,5.47,97390
52,2012-03-22,5.41,5.47,5.34,5.47,56050
53,2012-03-23,5.47,5.68,5.47,5.54,107750
54,2012-03-26,5.54,5.82,5.47,5.82,185730
55,2012-03-27,5.95,5.95,5.54,5.68,97440
56,2012-03-28,5.54,5.68,5.47,5.68,45150
57,2012-03-29,5.47,5.61,5.41,5.41,76370
58,2012-03-30,5.34,5.34,5.2,5.34,29670
59,2012-04-03,5.41,5.41,5.27,5.27,13010
60,2012-04-04,5.2,5.27,5.13,5.27,16160
61,2012-04-05,5.34,5.34,5.2,5.34,5370
62,2012-04-06,5.41,5.47,5.27,5.34,21910
63,2012-04-09,5.41,5.54,5.41,5.54,63100
64,2012-04-10,5.54,5.61,5.41,5.41,28060
65,2012-04-11,5.47,5.61,5.41,5.61,94450
66,2012-04-12,5.89,5.89,5.89,5.89,11650
67,2012-04-13,6.16,6.16,6.02,6.16,236810
68,2012-04-16,6.43,6.43,6.36,6.43,32650
69,2012-04-17,6.71,6.71,6.71,6.71,57030
70,2012-04-18,6.98,6.98,6.84,6.98,145610
71,2012-04-19,7.19,7.19,6.64,6.64,106060
72,2012-04-20,6.36,6.71,6.36,6.71,60010
73,2012-04-23,6.78,6.91,6.64,6.64,45710
74,2012-04-24,6.64,6.64,6.36,6.64,39610
75,2012-04-25,6.84,6.84,6.64,6.71,48300
76,2012-04-26,6.71,6.78,6.43,6.43,26040
77,2012-04-27,6.43,6.71,6.3,6.71,50510
78,2012-05-02,6.98,6.98,6.78,6.78,226680
79,2012-05-03,6.84,6.84,6.57,6.84,35570
80,2012-05-04,6.84,7.12,6.84,7.05,36070
81,2012-05-07,7.32,7.32,6.78,7.25,40190
82,2012-05-08,7.05,7.6,7.05,7.6,125360
83,2012-05-09,7.8,7.94,7.46,7.94,112730
84,2012-05-10,8.21,8.21,7.87,7.87,260110
85,2012-05-11,7.73,7.87,7.53,7.53,52000
86,2012-05-14,7.25,7.53,7.19,7.19,71110
87,2012-05-15,6.84,7.12,6.84,6.84,82250
88,2012-05-16,6.84,7.19,6.64,7.12,33120
89,2012-05-17,6.81,7.12,6.81,6.81,8860
90,2012-05-18,6.51,6.74,6.51,6.51,27920
91,2012-05-21,6.59,6.81,6.51,6.81,23610
92,2012-05-22,6.51,6.66,6.51,6.51,18060
93,2012-05-23,6.21,6.51,6.21,6.51,30130
94,2012-05-24,6.21,6.21,6.21,6.21,5170
95,2012-05-25,6.44,6.51,6.44,6.51,24610
96,2012-05-28,6.51,6.81,6.51,6.51,25820
97,2012-05-29,6.44,6.51,6.28,6.51,18210
98,2012-05-30,6.59,6.66,6.59,6.66,60
99,2012-05-31,6.66,6.66,6.66,6.66,0
100,2012-06-01,6.59,6.59,6.36,6.36,15110
101,2012-06-04,6.36,6.36,6.06,6.06,10820
102,2012-06-05,6.36,6.36,6.06,6.36,9720
103,2012-06-06,6.59,6.59,6.36,6.44,14850
104,2012-06-07,6.44,6.66,6.44,6.51,24250
105,2012-06-08,6.28,6.51,6.28,6.36,7520
106,2012-06-11,6.66,6.66,6.36,6.44,3260
107,2012-06-12,6.44,6.51,6.13,6.44,36580
108,2012-06-13,6.13,6.13,6.13,6.13,56080
109,2012-06-14,6.28,6.28,5.83,5.83,65640
110,2012-06-15,5.91,6.06,5.91,6.06,6640
111,2012-06-18,6.21,6.21,6.13,6.13,3040
112,2012-06-19,6.13,6.13,5.83,5.83,6250
113,2012-06-20,5.75,5.98,5.75,5.91,25790
114,2012-06-21,5.91,6.06,5.91,5.98,14020
115,2012-06-22,6.13,6.13,5.91,6.06,10510
116,2012-06-25,6.21,6.21,5.75,5.75,80780
117,2012-06-26,5.68,5.91,5.68,5.91,47110
118,2012-06-27,5.98,5.98,5.83,5.83,21780
119,2012-06-28,5.91,5.91,5.6,5.75,10530
120,2012-06-29,5.98,5.98,5.6,5.98,10810
121,2012-07-02,5.91,5.91,5.75,5.75,13610
122,2012-07-03,5.98,5.98,5.6,5.6,2590
123,2012-07-04,5.6,5.6,5.53,5.53,16210
124,2012-07-05,5.3,5.53,5.3,5.53,43600
125,2012-07-06,5.3,5.53,5.3,5.3,86340
126,2012-07-09,5.15,5.22,5.07,5.07,141960
127,2012-07-10,4.92,5.3,4.92,5.3,19920
128,2012-07-11,5.53,5.53,5.3,5.3,2780
129,2012-07-12,5.3,5.3,5.15,5.15,17030
130,2012-07-13,5.22,5.38,5.22,5.3,32470
131,2012-07-16,5.53,5.53,5.38,5.45,11400
132,2012-07-17,5.3,5.53,5.3,5.45,12640
133,2012-07-18,5.6,5.6,5.53,5.53,14100
134,2012-07-19,5.53,5.53,5.38,5.53,26910
135,2012-07-20,5.75,5.75,5.45,5.45,41840
136,2012-07-23,5.3,5.38,5.22,5.38,8370
137,2012-07-24,5.22,5.38,5.15,5.15,6300
138,2012-07-25,5.15,5.3,5.0,5.0,8020
139,2012-07-26,5.07,5.15,5.07,5.15,2010
140,2012-07-27,5.3,5.3,5.3,5.3,10
141,2012-07-30,5.22,5.45,5.22,5.45,20900
142,2012-07-31,5.45,5.6,5.45,5.6,13660
143,2012-08-01,5.45,5.45,5.38,5.38,120
144,2012-08-02,5.38,5.45,5.15,5.15,340
145,2012-08-03,5.3,5.3,5.07,5.07,4010
146,2012-08-06,5.22,5.3,5.22,5.3,660
147,2012-08-07,5.38,5.38,5.38,5.38,10
148,2012-08-08,5.38,5.38,5.38,5.38,300
149,2012-08-09,5.38,5.45,5.3,5.3,2680
150,2012-08-10,5.22,5.3,5.07,5.07,3660
151,2012-08-13,5.0,5.0,4.85,4.85,14910
152,2012-08-14,5.07,5.07,4.77,5.07,14540
153,2012-08-15,5.22,5.22,5.22,5.22,10
154,2012-08-16,5.22,5.22,5.0,5.07,6770
155,2012-08-17,5.07,5.15,4.92,5.15,8590
156,2012-08-20,5.15,5.22,5.15,5.15,7920
157,2012-08-21,5.15,5.15,4.92,4.92,56800
158,2012-08-22,4.92,4.92,4.77,4.77,4000
159,2012-08-23,4.54,4.54,4.54,4.54,5920
160,2012-08-24,4.32,4.77,4.32,4.69,65600
161,2012-08-27,4.54,4.77,4.47,4.77,11100
162,2012-08-28,4.77,4.85,4.62,4.85,5720
163,2012-08-29,4.77,4.85,4.77,4.85,520
164,2012-08-30,4.69,4.92,4.69,4.92,2310
165,2012-08-31,4.77,4.92,4.69,4.92,26700
166,2012-09-04,4.92,4.92,4.77,4.77,30500
167,2012-09-05,4.54,4.77,4.54,4.77,1740
168,2012-09-06,4.62,4.62,4.54,4.54,2200
169,2012-09-07,4.47,4.54,4.32,4.39,3120
170,2012-09-10,4.24,4.24,4.24,4.24,52280
171,2012-09-11,4.16,4.24,4.09,4.24,44640
172,2012-09-12,4.39,4.39,4.24,4.24,3510
173,2012-09-13,4.32,4.32,4.24,4.32,7050
174,2012-09-14,4.39,4.47,4.39,4.47,4130
175,2012-09-17,4.54,4.54,4.39,4.39,19000
176,2012-09-18,4.24,4.32,4.24,4.32,43020
177,2012-09-19,4.16,4.16,4.16,4.16,52570
178,2012-09-20,4.01,4.16,4.01,4.01,55950
179,2012-09-21,4.01,4.09,3.86,4.09,59870
180,2012-09-24,3.94,3.94,3.94,3.94,39500
181,2012-09-25,3.79,4.09,3.79,4.09,34700
182,2012-09-26,4.09,4.16,3.94,4.16,15050
183,2012-09-27,4.01,4.01,4.01,4.01,38200
184,2012-09-28,3.86,4.16,3.86,4.16,22790
185,2012-10-01,4.01,4.32,4.01,4.01,16700
186,2012-10-02,3.86,3.86,3.86,3.86,3700
187,2012-10-03,4.01,4.01,4.01,4.01,10
188,2012-10-04,4.09,4.09,3.94,3.94,210
189,2012-10-05,3.94,3.94,3.94,3.94,100
190,2012-10-08,3.86,4.01,3.86,4.01,1100
191,2012-10-09,3.86,4.01,3.86,3.86,57530
192,2012-10-10,3.71,4.01,3.71,4.01,5010
193,2012-10-11,4.09,4.09,4.09,4.09,10
194,2012-10-12,3.94,3.94,3.94,3.94,3950
195,2012-10-15,4.01,4.01,4.01,4.01,10
196,2012-10-16,4.01,4.01,3.86,3.86,6380
197,2012-10-17,3.94,3.94,3.94,3.94,20
198,2012-10-18,3.86,3.94,3.86,3.94,2140
199,2012-10-19,3.79,3.79,3.79,3.79,3470
200,2012-10-22,3.79,3.79,3.79,3.79,1000
201,2012-10-23,3.79,3.79,3.63,3.71,2870
202,2012-10-24,3.86,3.86,3.56,3.56,1870
203,2012-10-25,3.48,3.63,3.48,3.63,1300
204,2012-10-26,3.56,3.56,3.56,3.56,100
205,2012-10-29,3.56,3.71,3.56,3.71,1100
206,2012-10-30,3.86,3.86,3.71,3.71,110
207,2012-10-31,3.63,3.71,3.63,3.71,2620
208,2012-11-01,3.71,3.86,3.71,3.71,5710
209,2012-11-02,3.71,3.79,3.63,3.71,24620
210,2012-11-05,3.79,3.79,3.71,3.71,46450
211,2012-11-06,3.71,3.79,3.63,3.79,20430
212,2012-11-07,3.71,3.86,3.63,3.86,39000
213,2012-11-08,3.79,3.79,3.71,3.71,50
214,2012-11-09,3.71,3.71,3.56,3.56,1330
215,2012-11-12,3.56,3.63,3.41,3.41,11610
216,2012-11-13,3.56,3.56,3.56,3.56,10
217,2012-11-14,3.71,3.71,3.71,3.71,5870
218,2012-11-15,3.86,3.86,3.71,3.71,3520
219,2012-11-16,3.86,3.86,3.79,3.79,11780
220,2012-11-19,3.79,3.79,3.79,3.79,1600
221,2012-11-20,3.86,3.86,3.63,3.63,1820
222,2012-11-21,3.71,3.71,3.71,3.71,810
223,2012-11-22,3.63,3.63,3.63,3.63,20
224,2012-11-23,3.63,3.79,3.63,3.63,1600
225,2012-11-26,3.79,3.79,3.56,3.79,2210
226,2012-11-27,3.86,3.86,3.86,3.86,100
227,2012-11-28,3.79,3.79,3.71,3.71,10840
228,2012-11-29,3.79,3.79,3.79,3.79,1420
229,2012-11-30,3.86,3.86,3.79,3.79,21310
230,2012-12-03,3.79,3.79,3.79,3.79,42000
231,2012-12-04,3.79,3.86,3.79,3.86,59940
232,2012-12-05,4.01,4.01,3.86,4.01,1240
233,2012-12-06,4.09,4.09,3.94,3.94,7940
234,2012-12-07,3.94,4.09,3.94,4.09,6010
235,2012-12-10,4.16,4.16,4.16,4.16,10
236,2012-12-11,4.16,4.16,4.01,4.01,17020
237,2012-12-12,3.86,3.86,3.86,3.86,850
238,2012-12-13,4.01,4.01,3.71,3.71,6120
