,time,open,high,low,close,volume
0,2012-01-03,4.11,4.16,4.11,4.11,129020
1,2012-01-04,4.11,4.16,4.11,4.11,153830
2,2012-01-05,4.16,4.16,4.06,4.06,208500
3,2012-01-06,4.06,4.11,4.06,4.11,188840
4,2012-01-09,4.11,4.11,4.01,4.11,31580
5,2012-01-10,4.06,4.11,4.01,4.06,67500
6,2012-01-11,4.06,4.11,3.96,4.01,154130
7,2012-01-12,3.96,4.01,3.86,3.96,364740
8,2012-01-13,3.96,4.01,3.86,3.96,456900
9,2012-01-16,3.96,3.96,3.86,3.96,495660
10,2012-01-17,3.91,3.96,3.91,3.96,361050
11,2012-01-18,4.01,4.01,3.91,4.01,520050
12,2012-01-19,4.01,4.06,3.96,4.06,80700
13,2012-01-20,4.06,4.06,3.96,4.01,111300
14,2012-01-30,4.01,4.06,4.01,4.06,247760
15,2012-01-31,4.11,4.16,4.06,4.11,321870
16,2012-02-01,4.11,4.11,4.06,4.11,207160
17,2012-02-02,4.16,4.3,4.11,4.3,464370
18,2012-02-03,4.4,4.4,4.21,4.21,269490
19,2012-02-06,4.21,4.21,4.11,4.16,142850
20,2012-02-07,4.11,4.21,4.11,4.21,107140
21,2012-02-08,4.25,4.3,4.21,4.25,151900
22,2012-02-09,4.3,4.4,4.25,4.4,360430
23,2012-02-10,4.4,4.4,4.21,4.25,301750
24,2012-02-13,4.25,4.25,4.21,4.21,205610
25,2012-02-14,4.16,4.25,4.16,4.25,143070
26,2012-02-15,4.3,4.3,4.21,4.25,188110
27,2012-02-16,4.25,4.25,4.25,4.25,87730
28,2012-02-17,4.25,4.35,4.25,4.3,106690
29,2012-02-20,4.35,4.4,4.35,4.4,216610
30,2012-02-21,4.45,4.45,4.3,4.3,254970
31,2012-02-22,4.3,4.45,4.3,4.45,528170
32,2012-02-23,4.45,4.5,4.4,4.45,286890
33,2012-02-24,4.45,4.55,4.4,4.55,625820
34,2012-02-27,4.55,4.75,4.55,4.7,518050
35,2012-02-28,4.8,4.85,4.6,4.65,465530
36,2012-02-29,4.65,4.85,4.65,4.85,860140
37,2012-03-01,4.9,5.05,4.85,5.05,1049110
38,2012-03-02,5.29,5.29,5.29,5.29,324640
39,2012-03-05,5.54,5.54,5.54,5.54,48110
40,2012-03-06,5.79,5.79,5.64,5.79,2376930
41,2012-03-07,6.04,6.04,5.59,5.94,3033820
42,2012-03-08,5.89,5.94,5.64,5.64,1047120
43,2012-03-09,5.64,5.74,5.44,5.54,601980
44,2012-03-12,5.49,5.49,5.29,5.29,918190
45,2012-03-13,5.29,5.54,5.15,5.54,1515250
46,2012-03-14,5.69,5.69,5.39,5.44,627200
47,2012-03-15,5.34,5.69,5.34,5.69,1539460
48,2012-03-16,5.89,5.89,5.74,5.89,2252920
49,2012-03-19,5.79,5.84,5.64,5.64,1096870
50,2012-03-20,5.64,5.74,5.54,5.74,867050
51,2012-03-21,5.69,5.99,5.69,5.84,1938010
52,2012-03-22,5.84,5.94,5.79,5.84,858120
53,2012-03-23,5.84,5.94,5.79,5.84,1147650
54,2012-03-26,5.89,5.94,5.79,5.84,1112310
55,2012-03-27,5.79,5.84,5.64,5.64,396570
56,2012-03-28,5.64,5.74,5.59,5.74,883640
57,2012-03-29,5.74,5.74,5.59,5.59,493300
58,2012-03-30,5.59,5.59,5.49,5.49,809340
59,2012-04-03,5.64,5.74,5.59,5.69,373690
60,2012-04-04,5.74,5.74,5.59,5.59,205170
61,2012-04-05,5.59,5.74,5.54,5.74,293220
62,2012-04-06,5.74,5.79,5.64,5.74,392600
63,2012-04-09,5.79,5.79,5.69,5.74,513600
64,2012-04-10,5.74,5.79,5.64,5.64,582030
65,2012-04-11,5.74,5.79,5.64,5.79,432650
66,2012-04-12,5.84,5.84,5.74,5.74,446360
67,2012-04-13,5.74,5.84,5.69,5.69,281150
68,2012-04-16,5.74,5.89,5.64,5.84,649790
69,2012-04-17,5.84,6.08,5.84,6.08,859800
70,2012-04-18,6.38,6.38,6.23,6.23,2696960
71,2012-04-19,6.13,6.23,5.94,5.94,1115520
72,2012-04-20,5.94,6.08,5.84,5.89,387500
73,2012-04-23,5.84,5.94,5.84,5.89,445050
74,2012-04-24,5.84,5.99,5.79,5.94,700840
75,2012-04-25,5.99,6.08,5.94,5.99,585580
76,2012-04-26,6.04,6.04,5.89,5.89,573660
77,2012-04-27,5.94,6.04,5.89,5.94,589040
78,2012-05-02,6.08,6.23,5.99,6.23,3043480
79,2012-05-03,6.23,6.28,6.04,6.18,964760
80,2012-05-04,6.28,6.48,6.28,6.48,3691050
81,2012-05-07,6.78,6.78,6.68,6.78,1423620
82,2012-05-08,7.07,7.07,6.83,6.93,3550400
83,2012-05-09,6.83,7.02,6.83,6.83,1427420
84,2012-05-10,6.83,6.93,6.53,6.63,2571120
85,2012-05-11,6.58,6.93,6.58,6.73,1300200
86,2012-05-14,6.83,6.83,6.43,6.43,1421970
87,2012-05-15,6.23,6.38,6.13,6.13,1970110
88,2012-05-16,6.13,6.23,6.04,6.18,1405770
89,2012-05-17,6.28,6.38,6.13,6.18,890940
90,2012-05-18,6.18,6.18,5.89,5.94,1293050
91,2012-05-21,5.99,6.23,5.99,6.23,737330
92,2012-05-22,6.33,6.38,6.18,6.18,341350
93,2012-05-23,6.13,6.13,5.94,5.99,594520
94,2012-05-24,5.99,6.08,5.89,5.99,718400
95,2012-05-25,6.08,6.28,6.08,6.28,794700
96,2012-05-28,6.38,6.38,6.08,6.18,287600
97,2012-05-29,6.08,6.18,6.04,6.08,109140
98,2012-05-30,6.08,6.13,6.08,6.13,300920
99,2012-05-31,6.04,6.18,5.99,6.18,332240
100,2012-06-01,6.04,6.13,6.04,6.04,117360
101,2012-06-04,5.99,5.99,5.74,5.74,1166890
102,2012-06-05,5.89,5.89,5.64,5.79,284660
103,2012-06-06,5.79,5.99,5.79,5.99,204000
