,time,open,high,low,close,volume
0,2012-01-03,1.26,1.26,1.15,1.15,2510
1,2012-01-04,1.09,1.15,1.09,1.09,6110
2,2012-01-05,1.04,1.15,1.04,1.09,40
3,2012-01-06,1.15,1.15,1.09,1.09,20
4,2012-01-09,1.04,1.15,1.04,1.12,30
5,2012-01-10,1.12,1.17,1.12,1.17,520
6,2012-01-11,1.15,1.23,1.15,1.23,20
7,2012-01-12,1.26,1.28,1.26,1.28,120
8,2012-01-13,1.34,1.34,1.34,1.34,60
9,2012-01-16,1.34,1.34,1.34,1.34,660
10,2012-01-17,1.34,1.39,1.34,1.39,20
11,2012-01-18,1.45,1.45,1.39,1.39,30
12,2012-01-19,1.39,1.45,1.39,1.45,120
13,2012-01-20,1.5,1.5,1.5,1.5,10
14,2012-01-30,1.56,1.56,1.56,1.56,50
15,2012-01-31,1.61,1.61,1.61,1.61,690
16,2012-02-01,1.67,1.67,1.67,1.67,630
17,2012-02-02,1.75,1.75,1.75,1.75,300
18,2012-02-03,1.83,1.83,1.75,1.83,10220
19,2012-02-06,1.91,1.91,1.78,1.88,1210
20,2012-02-07,1.97,1.97,1.97,1.97,160
21,2012-02-08,1.97,1.97,1.91,1.91,1490
22,2012-02-09,1.91,1.91,1.86,1.91,1680
23,2012-02-10,1.91,1.91,1.88,1.91,860
24,2012-02-13,1.83,1.91,1.83,1.91,4190
25,2012-02-14,1.83,1.83,1.83,1.83,10
26,2012-02-15,1.91,1.91,1.91,1.91,20
27,2012-02-16,1.91,1.91,1.83,1.83,60
28,2012-02-17,1.83,1.91,1.83,1.91,2060
29,2012-02-20,1.91,1.99,1.91,1.99,30
30,2012-02-21,1.91,2.05,1.91,2.05,620
31,2012-02-22,1.97,2.13,1.97,1.99,550
32,2012-02-23,1.91,1.91,1.91,1.91,30
33,2012-02-24,1.86,1.86,1.86,1.86,3180
34,2012-02-27,1.83,1.86,1.83,1.83,10520
35,2012-02-28,1.83,1.83,1.8,1.8,80
36,2012-02-29,1.8,1.8,1.8,1.8,50
37,2012-03-01,1.72,1.88,1.72,1.72,170
38,2012-03-02,1.8,1.8,1.75,1.75,190
39,2012-03-05,1.83,1.83,1.83,1.83,500
40,2012-03-06,1.91,1.91,1.91,1.91,6110
41,2012-03-07,1.91,1.99,1.91,1.91,1790
42,2012-03-08,1.91,1.91,1.91,1.91,0
43,2012-03-09,1.91,1.91,1.91,1.91,310
44,2012-03-12,1.99,1.99,1.94,1.94,40
45,2012-03-13,2.02,2.02,2.02,2.02,2660
46,2012-03-14,2.1,2.1,2.1,2.1,40
47,2012-03-15,2.19,2.19,2.19,2.19,120
48,2012-03-16,2.29,2.29,2.29,2.29,1160
49,2012-03-19,2.29,2.29,2.29,2.29,1620
50,2012-03-20,2.21,2.24,2.19,2.24,2940
51,2012-03-21,2.13,2.32,2.13,2.32,2000
52,2012-03-22,2.43,2.43,2.43,2.43,1370
53,2012-03-23,2.54,2.54,2.54,2.54,1270
54,2012-03-26,2.43,2.62,2.43,2.43,1040
55,2012-03-27,2.49,2.51,2.35,2.35,3220
56,2012-03-28,2.46,2.46,2.43,2.46,6210
57,2012-03-29,2.35,2.35,2.35,2.35,4020
