,time,open,high,low,close,volume
0,2012-01-03,4.0,4.0,4.0,4.0,470
1,2012-01-04,4.0,4.0,3.8,3.8,26890
2,2012-01-05,3.8,3.8,3.7,3.8,20610
3,2012-01-06,3.8,3.9,3.7,3.7,8850
4,2012-01-09,3.7,3.8,3.6,3.6,28120
5,2012-01-10,3.7,3.7,3.6,3.6,14730
6,2012-01-11,3.7,3.7,3.7,3.7,26210
7,2012-01-12,3.8,3.8,3.6,3.6,2590
8,2012-01-13,3.7,3.7,3.7,3.7,13140
9,2012-01-16,3.7,3.8,3.7,3.8,18810
10,2012-01-17,3.9,3.9,3.9,3.9,31850
11,2012-01-18,4.0,4.0,4.0,4.0,12940
12,2012-01-19,4.0,4.2,4.0,4.2,45120
13,2012-01-20,4.4,4.4,4.4,4.4,64230
14,2012-01-30,4.6,4.6,4.2,4.5,30040
15,2012-01-31,4.5,4.5,4.4,4.4,18320
16,2012-02-01,4.4,4.4,4.2,4.2,25540
17,2012-02-02,4.4,4.4,4.3,4.4,35440
18,2012-02-03,4.4,4.5,4.2,4.2,93620
19,2012-02-06,4.0,4.3,4.0,4.2,22170
20,2012-02-07,4.0,4.3,4.0,4.3,1170
21,2012-02-08,4.3,4.4,4.3,4.4,34720
22,2012-02-09,4.3,4.3,4.2,4.2,83530
23,2012-02-10,4.1,4.2,4.0,4.0,14190
24,2012-02-13,4.0,4.0,3.8,3.8,42340
25,2012-02-14,3.8,3.9,3.8,3.9,29470
26,2012-02-15,4.0,4.0,3.9,3.9,20150
27,2012-02-16,3.9,4.0,3.9,4.0,18070
28,2012-02-17,4.1,4.2,3.9,4.2,48230
29,2012-02-20,4.2,4.3,4.1,4.3,53930
30,2012-02-21,4.3,4.3,4.1,4.1,57660
31,2012-02-22,4.0,4.1,4.0,4.1,68990
32,2012-02-23,4.1,4.3,4.0,4.3,262600
33,2012-02-24,4.2,4.3,4.1,4.1,269880
34,2012-02-27,4.1,4.3,4.1,4.3,291120
35,2012-02-28,4.5,4.5,4.2,4.2,207860
36,2012-02-29,4.1,4.4,4.1,4.4,170460
37,2012-03-01,4.5,4.5,4.3,4.4,133970
