,time,open,high,low,close,volume
0,2021-08-16,14.65,14.65,14.65,14.65,5500
1,2021-08-17,16.82,16.82,16.82,16.82,300
2,2021-08-18,19.32,19.32,19.32,19.32,20700
3,2021-08-19,19.32,22.15,16.49,16.49,54700
4,2021-08-20,16.24,17.48,16.24,16.24,16201
5,2021-08-23,16.24,16.24,14.15,15.82,5700
6,2021-08-24,14.49,16.24,14.15,16.24,6800
7,2021-08-25,16.24,16.24,14.57,16.15,1000
8,2021-08-26,15.32,16.07,14.99,14.99,900
9,2021-08-27,15.32,15.32,15.32,15.32,200
10,2021-08-30,14.49,16.24,13.32,16.07,9100
11,2021-08-31,16.24,16.24,14.99,16.07,1000
12,2021-09-01,15.82,15.82,15.82,15.82,100
13,2021-09-06,14.4,14.4,14.15,14.4,3800
14,2021-09-07,14.57,14.57,14.4,14.4,700
15,2021-09-08,14.57,14.57,14.4,14.4,4700
16,2021-09-09,14.99,14.99,14.82,14.82,1200
17,2021-09-10,15.32,15.32,14.99,14.99,1101
18,2021-09-13,14.57,14.65,14.49,14.65,1400
19,2021-09-14,14.99,14.99,14.15,14.15,5100
20,2021-09-15,14.57,14.57,14.57,14.57,1600
21,2021-09-16,14.99,14.99,14.32,14.32,300
22,2021-09-17,14.32,14.57,14.15,14.4,18400
23,2021-09-20,14.32,14.32,14.15,14.15,3800
24,2021-09-21,14.15,14.15,14.15,14.15,0
25,2021-09-22,14.15,14.15,14.15,14.15,300
26,2021-09-23,14.15,14.15,13.99,13.99,8000
27,2021-09-24,13.99,13.99,13.65,13.65,14701
28,2021-09-27,13.74,13.74,13.24,13.32,10600
29,2021-09-28,13.32,13.32,13.32,13.32,1100
30,2021-09-29,13.15,13.32,13.15,13.32,1600
31,2021-09-30,13.24,13.24,13.24,13.24,104
32,2021-10-01,13.24,13.49,13.24,13.49,1000
33,2021-10-04,14.15,14.99,14.15,14.74,3503
34,2021-10-05,15.82,15.82,15.82,15.82,100
35,2021-10-06,14.57,14.99,14.57,14.99,2500
36,2021-10-07,13.32,14.57,13.32,14.57,1101
37,2021-10-08,14.49,14.49,14.49,14.49,0
38,2021-10-11,14.57,14.99,14.57,14.99,1708
39,2021-10-12,14.99,14.99,14.99,14.99,1701
40,2021-10-13,14.99,14.99,14.99,14.99,201
41,2021-10-14,14.99,14.99,13.9,14.15,2203
42,2021-10-15,14.15,14.9,14.15,14.9,5402
43,2021-10-18,14.15,14.15,14.15,14.15,700
44,2021-10-19,12.16,14.49,12.16,14.49,306
45,2021-10-20,14.9,14.9,13.74,13.99,400
46,2021-10-21,13.74,13.99,13.74,13.99,2203
47,2021-10-22,13.9,13.9,13.9,13.9,2
48,2021-10-25,14.15,14.15,14.15,14.15,100
49,2021-10-26,14.15,14.15,14.15,14.15,19
50,2021-10-27,14.15,14.15,14.15,14.15,3
51,2021-10-28,14.15,14.15,14.15,14.15,0
52,2021-10-29,14.15,14.15,14.15,14.15,2003
53,2021-11-01,14.15,14.15,14.15,14.15,203
54,2021-11-02,14.15,14.15,14.15,14.15,2600
55,2021-11-03,12.49,15.65,12.49,15.65,605
56,2021-11-04,13.82,14.15,13.82,14.15,2300
57,2021-11-05,14.15,14.15,14.15,14.15,3003
58,2021-11-08,14.15,14.15,14.15,14.15,400
59,2021-11-09,14.24,14.24,14.24,14.24,7800
60,2021-11-10,14.4,14.4,14.4,14.4,305
61,2021-11-11,14.07,14.32,13.99,14.32,10501
62,2021-11-12,14.32,14.32,14.32,14.32,1500
63,2021-11-15,14.24,14.57,14.24,14.57,5702
64,2021-11-16,13.4,13.74,13.4,13.65,6200
65,2021-11-17,13.65,13.65,13.65,13.65,1
66,2021-11-18,13.57,13.57,13.57,13.57,2019
67,2021-11-19,13.57,13.57,13.57,13.57,1
68,2021-11-22,14.57,14.57,13.74,13.99,2600
69,2021-11-23,14.15,14.15,14.15,14.15,12202
70,2021-11-24,14.15,14.15,14.15,14.15,4200
71,2021-11-25,14.15,14.15,14.15,14.15,6000
72,2021-11-26,14.15,14.15,14.15,14.15,30
73,2021-11-29,14.15,14.15,14.15,14.15,0
74,2021-11-30,14.15,14.15,14.15,14.15,12
75,2021-12-01,13.49,14.15,13.49,14.15,5501
76,2021-12-02,14.15,14.15,14.15,14.15,6317
77,2021-12-03,14.15,14.15,14.15,14.15,0
78,2021-12-06,13.49,13.49,13.49,13.49,100
79,2021-12-07,13.49,13.74,13.49,13.74,10030
80,2021-12-08,13.65,13.65,13.65,13.65,0
81,2021-12-09,14.15,14.15,14.15,14.15,10001
82,2021-12-10,14.15,14.15,14.15,14.15,1
83,2021-12-13,14.07,14.07,14.07,14.07,2100
84,2021-12-14,14.07,14.07,14.07,14.07,23
85,2021-12-15,14.07,14.07,14.07,14.07,0
86,2021-12-16,13.32,13.49,13.32,13.49,6600
87,2021-12-17,13.49,13.49,13.49,13.49,100
88,2021-12-20,13.49,13.49,13.49,13.49,3
89,2021-12-21,13.49,13.49,13.4,13.4,10000
90,2021-12-22,13.49,13.57,13.49,13.57,17902
91,2021-12-23,13.57,13.57,13.57,13.57,0
92,2021-12-24,13.57,13.57,13.57,13.57,2
93,2021-12-27,13.57,13.57,13.57,13.57,0
94,2021-12-28,13.57,13.57,13.57,13.57,1000
95,2021-12-29,14.15,14.15,14.15,14.15,113
96,2021-12-30,14.15,14.15,14.07,14.07,302
